date,contact_name,comment,source_file,_drop_reason
2020-02-04,,"Upon inquiry, there were no members of the public wishing to speak.",meeting_minutes/minutes/2020/2020-02-03/2020-02-04_council-regular-meeting.md,no_comments_procedural
2020-02-18,,"Upon inquiry, there were no members of the public wishing to speak.",meeting_minutes/minutes/2020/2020-02-17/2020-02-18_council-regular-meeting.md,no_comments_procedural
2020-04-07,,"Upon inquiry, there were no members of the public wishing to speak.",meeting_minutes/minutes/2020/2020-04-06/2020-04-07_council-regular-meeting.md,no_comments_procedural
2020-04-28,Mayor Bigelow,"Mayor Bigelow stated that he often speaks with the City Manager to clarify certain information and staff is constantly meeting together to discuss budget. He indicated that draft information is not released to the public but once documents become final, those are. Mayor Bigelow noted that the Council is continually sharing or expressing concern and ideas to the City Manager but added that there are never conversations held amongst the Council or staff where a quorum is present.",meeting_minutes/minutes/2020/2020-04-27/2020-04-28_council-regular-meeting.md,official_or_staff
2021-04-13,Representative Elizabeth Weight,"Representative Elizabeth Weight stated that she is here to speak to Ranked Choice Voting. She indicated that she would like to see West Valley City participate in the option of Ranked Choice Voting. She indicated that she has done research after hearing concerns and feels it is a good, less expensive election. She stated that it eliminates the need for a Primary and it encourages more civil dialogue between candidates. Representative Weight stated that with this voting method, every vote gets counted. Representative Weight continued expressing her support of Ranked Choice Voting regarding price, options, method, etc.",meeting_minutes/minutes/2021/2021-04-12/2021-04-13_council-regular-meeting.md,official_or_staff
2021-11-09,,N/A,meeting_minutes/minutes/2021/2021-11-08/2021-11-09_council-regular-meeting.md,empty_placeholder
2021-11-16,Representative Mike Winder,Representative Mike Winder stated that he spoke with the Youth City Council and wanted to stop by and say hello. He expressed congratulations to the candidates who ran for office and also to Mayor Bigelow for the Veteran’s Memorial.,meeting_minutes/minutes/2021/2021-11-15/2021-11-16_council-regular-meeting.md,official_or_staff
2021-12-07,Councilmember Fitisemanu,Councilmember Fitisemanu was excused from the remainder of the meeting.,meeting_minutes/minutes/2021/2021-12-06/2021-12-07_council-regular-meeting.md,official_or_staff
2022-04-19,County Councilmember Aimee Winder,"County Councilmember Aimee Winder Newton stated that she represents a portion of West Valley City. She indicated that the County is happy to offer any support to West Valley City. She noted that the County recently approved ARPA funds for a trail system that will run through West Valley City, a grant for affordable housing developments, and a workforce development program. Councilmember Newton added that another grant was approved that would provide water conservation money for local municipalities. She introduced Kristie Morgan, her Policy Advisor, who distributed contact information.",meeting_minutes/minutes/2022/2022-04-18/2022-04-19_council-regular-meeting.md,orphan_continuation
2022-04-19,Councilmember Christensen,Councilmember Christensen arrived at 6:34 PM.,meeting_minutes/minutes/2022/2022-04-18/2022-04-19_council-regular-meeting.md,official_or_staff
2022-05-24,Mayor Lang,Mayor Lang stated that the 30-minute public comment period time was up.,meeting_minutes/minutes/2022/2022-05-23/2022-05-24_council-regular-meeting.md,official_or_staff
2022-05-24,Councilmember Nordfelt,Councilmember Nordfelt moved to suspend the rules for a 30-minute time period and allow for others who have signed up on the comment sheet the opportunity to speak.,meeting_minutes/minutes/2022/2022-05-23/2022-05-24_council-regular-meeting.md,official_or_staff
2022-05-24,Councilmember Fitisemanu,Councilmember Fitisemanu seconded the motion subject to adding a maximum additional time of 30 minutes.,meeting_minutes/minutes/2022/2022-05-23/2022-05-24_council-regular-meeting.md,official_or_staff
2022-05-24,Councilmember Nordfelt,Councilmember Nordfelt accepted the amended motion.,meeting_minutes/minutes/2022/2022-05-23/2022-05-24_council-regular-meeting.md,official_or_staff
2022-05-24,,A roll call vote was taken:,meeting_minutes/minutes/2022/2022-05-23/2022-05-24_council-regular-meeting.md,official_continuation
2022-05-24,Councilman Fitisemanu Yes Councilman,Councilman Fitisemanu Yes Councilman Whetstone No Councilman Harmon No Councilman Huynh No Councilman Christensen No Councilman Nordfelt Yes Mayor Lang No,meeting_minutes/minutes/2022/2022-05-23/2022-05-24_council-regular-meeting.md,official_or_staff
2022-05-24,Motion,Motion Fails.,meeting_minutes/minutes/2022/2022-05-23/2022-05-24_council-regular-meeting.md,official_continuation
2022-10-25,Councilmember Whetstone,Councilmember Whetstone arrived at 6:42 PM.,meeting_minutes/minutes/2022/2022-10-24/2022-10-25_council-regular-meeting.md,official_or_staff
2024-04-02,,N/A,meeting_minutes/minutes/2024/2024-04-01/2024-04-02_council-regular-meeting.md,empty_placeholder
2024-05-21,Councilmember Will Whetstone,"Councilmember Will Whetstone expressed gratitude for the numerous emails, phone calls, and comments received regarding the West Valley Performing Arts Center. He acknowledged that the message from the community was loud and clear, stating that he heard what they were saying. Councilmember Whetstone described the issue as a ""math problem"" that needed to be solved, indicating the complexity of finding a solution. Despite not knowing what the solution might be, he expressed his enjoyment of attending productions at the theater over the past two years, crediting the community for making him a fan of theater. He also shared a personal anecdote about his daughter's involvement in theater at Hunter High School, describing her as an amazing performer. Councilmember Whetstone emphasized",meeting_minutes/minutes/2024/2024-05-20/2024-05-21_council-regular-meeting.md,official_or_staff
2024-05-21,,the importance of finding a solution to the issue surrounding the theater and expressed his willingness to listen to potential solutions.,meeting_minutes/minutes/2024/2024-05-20/2024-05-21_council-regular-meeting.md,official_continuation
2024-07-02,Councilmember Nordfelt,Councilmember Nordfelt thanked the audience for their comments.,meeting_minutes/minutes/2024/2024-07-01/2024-07-02_council-regular-meeting.md,official_or_staff
2024-08-13,Ifo Pili,"Ifo Pili, City Manager, stated that Boarding Homes are a big issue throughout the City and noted that staff is aware of the problem and is actively working on ways to mitigate the issue. He noted that this is a difficult situation to resolve. Ifo also stated that staff can look into possible solutions for the golf ball issue but noted that living next to a golf course is a hazard that can’t fully be mitigated. He indicated that the property tax presentation is next on the agenda and will hopefully answer any questions or concerns. Ifo noted that staff would look into the street sweeper issue as well.",meeting_minutes/minutes/2024/2024-08-12/2024-08-13_council-regular-meeting.md,official_or_staff
2024-08-13,Mayor Pro Tem Christensen,Mayor Pro Tem Christensen indicated that the City did try to work with the Smith Entertainment group but they were not interested.,meeting_minutes/minutes/2024/2024-08-12/2024-08-13_council-regular-meeting.md,official_or_staff
2024-08-27,Councilmember Harmon,"Councilmember Harmon stated that he has contacted staff about tow trucks, outside storage, and other issues. The map shows some enforcement cases that are over a year old.",meeting_minutes/minutes/2024/2024-08-26/2024-08-27_council-regular-meeting.md,official_or_staff
2024-11-12,Councilmember Christensen,"Councilmember Christensen congratulated Jake Fitisemanu, representative elect, and welcomed him to the state legislature. He expressed his regret at losing Mr. Fitisemanu from the City Council in January but acknowledged that one can only serve in one elected position at a time. He concluded by offering his congratulations once again and extending a warm welcome to the legislature.",meeting_minutes/minutes/2024/2024-11-11/2024-11-12_council-regular-meeting.md,official_or_staff
2025-02-11,Councilmember Huynh,Councilmember Huynh welcomed newly appointed Councilmember Wood. He noted that it is disrespectful of a candidate who was not selected to contact him to ask why he didn’t vote for them.,meeting_minutes/minutes/2025/2025-02-10/2025-02-11_council-regular-meeting.md,official_or_staff
2025-03-11,Councilmember Christensen,"Councilmember Christensen shared heartfelt congratulations to the students, noting that they weren’t even born when he retired from Whittier Elementary about 20 years ago. He reflected on his many years of service at the school, particularly as an assistant principal, and expressed joy in seeing that Whittier Elementary continues to thrive and embrace the",meeting_minutes/minutes/2025/2025-03-10/2025-03-11_council-regular-meeting.md,official_or_staff
2025-03-11,Whittier Way. Councilmember Christensen,"Whittier Way. Councilmember Christensen also mentioned how the school was in a period of growth during his time there. He then expressed gratitude for the opportunity to hear the students’ voices, especially as they recited the Pledge of Allegiance, saying how much he missed hearing it after 30 years in education.",meeting_minutes/minutes/2025/2025-03-10/2025-03-11_council-regular-meeting.md,official_continuation
2025-03-25,Councilmember Whetstone,"Councilmember Whetstone raised a question about the dog park, referring to an email that mentioned only needing a sign to avoid citations for dog owners. However, Councilmember Whetstone pointed out that today's discussion indicated more was required, such as fencing and water. He requested clarification on whether dog owners would receive citations for having their dogs off-leash in a large park unless a sign designating it as a dog park is posted. He suggested addressing this question in a future study meeting.",meeting_minutes/minutes/2025/2025-03-24/2025-03-25_council-regular-meeting.md,official_or_staff
2025-05-13,Councilmember Huynh,Councilmember Huynh encouraged residents to speak to Mr. Pili regarding Code Enforcement. He noted that Councilmembers can now ride along with Code Enforcement Officers where this was prohibited under previous administration.,meeting_minutes/minutes/2025/2025-05-12/2025-05-13_council-regular-meeting.md,official_or_staff
2025-05-27,Councilmember Huynh,"Councilmember Huynh acknowledged the courage it takes to speak before the council and expressed appreciation. He thanked those who attended the recent Veterans Day event, recognizing their representation of the community. He shared a personal note that his father passed away in battle when he was five, and urged that people should not be made to feel guilty for how they support veterans. Instead, he encouraged leading by example and inspiring others without putting them on the spot.",meeting_minutes/minutes/2025/2025-05-26/2025-05-27_council-regular-meeting.md,official_or_staff
2025-05-27,Councilmember Wood,"Councilmember Wood echoed Councilmember Huynh’s sentiments and commended everyone who came to speak that evening, acknowledging that everyone has busy lives and other commitments. She shared that she was cemeteries the day before participating in an event, showing her own engagement with veterans’ activities. She expressed gratitude to the Councilmembers who attend events when they can and appreciated the courage of all community members who came forward to share their feelings.",meeting_minutes/minutes/2025/2025-05-26/2025-05-27_council-regular-meeting.md,official_or_staff
2025-07-08,Councilmember Harmon,Councilmember Harmon expressed appreciation for Dan Johnson and his team for their work in getting the speed humps installed.,meeting_minutes/minutes/2025/2025-07-07/2025-07-08_council-regular-meeting.md,official_or_staff
2025-09-09,Councilmember Christensen,"Councilmember Christensen asked if the Council or City Manager had any comments. Ifo Pili, City Manager, responded to a public comment regarding the proposed chlorination system at the rec center. He noted the request has been under consideration for some time and was discussed during the budget process, indicating it is not a new or sudden proposal.",meeting_minutes/minutes/2025/2025-09-08/2025-09-09_council-regular-meeting.md,official_or_staff
