entity,plan_vintage,pin,variant,name,county,in_wfrc_region,forecast_start_year,cost,status,funding_source_raw,description,source_layer
wfrc_mpo,2020-2025,3523,,Enviro - I-80 TO UT. CO. / Mtn View Corridor,Salt Lake,1,,20250000,Active,,"The National Environmental Policy Act (NEPA) of 1969 requires UDOT to perform an Environmental Assessment (EA) or Environmental Impact Statement (EIS). The process begins with UDOT developing a proposal; a determination of whether or not the proposed action is covered under NEPA is then made. There are three levels of analysis that an agency may undertake to comply with the law, Categorical Exclusion (CAD-EX), EA or EIS. These studies take into account several factors including, but limited to, air quality, threatened and endangered species, wetlands, historical and archaeological.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,4950,,Stoddard Lane over Weber River,Morgan,1,,1720000,Substantially Compl,,Off-System Bridge,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,5013,,Hole in the Rock Road - Garfield County,Route Error,,2020,2145947.72,Scoping,,Non-Urban,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,6691,,Vineyard Connector,Utah,0,,38010000,Active,,,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,6963,,SOUTHERN PARKWAY; Washington Dam Road to SR-9,Washington,0,,6251019,Close Out,,,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,7037,,I-15; UTAH COUNTY CORRIDOR EXPANSION (I-15 CORE),Utah,0,,1306001784.49,Contract Complete,,,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,7176,,West Davis Corridor EIS,Davis,1,,17050000,Scoping,,"The National Environmental Policy Act (NEPA) of 1969 requires UDOT to perform an Environmental Assessment (EA) or Environmental Impact Statement (EIS). The process begins with UDOT developing a proposal; a determination of whether or not the proposed action is covered under NEPA is then made. There are three levels of analysis that an agency may undertake to comply with the law, Categorical Exclusion (CAD-EX), EA or EIS. These studies take into account several factors including, but limited to, air quality, threatened and endangered species, wetlands, historical and archaeological.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,7479,,STATEWIDE; STATE PARK SIGNING ON STATE ROUTES,Salt Lake,1,,433129.97000000003,Close Out,,"Consistent highway signs help road users interpret, understand, and respond to the intended messages correctly. This project will replace and improve highway signs on Utah roadways.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,7651,,"STATEWIDE, MISC SIGNS FOR TRAFFIC AND SAFETY",Salt Lake,1,,362159.01,Close Out,,"Consistent highway signs help road users interpret, understand, and respond to the intended messages correctly. This project will replace and improve highway signs on Utah roadways.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,7703,,MVC; Salt Lake County PM,Salt Lake,1,,444675821.73,Active,,"Contractors and consultants provide a variety of services including engineering, administration and right of way to help the Department.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,7704,,MVC; UTILITIES TRANSMISSION LOCATION,Various,,,92697390,Active,,Relocation of Rocky Mountain Power transmission Lines (138kv and 245 kv) and Kern River gas prior to segment roadway construction.  Also includes right of way needed to accomplish these utility relocations.,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,7720,,SR-154; 4700 S. & 5400 S. & SR-173 Flex Lanes,Salt Lake,1,,23979556.73,Close Out,,,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,8061,,"SR-114; GENEVA RD, ROADWAY WIDENING",Utah,0,,76768352.11,Physically Complete,,,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,8312,,MVC; AQ MONITOR AND FILTERS,Various,,,4100000,Active,,,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,8314,,"SR-85, MVC; 5400 South to 4100 South",Salt Lake,1,,113406870.25,Contract Closed Out,,New Capacity,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,9418,,SR-154; Bangerter Highway & 600 W (Canal Work),Salt Lake,1,2016,1063000,Close Out,,New Interchange on Existing Freeway,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,9446,,SR-71; 12300 South to 11500 South,Salt Lake,1,2019,1317666,Under Construction,,Rehabilitation High Volume,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,9713,,SR-248; Us-40 to Kamas,Various,,2017,8108733.18,Close Out,,The roadway will be milled and resurfaced to extend the life of the pavement.  This work will provide a smoother driving surface and increased skid resistance.,TIP20202025_gdb__L0_lines
