entity,pin,name_latest,n_vintages,first_vintage,last_vintage,vintages,entered_tip,left_censored,exited_tip,first_forecast_year,last_forecast_year,slip_years,first_cost,last_cost,cost_drift_pct,last_status,statuses,counties,in_wfrc_region,rtp_unique_id,rtp_match_confidence
wfrc_mpo,3,5600 West,1,2026-2031,2026-2031,2026-2031,2026-2031,,,,,,,,,,,,,W-S-2023-A-380,exact_name
wfrc_mpo,1793,Legacy Parkway Project - *ROW*,5,2023-2028,2027-2032,2023-2028|2024-2029|2025-2030|2026-2031|2027-2032,2023-2028,,,,,,389182000,389832000,0.2,Under Construction,Under Construction,Various,,,
wfrc_mpo,3523,Enviro - I-80 TO UT. CO. / Mtn View Corridor,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,,,,20250000,20250000,,Active,Active,Salt Lake,1,,
wfrc_mpo,4278,US-89 Corridor Preservation,7,2021-2026,2027-2032,2021-2026|2022-2027|2023-2028|2024-2029|2025-2030|2026-2031|2027-2032,2021-2026,,,,,,12489000,65327000,423.1,Scoping,Active|Scoping,Various,,,
wfrc_mpo,4308,Highland Drive Corridor,1,2027-2032,2027-2032,2027-2032,2027-2032,,,2028,2028,0,1410623.84,1410623.84,,Active,Active,,,,
wfrc_mpo,4950,Stoddard Lane over Weber River,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,,,,1720000,1720000,,Substantially Compl,Substantially Compl,Morgan,1,,
wfrc_mpo,5013,Hole in the Rock Road - Garfield County,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2020,2020,0,2145947.72,2145947.72,,Scoping,Scoping,Route Error,,,
wfrc_mpo,5941,I-15; 24th Street Interchange,1,2021-2026,2021-2026,2021-2026,2021-2026,,2022-2027,,,,2722000,2722000,,Scoping,Scoping,Weber,1,,
wfrc_mpo,6552,"1800 NO. (SR-37) 2000 W, to I-15 Enviro. Study",2,2021-2026,2022-2027,2021-2026|2022-2027,2021-2026,,2023-2028,,,,2376000,2376000,0.0,Scoping,Scoping,Davis,1,,
wfrc_mpo,6691,Vineyard Connector,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,,,,38010000,38010000,,Active,Active,Utah,0,,
wfrc_mpo,6963,SOUTHERN PARKWAY; Washington Dam Road to SR-9,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,,,,6251019,6251019,,Close Out,Close Out,Washington,0,,
wfrc_mpo,7037,I-15; UTAH COUNTY CORRIDOR EXPANSION (I-15 CORE),1,2020-2025,2020-2025,2020-2025,2020-2025,1,,,,,1306001784.49,1306001784.49,,Contract Complete,Contract Complete,Utah,0,,
wfrc_mpo,7176,West Davis Corridor EIS,6,2020-2025,2025-2030,2020-2025|2021-2026|2022-2027|2023-2028|2024-2029|2025-2030,2020-2025,1,2026-2031,,,,17050000,16629000,-2.5,Scoping,Scoping,Davis,1,,
wfrc_mpo,7479,STATEWIDE; STATE PARK SIGNING ON STATE ROUTES,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,,,,433129.97000000003,433129.97000000003,,Close Out,Close Out,Salt Lake,1,,
wfrc_mpo,7650,CNG Fuel Fac. Expansion -  5600 W Related,7,2021-2026,2027-2032,2021-2026|2022-2027|2023-2028|2024-2029|2025-2030|2026-2031|2027-2032,2021-2026,,,,2026,,2145000,2563000,19.5,Scoping,Scoping,Salt Lake,1,,
wfrc_mpo,7651,"STATEWIDE, MISC SIGNS FOR TRAFFIC AND SAFETY",1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,,,,362159.01,362159.01,,Close Out,Close Out,Salt Lake,1,,
wfrc_mpo,7703,MVC; Salt Lake County PM,8,2020-2025,2027-2032,2020-2025|2021-2026|2022-2027|2023-2028|2024-2029|2025-2030|2026-2031|2027-2032,2020-2025,1,,,2021,,444675821.73,434676000,-2.2,Under Construction,Active|Scoping|Under Construction,Salt Lake,1,,
wfrc_mpo,7704,MVC; UTILITIES TRANSMISSION LOCATION,5,2020-2025,2024-2029,2020-2025|2021-2026|2022-2027|2023-2028|2024-2029,2020-2025,1,2025-2030,,2021,,92697390,82405000,-11.1,Under Construction,Active|Scoping|Under Construction,Various|Salt Lake,1,,
wfrc_mpo,7720,SR-154; 4700 S. & 5400 S. & SR-173 Flex Lanes,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,,,,23979556.73,23979556.73,,Close Out,Close Out,Salt Lake,1,,
wfrc_mpo,8061,"SR-114; GENEVA RD, ROADWAY WIDENING",1,2020-2025,2020-2025,2020-2025,2020-2025,1,,,,,76768352.11,76768352.11,,Physically Complete,Physically Complete,Utah,0,,
wfrc_mpo,8110,Highland Drive Improvements,1,2021-2026,2021-2026,2021-2026,2021-2026,,2022-2027,2017,2017,0,6321000,6321000,,Substantially Compl,Substantially Compl,Salt Lake,1,,
wfrc_mpo,8141,40th Street; Washington Blvd to Gramercy Ave,1,2021-2026,2021-2026,2021-2026,2021-2026,,2022-2027,,,,7083000,7083000,,Close Out,Close Out,Weber,1,,
wfrc_mpo,8166,BANGERTER HWY CORRIDOR PRESERVATION,7,2021-2026,2027-2032,2021-2026|2022-2027|2023-2028|2024-2029|2025-2030|2026-2031|2027-2032,2021-2026,,,,,,7494000,7494000,0.0,Scoping,Active|Scoping,Salt Lake,1,,
wfrc_mpo,8312,MVC; AQ MONITOR AND FILTERS,8,2020-2025,2027-2032,2020-2025|2021-2026|2022-2027|2023-2028|2024-2029|2025-2030|2026-2031|2027-2032,2020-2025,1,,,2021,,4100000,4100000,0.0,Under Construction,Active|Scoping|Under Construction,Various|Salt Lake,1,,
wfrc_mpo,8314,"SR-85, MVC; 5400 South to 4100 South",1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,,,,113406870.25,113406870.25,,Contract Closed Out,Contract Closed Out,Salt Lake,1,,
wfrc_mpo,8555,6200 South & Holladay Boulevard,1,2021-2026,2021-2026,2021-2026,2021-2026,,2022-2027,2018,2018,0,2332000,2332000,,Substantially Compl,Substantially Compl,Salt Lake,1,,
wfrc_mpo,8557,6200 South; 6100 West to SR-111,1,2021-2026,2021-2026,2021-2026,2021-2026,,2022-2027,,,,5296000,5296000,,Closed,Closed,Salt Lake,1,,
wfrc_mpo,8559,Adams Avenue; Washington Blvd. to 5600 South,1,2021-2026,2021-2026,2021-2026,2021-2026,,2022-2027,,,,5325000,5325000,,Close Out,Close Out,Weber,1,,
wfrc_mpo,8599,TRANSIT ORIENTED DEVELOPMENT @ 1000 SO. TRAX STA.,2,2021-2026,2022-2027,2021-2026|2022-2027,2021-2026,,2023-2028,,,,2145000,2682000,25.0,Scoping,Scoping,Salt Lake,1,,
wfrc_mpo,8601,WASATCH BOULEVARD & 7650 SOUTH,2,2023-2028,2024-2029,2023-2028|2024-2029,2023-2028,,2025-2030,2018,2018,0,1358000,1358000,0.0,Under Construction,Scoping|Under Construction,Salt Lake,1,,
wfrc_mpo,9418,SR-154; Bangerter Highway & 600 W (Canal Work),1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2016,2016,0,1063000,1063000,,Close Out,Close Out,Salt Lake,1,,
wfrc_mpo,9446,SR-71; 12300 South to 11500 South,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2019,2019,0,1317666,1317666,,Under Construction,Under Construction,Salt Lake,1,,
wfrc_mpo,9713,SR-248; Us-40 to Kamas,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2017,2017,0,8108733.18,8108733.18,,Close Out,Close Out,Various,,,
wfrc_mpo,9994,"US-89; State St., 220 So P.G. to 500 East A.F.",1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2020,2020,0,19824598.93,19824598.93,,Active,Active,Utah,0,,
wfrc_mpo,10009,5600 West; 7800 South to 8600 South,1,2021-2026,2021-2026,2021-2026,2021-2026,,2022-2027,2018,2018,0,5597000,5597000,,Close Out,Close Out,Salt Lake,1,,
wfrc_mpo,10010,I-15; Spall Repair (top low patches),1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2017,2017,0,5121739.66,5121739.66,,Close Out,Close Out,Salt Lake,1,,
wfrc_mpo,10011,13800 South; Bangerter Hwy to 300 East,1,2021-2026,2021-2026,2021-2026,2021-2026,,2022-2027,2017,2017,0,3418000,3418000,,Closed,Closed,Salt Lake,1,,
wfrc_mpo,10013,1100 North Street: Redwood Road to 110 East,1,2021-2026,2021-2026,2021-2026,2021-2026,,2022-2027,2012,2012,0,2372000,2372000,,Closed,Closed,Davis,1,,
wfrc_mpo,10014,Harrison Blvd. (South): 7th Street to 2nd Street,2,2020-2025,2021-2026,2020-2025|2021-2026,2020-2025,1,2022-2027,2012,2012,0,4265665.75,4266000,0.0,Close Out,Close Out,Weber,1,,
wfrc_mpo,10017,3000 West; 300 North to 1300 North,1,2021-2026,2021-2026,2021-2026,2021-2026,,2022-2027,2012,2012,0,3162000,3162000,,Closed,Closed,Davis,1,,
wfrc_mpo,10021,Fruit Heights / Kaysville 400/200 North,7,2021-2026,2027-2032,2021-2026|2022-2027|2023-2028|2024-2029|2025-2030|2026-2031|2027-2032,2021-2026,,,2012,2025,13,1323000,1323000,0.0,Scoping,Scoping,Davis,1,,
wfrc_mpo,10263,I-15; Payson Main Interchange,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2014,2014,0,3894879,3894879,,Active,Active,Utah,0,,
wfrc_mpo,10265,SR-198; Woodland Hills Dr to Arrowhead Trail in SF,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2016,2016,0,8213411.34,8213411.34,,Under Construction,Under Construction,Utah,0,,
