date,title,body,video_url,video_id,caption_type,source_url,retrieved_date,format,extraction_method,path,raw_path,minutes_match
2026-06-09,Salt Lake City Formal Meeting - 06/09/2026,Council,https://www.youtube.com/watch?v=vssFbwKYvOE,vssFbwKYvOE,asr,https://www.youtube.com/watch?v=vssFbwKYvOE,2026-07-05,caption,yt-dlp_auto_sub_en,text/2026-06-09_formal-meeting.md,raw/2026-06-09_formal-meeting.vtt,true
2026-06-09,Salt Lake City Council Work Session - 06/09/2026,Council,https://www.youtube.com/watch?v=npUPFIimiAg,npUPFIimiAg,asr,https://www.youtube.com/watch?v=npUPFIimiAg,2026-07-05,caption,yt-dlp_auto_sub_en,text/2026-06-09_work-session.md,raw/2026-06-09_work-session.vtt,true
2026-06-09,Salt Lake City Community Reinvestment Agency (CRA) Meeting - 06/09/2026,Council,https://www.youtube.com/watch?v=CSCy3HfjszI,CSCy3HfjszI,asr,https://www.youtube.com/watch?v=CSCy3HfjszI,2026-07-05,caption,yt-dlp_auto_sub_en,text/2026-06-09_cra.md,raw/2026-06-09_cra.vtt,true
2026-05-19,"Salt Lake City LBA, CRA, and City Council Formal Meeting - 05/19/2026",Council,https://www.youtube.com/watch?v=P-oy8t21r-k,P-oy8t21r-k,asr,https://www.youtube.com/watch?v=P-oy8t21r-k,2026-07-05,caption,yt-dlp_auto_sub_en,text/2026-05-19_lba-cra-council-formal.md,raw/2026-05-19_lba-cra-council-formal.vtt,true
2026-05-19,Salt Lake City Council Work Session - 05/19/2026,Council,https://www.youtube.com/watch?v=jgtdb_5uTFI,jgtdb_5uTFI,asr,https://www.youtube.com/watch?v=jgtdb_5uTFI,2026-07-05,caption,yt-dlp_auto_sub_en,text/2026-05-19_work-session.md,raw/2026-05-19_work-session.vtt,true
2026-05-14,Salt Lake City Council Work Session - 05/14/2026,Council,https://www.youtube.com/watch?v=qURCVMnJ5HE,qURCVMnJ5HE,asr,https://www.youtube.com/watch?v=qURCVMnJ5HE,2026-07-05,caption,yt-dlp_auto_sub_en,text/2026-05-14_work-session.md,raw/2026-05-14_work-session.vtt,true
2026-05-12,Salt Lake City Council Work Session - 05/12/2026,Council,https://www.youtube.com/watch?v=B-vVy1uGU20,B-vVy1uGU20,asr,https://www.youtube.com/watch?v=B-vVy1uGU20,2026-07-05,caption,yt-dlp_auto_sub_en,text/2026-05-12_work-session.md,raw/2026-05-12_work-session.vtt,true
2026-05-12,Salt Lake City Community Reinvestment Agency (CRA) Meeting - 05/12/2026,Council,https://www.youtube.com/watch?v=4hffGKRRRfA,4hffGKRRRfA,asr,https://www.youtube.com/watch?v=4hffGKRRRfA,2026-07-05,caption,yt-dlp_auto_sub_en,text/2026-05-12_cra.md,raw/2026-05-12_cra.vtt,true
2026-05-05,"Salt Lake City LBA, CRA, and City Council Formal Meeting - 05/05/2026",Council,https://www.youtube.com/watch?v=PsVcAWvfDXw,PsVcAWvfDXw,asr,https://www.youtube.com/watch?v=PsVcAWvfDXw,2026-07-05,caption,yt-dlp_auto_sub_en,text/2026-05-05_lba-cra-council-formal.md,raw/2026-05-05_lba-cra-council-formal.vtt,true
2026-05-05,Salt Lake City Council Work Session - 05/05/2026,Council,https://www.youtube.com/watch?v=lMyJuQRSTd4,lMyJuQRSTd4,asr,https://www.youtube.com/watch?v=lMyJuQRSTd4,2026-07-05,caption,yt-dlp_auto_sub_en,text/2026-05-05_work-session.md,raw/2026-05-05_work-session.vtt,true
