date,body,md_path,source_url,minutes_status,extraction
2019-02-12,Planning Commission,land_use/minutes/2019/2019-02-12_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-02-12%20PLAN.pdf,Approved,born-digital
2019-07-09,Planning Commission,land_use/minutes/2019/2019-07-09_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-07-09%20PLAN.pdf,Approved,born-digital
2019-09-10,Planning Commission,land_use/minutes/2019/2019-09-10_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-09-10%20PLAN.pdf,Approved,born-digital
2019-09-24,Planning Commission,land_use/minutes/2019/2019-09-24_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-09-24%20PLAN.pdf,Approved,born-digital
2019-10-08,Planning Commission,land_use/minutes/2019/2019-10-08_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-10-08%20PLAN.pdf,Approved,born-digital
2019-11-12,Planning Commission,land_use/minutes/2019/2019-11-12_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-11-12%20PLAN.pdf,Approved,born-digital
2019-12-10,Planning Commission,land_use/minutes/2019/2019-12-10_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-12-10%20PLAN.pdf,Approved,born-digital
2020-01-13,Planning Commission,land_use/minutes/2020/2020-01-13_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2020/M%202020-01-13%20PLAN.pdf,Approved,born-digital
2020-02-11,Planning Commission,land_use/minutes/2020/2020-02-11_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2020/M%202020-02-11%20PLAN.pdf,Approved,born-digital
2020-03-10,Planning Commission,land_use/minutes/2020/2020-03-10_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2020/M%202020-03-10%20PLAN.pdf,Approved,born-digital
2020-04-14,Planning Commission,land_use/minutes/2020/2020-04-14_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2020/M%202020-04-14%20PLAN.pdf,Approved,born-digital
2020-05-12,Planning Commission,land_use/minutes/2020/2020-05-12_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2020/M%202020-05-12%20PLAN.pdf,Approved,born-digital
2020-06-09,Planning Commission,land_use/minutes/2020/2020-06-09_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2020/M%202020-06-09%20PLAN.pdf,Approved,born-digital
2020-06-17,Planning Commission,land_use/minutes/2020/2020-06-17_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2020/M%202020-06-17%20PLAN.pdf,Approved,born-digital
2020-07-14,Planning Commission,land_use/minutes/2020/2020-07-14_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2020/M%202020-07-14%20PLAN.pdf,Approved,born-digital
2020-09-08,Planning Commission,land_use/minutes/2020/2020-09-08_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2020/M%202020-09-08%20PLAN.pdf,Approved,born-digital
2020-10-13,Planning Commission,land_use/minutes/2020/2020-10-13_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2020/M%202020-10-13%20PLAN.pdf,Approved,born-digital
2020-10-29,Planning Commission,land_use/minutes/2020/2020-10-29_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2020/M%202020-10-29%20PLAN.pdf,Approved,born-digital
2020-12-08,Planning Commission,land_use/minutes/2020/2020-12-08_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2020/M%202020-12-08%20PLAN.pdf,Approved,born-digital
2021-01-12,Planning Commission,land_use/minutes/2021/2021-01-12_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2021/M%202021-01-12%20PLAN.pdf,Approved,born-digital
2021-02-09,Planning Commission,land_use/minutes/2021/2021-02-09_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2021/M%202021-02-09%20PLAN.pdf,Approved,born-digital
2021-03-09,Planning Commission,land_use/minutes/2021/2021-03-09_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2021/M%202021-03-09%20PLAN.pdf,Approved,born-digital
2021-04-13,Planning Commission,land_use/minutes/2021/2021-04-13_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2021/M%202021-04-13%20PLAN.pdf,Approved,born-digital
2021-08-10,Planning Commission,land_use/minutes/2021/2021-08-10_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2021/M%202021-08-10%20PLAN.pdf,Approved,OCR
2021-09-14,Planning Commission,land_use/minutes/2021/2021-09-14_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2021/M%202021-09-14%20PLAN.pdf,Approved,OCR
2021-09-28,Planning Commission,land_use/minutes/2021/2021-09-28_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2021/M%202021-09-28%20PLAN.pdf,Approved,born-digital
2021-10-12,Planning Commission,land_use/minutes/2021/2021-10-12_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2021/M%202021-10-12%20PLAN.pdf,Approved,OCR
2021-11-09,Planning Commission,land_use/minutes/2021/2021-11-09_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2021/M%202021-11-09%20PLAN.pdf,Approved,OCR
2021-12-14,Planning Commission,land_use/minutes/2021/2021-12-14_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2021/M%202021-12-14%20PLAN.pdf,Approved,OCR
2022-01-11,Planning Commission,land_use/minutes/2022/2022-01-11_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2022/M%202022-01-11%20PLAN.pdf,Approved,OCR
2022-02-08,Planning Commission,land_use/minutes/2022/2022-02-08_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2022/M%202022-02-08%20PLAN.pdf,Approved,OCR
2022-03-08,Planning Commission,land_use/minutes/2022/2022-03-08_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2022/M%202022-03-08%20PLAN.pdf,Approved,OCR
2022-04-12,Planning Commission,land_use/minutes/2022/2022-04-12_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2022/M%202022-04-12%20PLAN.pdf,Approved,OCR
2022-05-10,Planning Commission,land_use/minutes/2022/2022-05-10_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2022/M%202022-05-10%20PLAN.pdf,Approved,OCR
2022-06-14,Planning Commission,land_use/minutes/2022/2022-06-14_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2022/M%202022-06-14%20PLAN.pdf,Approved,OCR
2023-02-14,Planning Commission,land_use/minutes/2023/2023-02-14_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2023/M%202023-02-14%20PLAN.pdf,Approved,born-digital
2023-03-14,Planning Commission,land_use/minutes/2023/2023-03-14_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2023/M%202023-03-14%20PLAN.pdf,Approved,born-digital
2023-04-11,Planning Commission,land_use/minutes/2023/2023-04-11_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2023/M%202023-04-11%20PLAN.pdf,Approved,born-digital
2023-05-09,Planning Commission,land_use/minutes/2023/2023-05-09_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2023/M%202023-05-09%20PLAN.pdf,Approved,born-digital
2023-06-13,Planning Commission,land_use/minutes/2023/2023-06-13_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2023/M%202023-06-13%20PLAN.pdf,Approved,born-digital
2023-09-12,Planning Commission,land_use/minutes/2023/2023-09-12_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2023/M%202023-09-12%20PLAN.pdf,Approved,born-digital
2023-10-10,Planning Commission,land_use/minutes/2023/2023-10-10_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2023/M%202023-10-10%20PLAN.pdf,Approved,born-digital
2023-11-14,Planning Commission,land_use/minutes/2023/2023-11-14_planning_commission.md,https://www.washco.utah.gov/forms/pdf/minutes/2023/M%202023-11-14%20PLAN.pdf,Approved,born-digital
