candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review
David Paul Brems,"Metro Township Council (founding, at-large)",,2016,2016-11-01,Interim (November),,S.L. COUNTY,S.L. County,ELECTION FILING FEE,50.00,False,False,raw/2016_nov_david-paul-brems.pdf,15533b22,v1,low,vision_cache/vision,1
David Paul Brems,"Metro Township Council (founding, at-large)",,2016,2016-11-01,Interim (November),2016-10-18,PRESTO PRINT,Presto Print,PRINTING & ENVELOPES,302.81,False,False,raw/2016_nov_david-paul-brems.pdf,15533b22,v2,low,vision_cache/vision,1
David Paul Brems,"Metro Township Council (founding, at-large)",,2016,2016-11-01,Interim (November),2016-10-17,USPS,Usps,POSTAGE STAMPS,42.88,False,False,raw/2016_nov_david-paul-brems.pdf,15533b22,v3,low,vision_cache/vision,1
David Paul Brems,"Metro Township Council (founding, at-large)",,2016,2016-11-01,Interim (November),2016-10-19,USPS,Usps,POSTAGE STAMPS,150.40,False,False,raw/2016_nov_david-paul-brems.pdf,15533b22,v4,low,vision_cache/vision,1
David Paul Brems,"Metro Township Council (founding, at-large)",,2016,2016-11-01,Interim (November),2016-10-20,OFFICE MAX,Office Max,ENVELOPES,16.02,False,False,raw/2016_nov_david-paul-brems.pdf,15533b22,v5,low,vision_cache/vision,1
Kathryn Christensen,"Metro Township Council (founding, at-large)",,2016,2016-11-01,Interim (November),2016-02-03,Salt Lake County,Salt Lake County,Filing Fee,50.00,False,False,raw/2016_nov_kathryn-christensen.pdf,06d6c33e,v1,medium,vision_cache/vision,0
Rick Raile,"Metro Township Council (founding, at-large)",,2016,2016-11-01,Interim (November),2016-01-06,Sherrie Swensen SLCo Clerk,Sherrie Swensen SLCo Clerk,candidate filing fee,50.00,False,False,raw/2016_nov_rick-raile.pdf,c610ccb7,v1,medium,vision_cache/vision,0
Steve Hook,"Metro Township Council (founding, at-large)",,2016,2016-11-01,Interim (November),2016-03-08,S.L. County,S.L. County,Filing fee,50.00,False,False,raw/2016_nov_steve-hook.pdf,54641d38,v1,medium,vision_cache/vision,0
Rick Raile,"Metro Township Council (founding, at-large)",,2016,2016-12-01,Dissolution report (December),2016-01-06,Rickey F. Raile,Rickey F. Raile,Loan for Candidate filing fee,50.00,False,False,raw/2016_dec-dissolution_rick-raile.pdf,6e2f7310,v1,medium,vision_cache/vision,0
Gary Bowen,Metro Township Council At-Large (2017 @LRG),,2017,2017-11-01,Interim (November),2017-06-07,SL County Clerk,SL County Clerk,Candidate filing fee,50.00,False,True,raw/2017_nov_gary-bowen.pdf,9d9263f3,v1,medium,vision_cache/vision,0
Joe Smolka,Metro Township Council At-Large (2017 @LRG),,2017,2017-11-01,Interim (November),2017-06-07,County clerk,County clerk,Filing Fee,50.00,False,False,raw/2017_nov_joe-smolka.pdf,f38061fd,v1,medium,vision_cache/vision,0
Joe Smolka,Metro Township Council At-Large (2017 @LRG),,2017,2017-12-01,Year-end summary (December),,Joe Smolka,Joe Smolka,Filing Fee,50.00,False,False,raw/2017_dec_joe-smolka.pdf,1625cf82,v1,medium,vision_cache/vision,0
David Paul Brems,Metro Township Council At-Large (2019 cycle),,2019,2019-10-01,Interim (October),2019-06-04,SALT LAKE COUNTY CLERK,Salt Lake County Clerk,FILING FEE,50.00,False,True,raw/2019_oct_david-paul-brems.pdf,b8a9dacc,v1,medium,vision_cache/vision,0
Zachary Posner,"City of Emigration Canyon Council (2025, at-large)",,2025,2025-08-01,Report Prior to Primary Election (Aug 5),,MSD - Filing fee,Msd - Filing fee,Filing fee,50.00,False,True,raw/city_electioninfo_zachary-posner.pdf,2fcee9b4,v1,medium,vision_cache/vision,0
Dillon Wheelock,"City of Emigration Canyon Council (2025, at-large)",,2025,2025-08-05,Report Prior to Primary Election (Aug 5),,Candidate,Candidate,filling fee,50.00,False,True,raw/city_electioninfo_dillon-wheelock.pdf,dca35c37,v1,medium,vision_cache/vision,0
Robert Pinon,"City of Emigration Canyon Council (2025, at-large)",,2025,2025-08-05,Report Prior to Primary Election (Aug 5),,Application for candidacy,Application for candidacy,Application for candidacy,50.00,False,True,raw/city_electioninfo_robert-pinon.pdf,fbe3c5ba,v1,high,vision_cache/text,0
