candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
Bob Staggers,"Metro Township Council (founding, at-large)",2016,2016-11-01,Interim (November),interim,0.00,50.00,0.00,0.00,0.00,,True,,0.00,,0.00,0,0,raw/2016_nov_bob-staggers.pdf,9ab709a8,low,vision-transcribed(read-tool); totals-only(no itemization),
David Paul Brems,"Metro Township Council (founding, at-large)",2016,2016-11-01,Interim (November),interim,662.11,662.11,,0.00,662.11,562.11,True,False,0.00,-100.00,416.42,5,5,raw/2016_nov_david-paul-brems.pdf,15533b22,low,vision-transcribed(read-tool); expend!=stated; superseded (cumulative snapshot; cycle total = latest report),
Gary Bowen,"Metro Township Council (founding, at-large)",2016,2016-11-01,Interim (November),interim,55.00,55.00,0.00,0.00,,,,,,,0.00,0,0,raw/2016_nov_gary-bowen.pdf,773be790,low,vision-transcribed(read-tool); multi-report bundle (2 reports in one PDF; stated totals = bundle cover else last sub-report); totals-only(no itemization); totals-only(no itemization); superseded (cumulative snapshot; cycle total = latest report),
Jennifer Hawkes,"Metro Township Council (founding, at-large)",2016,2016-11-01,Interim (November),interim,0.00,50.00,0.00,-50.00,0.00,,True,,0.00,,0.00,0,0,raw/2016_nov_jennifer-hawkes.pdf,1f46794a,low,vision-transcribed(read-tool); totals-only(no itemization); superseded (cumulative snapshot; cycle total = latest report),
Joe Smolka,"Metro Township Council (founding, at-large)",2016,2016-11-01,Interim (November),interim,0.00,0.00,0.00,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2016_nov_joe-smolka.pdf,b7fa12dd,medium,vision-transcribed(read-tool); superseded (cumulative snapshot; cycle total = latest report),
Kathryn Christensen,"Metro Township Council (founding, at-large)",2016,2016-11-01,Interim (November),interim,50.00,50.00,0.00,0.00,50.00,50.00,True,True,0.00,0.00,50.00,1,1,raw/2016_nov_kathryn-christensen.pdf,06d6c33e,medium,vision-transcribed(read-tool); superseded (cumulative snapshot; cycle total = latest report),
Rick Raile,"Metro Township Council (founding, at-large)",2016,2016-11-01,Interim (November),interim,50.00,50.00,0.00,0.00,50.00,50.00,True,True,0.00,0.00,0.00,1,1,raw/2016_nov_rick-raile.pdf,c610ccb7,medium,vision-transcribed(read-tool); superseded (cumulative snapshot; cycle total = latest report),
Steve Hook,"Metro Township Council (founding, at-large)",2016,2016-11-01,Interim (November),interim,50.00,50.00,0.00,0.00,50.00,50.00,True,True,0.00,0.00,50.00,1,1,raw/2016_nov_steve-hook.pdf,54641d38,medium,vision-transcribed(read-tool); superseded (cumulative snapshot; cycle total = latest report),
Bob Staggers,"Metro Township Council (founding, at-large)",2016,2016-12-01,Dissolution report (December),summary,0.00,0.00,0.00,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2016_dec-dissolution_bob-staggers.pdf,fc9f0c06,medium,vision-transcribed(read-tool),
David Paul Brems,"Metro Township Council (founding, at-large)",2016,2016-12-01,Year-end summary (December),summary,662.11,662.11,,0.00,,,,,,,0.00,0,0,raw/2016_dec_david-paul-brems.pdf,a521f168,low,vision-transcribed(read-tool); totals-only(no itemization); totals-only(no itemization),
Gary Bowen,"Metro Township Council (founding, at-large)",2016,2016-12-01,Year-end summary (December),summary,55.00,55.00,0.00,0.00,,,,,,,0.00,0,0,raw/2016_dec_gary-bowen.pdf,cff93a02,low,vision-transcribed(read-tool); totals-only(no itemization); totals-only(no itemization),
Jennifer Hawkes,"Metro Township Council (founding, at-large)",2016,2016-12-01,Dissolution report (December),summary,0.00,50.00,0.00,-50.00,0.00,,True,,0.00,,0.00,0,0,raw/2016_dec-dissolution_jennifer-hawkes.pdf,c05ca06e,low,vision-transcribed(read-tool); totals-only(no itemization),
