date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,source,date_precision,is_incremental,matched_election_candidate,join_confidence,sha256,notes
2016-11-01,Bob Staggers,"Metro Township Council (founding, at-large)",2016,interim,Interim (November),"2016 Bob Staggers (Metro Township Council (founding, at-large)) - campaign-finance disclosure (Interim (November))",https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/november/robert-staggers-emigration_redacted.pdf,2026-07-14,scanned,none (raw acquisition; text/OCR/vision deferred),raw/2016_nov_bob-staggers.pdf,slco_clerk_static,county_folder_ym,,,,d012760a7653e0f3ae35fef5a0af3e7473f69bb97f3339d0cd1a875707ccce20,"2016 founding cohort. The county filed this under the Emigration TOWNSHIP COUNCIL section (NOT the Emigration Improvement District, though B. Staggers later appears on the ID board - do not conflate). Not in election_results council rows - flag #1."
2016-11-01,David Paul Brems,"Metro Township Council (founding, at-large)",2016,interim,Interim (November),"2016 David Paul Brems (Metro Township Council (founding, at-large)) - campaign-finance disclosure (Interim (November))",https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/november/david-brems_redacted.pdf,2026-07-14,scanned,none (raw acquisition; text/OCR/vision deferred),raw/2016_nov_david-paul-brems.pdf,slco_clerk_static,county_folder_ym,,DAVID PAUL BREMS,medium,cc7172ce7aa124f8e34be6d4713ac9e45f89ffc31454aab3af9d20a6de3d51d9,2016 founding cohort. Brems is a certified 2023 winner and current city Mayor. Founding contest absent from election_results (flag #1).
2016-11-01,Gary Bowen,"Metro Township Council (founding, at-large)",2016,interim,Interim (November),"2016 Gary Bowen (Metro Township Council (founding, at-large)) - campaign-finance disclosure (Interim (November))",https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/november/gary-bowen-emigration_redacted.pdf,2026-07-14,scanned,none (raw acquisition; text/OCR/vision deferred),raw/2016_nov_gary-bowen.pdf,slco_clerk_static,county_folder_ym,,GARY BOWEN,medium,ca88ace96fdf70a30a99d5dad05ceaa3ef28f84e799e318966f563cb3a7fda3c,2016 founding cohort. Bowen is a 2017 @LRG WINNER. Founding contest absent from election_results (flag #1).
2016-11-01,Jennifer Hawkes,"Metro Township Council (founding, at-large)",2016,interim,Interim (November),"2016 Jennifer Hawkes (Metro Township Council (founding, at-large)) - campaign-finance disclosure (Interim (November))",https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/november/jennifer-hawkes-emigration_redacted.pdf,2026-07-14,scanned,none (raw acquisition; text/OCR/vision deferred),raw/2016_nov_jennifer-hawkes.pdf,slco_clerk_static,county_folder_ym,,JENNIFER HAWKES,medium,f98502ef18f9982e2d943708bde9db54853ed2d3779c1a3d2a72c406724cd6ee,2016 founding cohort (county page 'Emigration Township Council At Large' / '2016 Financial Disclosure Reporting'). Hawkes is a certified 2023 winner; the 2016 founding contest is absent from election_results (labeled 2017 there) - flag #1.
2016-11-01,Joe Smolka,"Metro Township Council (founding, at-large)",2016,interim,Interim (November),"2016 Joe Smolka (Metro Township Council (founding, at-large)) - campaign-finance disclosure (Interim (November))",https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/november/joseph-smolka-emigration_redacted.pdf,2026-07-14,scanned,none (raw acquisition; text/OCR/vision deferred),raw/2016_nov_joe-smolka.pdf,slco_clerk_static,county_folder_ym,,JOE SMOLKA,medium,ca8d3ede47a509133844f7c29d008af2b4da871de8f81f1a72d0b500900d059d,2016 founding cohort. Smolka is the 2017 @LRG WINNER and township-era presiding Mayor. Founding contest absent from election_results (flag #1).
2016-11-01,Kathryn Christensen,"Metro Township Council (founding, at-large)",2016,interim,Interim (November),"2016 Kathryn Christensen (Metro Township Council (founding, at-large)) - campaign-finance disclosure (Interim (November))",https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/november/kathryn-christensen-emigration_redacted.pdf,2026-07-14,scanned,none (raw acquisition; text/OCR/vision deferred),raw/2016_nov_kathryn-christensen.pdf,slco_clerk_static,county_folder_ym,,,,f70c570174a12d2e38df4ec5351ca16109fa04be5cb9b4be7f16bad47d87d3de,2016 founding cohort. Kathryn Christensen is not in election_results council rows - flag #1.
2016-11-01,Rick Raile,"Metro Township Council (founding, at-large)",2016,interim,Interim (November),"2016 Rick Raile (Metro Township Council (founding, at-large)) - campaign-finance disclosure (Interim (November))",https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/november/rickey-raile_redacted.pdf,2026-07-14,scanned,none (raw acquisition; text/OCR/vision deferred),raw/2016_nov_rick-raile.pdf,slco_clerk_static,county_folder_ym,,,,84f8a9f4f036b749123e5df372186c96180f04be497f07670dc6162cc73cc847,2016 founding cohort. Rickey Raile is not in election_results council rows - flag #1.
2016-11-01,Steve Hook,"Metro Township Council (founding, at-large)",2016,interim,Interim (November),"2016 Steve Hook (Metro Township Council (founding, at-large)) - campaign-finance disclosure (Interim (November))",https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/november/stephen-hook--emigration_redacted.pdf,2026-07-14,scanned,none (raw acquisition; text/OCR/vision deferred),raw/2016_nov_steve-hook.pdf,slco_clerk_static,county_folder_ym,,,,b7345313c5ddcbd8b326a855cbe0b34f15c586728e96d1f35333a056558ed46a,"2016 founding cohort. Steve Hook is an early council member of record (meeting_minutes/roster 'Steve Hook, brief') but is NOT in election_results council rows - flag #1. NOT the Improvement District (county filed this under the township council)."
2016-12-01,Bob Staggers,"Metro Township Council (founding, at-large)",2016,summary,Dissolution report (December),"2016 Bob Staggers (Metro Township Council (founding, at-large)) - campaign-finance disclosure (Dissolution report (December))",https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/dissolutions/bob-staggers_dissolution_redacted.pdf,2026-07-14,scanned,none (raw acquisition; text/OCR/vision deferred),raw/2016_dec-dissolution_bob-staggers.pdf,slco_clerk_static,county_folder_ym,,,,a67b7d2b061ebd4149f5f552d864a617c21a86075feaf9e83a42df4e0b2973ef,"2016 founding cohort; dissolution/closing report. Township-council filing, not Improvement District. Flag #1."
2016-12-01,David Paul Brems,"Metro Township Council (founding, at-large)",2016,summary,Year-end summary (December),"2016 David Paul Brems (Metro Township Council (founding, at-large)) - campaign-finance disclosure (Year-end summary (December))",https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/2016_year_end/david-brems_redacted.pdf,2026-07-14,scanned,none (raw acquisition; text/OCR/vision deferred),raw/2016_dec_david-paul-brems.pdf,slco_clerk_static,county_folder_ym,,DAVID PAUL BREMS,medium,c1c5f1a79f6f665de23f23f6bdf1e42a72a4b99fed60f10bf47742ba0b924a59,2016 founding cohort year-end summary. See flag #1.
