year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2019,municipal general,Council,At-Large,White City Metro Township Council At-Large,D. SCOTT LITTLE,622,27.02,1,True
2019,municipal general,Council,At-Large,White City Metro Township Council At-Large,ALLAN J PERRY,589,25.59,2,True
2019,municipal general,Council,At-Large,White City Metro Township Council At-Large,PAULINA F. FLINT,559,24.28,3,True
2019,municipal general,Council,At-Large,White City Metro Township Council At-Large,CODY CUTLER,532,23.11,4,False
2023,municipal general,Council,At-Large,White City Metro Township Council At-Large,PAULINA F. FLINT,579,26.18,1,True
2023,municipal general,Council,At-Large,White City Metro Township Council At-Large,GREG SHELTON,558,25.23,2,True
2023,municipal general,Council,At-Large,White City Metro Township Council At-Large,TYLER HUISH,448,20.25,3,True
2023,municipal general,Council,At-Large,White City Metro Township Council At-Large,HOWARD F. VAN HORN II,375,16.95,4,False
2023,municipal general,Council,At-Large,White City Metro Township Council At-Large,NICK J. WEST,252,11.39,5,False
2025,municipal general,Mayor,,White City Mayor,ALLAN PERRY,740,61.87,1,True
2025,municipal general,Mayor,,White City Mayor,PAULINA FLINT,456,38.13,2,False
2025,municipal general,Mayor,,White City Mayor,Write-in (unresolved),0,0.0,3,False
2025,municipal general,Council,At-Large B,White City Council At-Large B,LINDA PRICE,730,70.4,1,True
2025,municipal general,Council,At-Large B,White City Council At-Large B,DOUGLAS DENNING,307,29.6,2,False
2025,municipal general,Council,At-Large B,White City Council At-Large B,Write-in (unresolved),0,0.0,3,False
2025,municipal general,Council,At-Large C,White City Council At-Large C,NEIL MAHONEY,635,54.23,1,True
2025,municipal general,Council,At-Large C,White City Council At-Large C,PHILLIP CARDENAZ,536,45.77,2,False
2025,municipal general,Council,At-Large C,White City Council At-Large C,Write-in (unresolved),0,0.0,3,False
