role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,3,2026-01-28,2026-04-08,3
2,2,3,2020-01-08,2024-07-10,367
3,4,1,2025-02-11,2026-06-23,219
4,4,2,2025-04-08,2026-05-26,8
5,4,3,2020-01-08,2024-12-11,422
6,4,4,2025-02-25,2026-06-09,20
7,5,3,2020-01-08,2022-05-11,211
8,6,3,2020-01-08,2026-05-13,279
9,7,3,2020-01-08,2024-08-14,368
10,8,1,2020-01-07,2026-06-23,1216
11,8,2,2020-01-07,2026-05-26,25
12,8,4,2020-02-04,2026-01-13,62
13,10,3,2020-01-22,2026-04-08,414
14,13,1,2020-01-07,2024-12-10,978
15,13,2,2020-01-07,2024-06-04,19
16,13,4,2020-02-04,2024-09-24,49
17,14,1,2020-01-07,2026-06-23,1199
18,14,2,2020-01-07,2026-05-26,25
19,14,4,2020-02-04,2026-06-09,66
20,15,1,2020-01-07,2026-06-23,1237
21,15,2,2020-01-07,2026-05-26,25
22,15,4,2020-02-04,2026-06-09,69
23,17,3,2020-01-08,2026-04-08,368
24,18,3,2020-01-22,2026-04-08,447
25,19,3,2024-07-03,2026-04-08,59
26,20,3,2025-03-26,2026-01-28,12
27,21,3,2024-02-28,2025-04-09,57
28,22,3,2025-02-26,2026-04-08,16
29,23,1,2020-01-07,2021-12-14,422
30,23,2,2020-01-07,2021-06-01,6
31,23,4,2020-02-18,2021-12-14,26
32,24,1,2022-01-04,2026-06-23,800
33,24,2,2022-04-26,2026-05-26,19
34,24,4,2022-05-03,2026-06-09,42
35,25,1,2020-01-07,2021-12-14,427
36,25,2,2020-01-07,2021-06-01,6
37,25,4,2020-02-04,2021-12-14,26
38,26,1,2020-01-07,2026-06-23,1198
39,26,2,2020-01-07,2026-05-26,25
40,26,4,2020-02-04,2026-06-09,69
41,27,1,2022-01-25,2026-06-23,786
42,27,2,2022-04-26,2026-05-26,19
43,27,4,2022-05-03,2026-06-09,43
