application_id,app_key,body_id,name,rep_title
1,Council|s|minutes/2020/2020-01-06/2020-01-07_council-regular-meeting.md|6,1,,to approve Resolution 19-173
2,MBA|s|minutes/2020/2020-01-06/2020-01-07_municipal-building-authority-meeting.md|2,2,,to approve Resolution 20-01
3,Council|s|minutes/2020/2020-01-13/2020-01-14_council-regular-meeting.md|3,1,,to approve Resolutions 20-02 and 20-03
4,Council|s|minutes/2020/2020-01-20/2020-01-21_council-regular-meeting.md|2,1,,to approve Ordinance 20-01
5,Council|s|minutes/2020/2020-01-20/2020-01-21_council-regular-meeting.md|7,1,,to approve application S-7-2019
6,Council|s|minutes/2020/2020-01-20/2020-01-21_council-regular-meeting.md|8,1,,to approve application SMI-8-2019
7,Council|s|minutes/2020/2020-01-27/2020-01-28_council-regular-meeting.md|2,1,,to approve Ordinance 20-02
8,Council|s|minutes/2020/2020-01-27/2020-01-28_council-regular-meeting.md|3,1,,to approve Ordinance 20-03
9,Council|s|minutes/2020/2020-01-27/2020-01-28_council-regular-meeting.md|6,1,,to approve Application S-9-2019
10,Council|s|minutes/2020/2020-02-03/2020-02-04_council-regular-meeting.md|2,1,,to approve Ordinance 20-04
11,Council|s|minutes/2020/2020-02-03/2020-02-04_council-regular-meeting.md|3,1,,"to approve Resolution 20-10 subject to modifying the Development Agreement to state that no storage will be permitted on the southernmost 20% of the property and in the event that there are two buildings, glass will only be required on one corner and the other corner where the loading docks are located shall have an architectural upgrade"
12,Council|s|minutes/2020/2020-02-03/2020-02-04_council-regular-meeting.md|4,1,,to approve Ordinance 20-05
13,RDA|s|minutes/2020/2020-02-03/2020-02-04_redevelopment-agency-meeting.md|2,4,,to approve Resolution 20-01
14,Council|s|minutes/2020/2020-02-10/2020-02-11_council-regular-meeting.md|3,1,,to approve Ordinance 20-07
15,Council|s|minutes/2020/2020-02-10/2020-02-11_council-regular-meeting.md|4,1,,to approve Resolution 20-15
16,Council|s|minutes/2020/2020-02-17/2020-02-18_council-regular-meeting.md|2,1,,to approve Ordinance 20-08
17,Council|s|minutes/2020/2020-02-17/2020-02-18_council-regular-meeting.md|5,1,,to approve Ordinance 20-10
18,Council|s|minutes/2020/2020-02-17/2020-02-18_council-regular-meeting.md|6,1,,to approve Ordinance 20-11
19,Council|s|minutes/2020/2020-02-17/2020-02-18_council-regular-meeting.md|7,1,,to approve Resolution 20-20
20,RDA|s|minutes/2020/2020-02-17/2020-02-18_redevelopment-agency-meeting.md|2,4,,to approve Resolution 20-02 option 2 to eliminate the church property and another property
21,Council|s|minutes/2020/2020-02-24/2020-02-25_council-regular-meeting.md|2,1,,to approve Ordinance 20-12
22,Council|s|minutes/2020/2020-02-24/2020-02-25_council-regular-meeting.md|5,1,,to approve Application SD-1-2019
23,Council|s|minutes/2020/2020-02-24/2020-02-25_council-regular-meeting.md|7,1,,to approve Resolution 20-24
24,RDA|s|minutes/2020/2020-02-24/2020-02-25_redevelopment-agency-meeting.md|2,4,,to approve Resolution 20-03
25,Council|s|minutes/2020/2020-03-16/2020-03-17_council-regular-meeting.md|4,1,,to approve Ordinance 20-16
