person_id,full_name,name_key
1,Adrianne Ramirez,adrianneramirez
2,Brent Fuller,brentfuller
3,Christnesen,christnesen
4,Cindy Wood,cindywood
5,Clover Meaders,clovermeaders
6,Darrick Porter,darrickporter
7,David McEwen,davidmcewen
8,Don Christensen,donchristensen
9,Fitisemau,fitisemau
10,Harold Woodruff,haroldwoodruff
11,Haron,haron
12,Huyhn,huyhn
13,Jake Fitisemanu,jakefitisemanu
14,Karen Lang,karenlang
15,Lars Nordfelt,larsnordfelt
16,Lehman,lehman
17,Martell Winters,martellwinters
18,Mathew Lovato,mathewlovato
19,Nancy Drozdek,nancydrozdek
20,Pauline Matagi,paulinematagi
21,Renee Layton,reneelayton
22,Rob Durfee,robdurfee
23,Ron Bigelow,ronbigelow
24,Scott Harmon,scottharmon
25,Steve Buhler,stevebuhler
26,Tom Huynh,tomhuynh
27,William Whetstone,williamwhetstone
28,XX,xx
