doc_type,title,adopted_date,jurisdiction,path,text_path,format,source_url,notes
general_plan,Washington County General Plan,2010-11-16,Unincorporated Washington County,raw/general_plan_2010.pdf,text/general_plan_2010.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/cdev/pdf/gp/washco-general-plan.pdf,"Countywide statutory general plan. Public Lands element amended 2010-11-16; later element amendments through ~2012. 406 pp, born-digital."
moderate_income_housing,Attainable Housing Plan,2021-09,Washington County,raw/attainable_housing_plan_2021.pdf,text/attainable_housing_plan_2021.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/2021/09/washco-attainable-housing-plan.pdf,County MIH-equivalent (attainable/moderate-income housing element). Associated implementing Ordinance 2025-1295-O. Born-digital.
transportation_plan,Washington County Transportation Master Plan,2024-04,Washington County,,text/transportation_master_plan_2024.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/2024/04/comdev-general-plan-county-transportation-master.pdf,Raw PDF 63MB - link-only per >50MB rule; text extracted (61 pp).
transportation_plan,Southern Utah Regional Trail Standards,2024-04,Washington County / Southern Utah region,raw/southern_utah_regional_trail_standards.pdf,text/southern_utah_regional_trail_standards.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/2024/04/comdev-general-plan-southern-utah-trail-standards.pdf,"Regional active-transportation/trail design standards. 38 pp, born-digital."
community_plan,New Harmony Valley General Plan (original),,New Harmony Valley (unincorporated),raw/community_new_harmony_valley_1990s.pdf,text/community_new_harmony_valley_1990s.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/cdev/pdf/cgp/general-new-harmony.pdf,Legacy 1990s-era community general plan (superseded by 2010-11 community plan).
community_plan,Pine Valley General Plan (original),,Pine Valley (unincorporated),raw/community_pine_valley_1990s.pdf,text/community_pine_valley_1990s.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/cdev/pdf/cgp/general-pine-valley.pdf,Legacy 1990s-era community general plan (superseded by 2010-11 community plan).
community_plan,Brookside / Pine Valley Mountain Farms Community Plan,2011,Brookside / Pine Valley Mtn Farms (unincorporated),raw/community_brookside_pine_valley_mtn_farms.pdf,text/community_brookside_pine_valley_mtn_farms.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/cdev/pdf/cgp/community-brookeside-pine-valley.pdf,Community general plan (2010-2011 series).
community_plan,Central / Dixie Deer Estates Community Plan,2011,Central / Dixie Deer Estates (unincorporated),raw/community_central_dixie_deer_estates.pdf,text/community_central_dixie_deer_estates.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/cdev/pdf/cgp/community-central-dixie-deer.pdf,Community general plan (2010-2011 series).
community_plan,Cliffdwellers / Grassy Meadows Sky Ranch Community Plan,2011,Cliffdwellers / Grassy Meadows Sky Ranch (unincorporated),raw/community_cliffdwellers_grassy_meadows_sky_ranch.pdf,text/community_cliffdwellers_grassy_meadows_sky_ranch.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/cdev/pdf/cgp/community-cliffdwellers-sky-ranch.pdf,Community general plan (2010-2011 series).
community_plan,Dammeron Valley Community Plan,2011,Dammeron Valley (unincorporated),raw/community_dammeron_valley.pdf,text/community_dammeron_valley.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/cdev/pdf/cgp/community-dammeron-valley.pdf,Community general plan (2010-2011 series).
