date,title,doc_type,source_url,retrieved_date,format,extraction_method,path,pages,repository,notes
2025,West Valley City General Plan -- landing / components page (current adopted plan),general_plan,https://www.wvc-ut.gov/450/General-Plan,2026-07-06,html,html-strip,raw/wvc-2025-general-plan-landing.html,,city,"WVC's adopted General Plan is delivered as WEB CHAPTERS (Introduction, Administration, Land Use, Economic Development, Urban Design, Existing Neighborhoods, Housing, Community Facilities, Parks/Rec/Culture, Transportation, Implementation, Definitions) plus a set of appendix PDFs (Moderate Income Housing Plan, Active Transportation Plan, Major Street Plan, Fairbourne Station Vision, Station Area Plans, Water Use & Preservation). Page states 'Contact our office for a PDF General Plan' -- NO consolidated GP PDF is published online. Retained artifact = the /450 landing HTML listing all components. A comprehensive General Plan update is underway (staff report projects a 2025 start, 2027 completion). Sidecar text/wvc-2025-general-plan-landing.txt."
2025,West Valley City General Plan -- Chapter 7 Housing (housing element chapter),general_plan,https://www.wvc-ut.gov/2176/General-Plan---Housing,2026-07-06,html,html-strip,raw/wvc-2025-general-plan-housing-chapter.html,,city,"The General Plan's own Housing chapter (Ch 7). Web-only (no PDF). States: 'the City's Moderate Income Housing Plan required by the State is included as an appendix to this General Plan' -- confirming MIH is a STANDALONE appendix plan, not merely an in-line chapter. NOTE vintage: this chapter's tables carry 2011-2014 home-sale data, i.e. it predates the 2025 MIH appendix and the pending comprehensive update. Sidecar text/wvc-2025-general-plan-housing-chapter.txt."
2025,West Valley City 2025 Moderate Income Housing Plan (General Plan appendix; MIH element per 10-9a-403),mih_element,https://www.wvc-ut.gov/DocumentCenter/View/23733/2025-General-Plan---Moderate-Income-Housing-Plan,2026-07-06,text,pdftotext-layout,raw/wvc-2025-moderate-income-housing-plan.pdf,22,city,"THE MIH ELEMENT OF RECORD. Standalone 22-page born-digital PDF (Acrobat PDFMaker; text layer present) published as an appendix to the General Plan. Cites Utah Code 10-9a-403(2)(a)(iii); uses 2023 ACS data; West Valley has a fixed-guideway transit station (West Valley Central / Fairbourne Station) so it must adopt the extra station-area-plan strategy (Strategy U). Includes the statutory implementation plan and a five-year realistic-opportunity analysis (~725 MIH units anticipated). Adopting resolution/ordinance is referenced in the 2025 state report only as a SharePoint personal link (not publicly fetchable). Sidecar text/wvc-2025-moderate-income-housing-plan.txt."
2023,Utah HCD Moderate Income Housing Annual Reports 2023 (statewide compilation; West Valley City included),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/23reports.pdf,2026-07-06,text,pdftotext-layout,raw/23reports.pdf,1109,state,"State (DWS/HCD) compilation of all municipalities' filed MIH annual reports, report year 2023. West Valley City's filing = PDF pp. ~1067-1089 (alphabetical: follows West Point, precedes White City). Extracted to text/west-valley-city-2023.txt (18 'West Valley' hits, no West Point/White City bleed). Compilation uses a merged layout -- cite the page range, treat the sidecar as a convenience extract, full compilation authoritative."
2024,Utah HCD Moderate Income Housing Annual Reports 2024 (statewide compilation; West Valley City included),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/24reports.pdf,2026-07-06,text,pdftotext-layout,raw/24reports.pdf,1030,state,"Report year 2024. West Valley City = PDF pp. ~999-1015 (follows West Point, precedes White City). Extracted to text/west-valley-city-2024.txt (no adjacent-city bleed). Full compilation retained verbatim in raw/."
2025,Utah HCD Moderate Income Housing Annual Reports 2025 (statewide compilation; West Valley City included),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/25reports.pdf,2026-07-06,text,pdftotext-layout,raw/25reports.pdf,1303,state,"Report year 2025 (reporting period Aug 1 2024 - Jul 31 2025; 'Year 2-5, strategies amended'). West Valley City = PDF pp. ~1261-1279 (follows West Point, precedes White City). Confirms comprehensive General Plan update projected to start 2H-2025, complete 2027. Adoption-resolution + MIH-element links given as SharePoint personal URLs. Extracted to text/west-valley-city-2025.txt."
2021,Utah HCD SB 34 Municipal Progress Summaries 2019-2021 (West Valley City included),compliance_letter,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/sb34.pdf,2026-07-06,text,pdftotext-layout,raw/sb34.pdf,199,state,"State (DWS/HCD) SB 34 municipal MIH progress/compliance summaries 2019-2021. West Valley City = PDF pp. 193-196 (header 'WEST VALLEY CITY, CITY'; COUNTY: SALT LAKE; AOG/MPO: WFRC; Major Transit Investment Corridor: YES; 4 required items, 15 menu items). HCD publishes no per-city compliance LETTER; this progress summary is the closest published compliance artifact (doc_type=compliance_letter proxy). Extracted to text/west-valley-city-sb34-2019-2021.txt."
2025,West Valley City General Plan -- Chapter 1 Introduction (current adopted plan; 'Vision West 2035'),general_plan,https://www.wvc-ut.gov/2166/General-Plan---Introduction,2026-07-16,html,html-strip,raw/wvc-2025-general-plan-introduction.html,,city,"Chapter 1 of West Valley City's General Plan (self-titled 'Vision West 2035 General Plan'). Web-only chapter (CivicPlus /2166); no PDF. Sidecar text/wvc-2025-general-plan-introduction.txt (tag-strip; nav chrome retained, source text incl. curly quotes preserved verbatim)."
2025,West Valley City General Plan -- Chapter 2 Administration (current adopted plan; 'Vision West 2035'),general_plan,https://www.wvc-ut.gov/2170/General-Plan---Administration,2026-07-16,html,html-strip,raw/wvc-2025-general-plan-administration.html,,city,Chapter 2 (Administration) -- how the plan is used/amended. Web-only (/2170). Sidecar text/wvc-2025-general-plan-administration.txt.
2025,West Valley City General Plan -- Chapter 3 Land Use (current adopted plan; 'Vision West 2035'),general_plan,https://www.wvc-ut.gov/2171/General-Plan---Land-Use,2026-07-16,html,html-strip,raw/wvc-2025-general-plan-land-use.html,,city,Chapter 3 (Land Use). Web-only (/2171). Sidecar text/wvc-2025-general-plan-land-use.txt.
2025,West Valley City General Plan -- Chapter 4 Economic Development (current adopted plan; 'Vision West 2035'),general_plan,https://www.wvc-ut.gov/2172/General-Plan---Economic-Development,2026-07-16,html,html-strip,raw/wvc-2025-general-plan-economic-development.html,,city,Chapter 4 (Economic Development). Web-only (/2172). Sidecar text/wvc-2025-general-plan-economic-development.txt.
