ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,matter_id,matter_file,matter_status,adopted,legistar_matter_url,signed_pdf_url,linkage_note
,2020-02-04,2020-02-04,"City Council consideration and vote whether or not to approve Public Works’ request for the use of eminent domain authority, pursuant to Utah Code Ann. § 78B-6-505, to condemn property located at 153 West 9000 South, Sandy, UT 84070 owned by Wagstaff Investments, LLC and operated as Holiday Oil.",https://sandyutah.legistar.com/LegislationDetail.aspx?ID=3799&GUID=DB9B89D3-3419-439C-B6D0-91BF3A9326B7,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,no,,2020-02-04,1,low,3799,20-042,adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=3799&GUID=DB9B89D3-3419-439C-B6D0-91BF3A9326B7,,adoption meeting held; likely adopted on the Consent Calendar / no standalone numbered ordinance motion
20-01,2020-04-21,2020-04-21,"Council Member Stroud recommending adoption of Ordinance 20-01, amending the Sandy City Animal Services Code to increase from two to three the number of dogs allowed per residence, clarify leash requirements, expand the definition of qualified rescue organizations, and making minor nonsubstantive changes.",https://sandyutah.legistar.com/LegislationDetail.aspx?ID=3872&GUID=3BF1BC1F-DECC-48DC-BEBF-4BC4F732694D,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,no,,2020-04-21,1,high,3872,20-115,adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=3872&GUID=3BF1BC1F-DECC-48DC-BEBF-4BC4F732694D,,exact ordinance number cited in the adopting motion on the adoption date
20-02,2020-07-14,2020-07-14,Administration recommending that the Council adopt a scooter ordinance for Sandy City.,https://sandyutah.legistar1.com/sandyutah/attachments/54e9a3c1-9141-4e34-89b8-922da1c1608a.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2020-07-14_20-02.pdf,no,,2020-07-14,2,high,3995,20-239,adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=3995&GUID=61B1D78A-8E31-481E-96A2-57C4F1686DC4,https://sandyutah.legistar1.com/sandyutah/attachments/54e9a3c1-9141-4e34-89b8-922da1c1608a.pdf,exact ordinance number cited in the adopting motion on the adoption date
,,2020-08-05,Public hearing for Ordinance 20-BB amending the Municipal Code.,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4017&GUID=8AAD9161-AEB3-4115-810B-064DE6DF3D0F,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,no,,,,none,4017,20-261,no recorded action,no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4017&GUID=8AAD9161-AEB3-4115-810B-064DE6DF3D0F,,not adopted by City Council; no history recorded
,,2020-09-03,Copper Creek Rezone  1368 E. Copper Creek Road from CN and R-1-8 to RM (12)  [Community #16 - Falcon Park],https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4047&GUID=150E8198-5E76-4349-AD5B-B2889542F2CA,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,4047,ZONE-07-20-5877(PC),recommended for denial (Planning Commission),no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4047&GUID=150E8198-5E76-4349-AD5B-B2889542F2CA,,not adopted by City Council; last action: recommended for denial (Planning Commission)
20-11,2020-09-22,2020-09-22,"Community Development Department presenting a rezone application (File #ZONE-07-20-5877, Copper Creek Rezone) on behalf of Utah Development Group, requesting that 1.02 acres located at 1368 E. Copper Creek Road be rezoned from the CN and R-1-8 Zone to the RM(12) Zone.",https://sandyutah.legistar1.com/sandyutah/attachments/b8a6669d-c722-4c06-b9d9-f1701c4b923a.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2020-09-22_20-11.pdf,yes,,2020-09-22,2,high,4070,ZONE-07-20-5877(CC),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4070&GUID=D3AB1C9F-C9CB-4603-A9E2-A42400D78B8A,https://sandyutah.legistar1.com/sandyutah/attachments/b8a6669d-c722-4c06-b9d9-f1701c4b923a.pdf,exact ordinance number cited in the adopting motion on the adoption date
20-04,,2020-10-13,"Community Development Department presenting a rezone application (File #ZONE-03-20-5825, Orchards at Farnsworth Farms Rezone) on behalf of DAI, requesting that 10.07 acres located at 11228 S. 700 E. be rezoned from the R-1-40A Zone to the PUD(12) Zone.",https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4104&GUID=8C39BEE6-CC96-4CCF-96B8-9C43192BC28E,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,4104,ZONE-03-20-5825(CC),no recorded action,no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4104&GUID=8C39BEE6-CC96-4CCF-96B8-9C43192BC28E,,not adopted by City Council; no history recorded
,,2020-11-05,Orchards at Farnsworth Farms Rezone (amended)  11228 S. 700 E. from R-1-40A to PUD(10)  [Community #11 - Crescent],https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4133&GUID=BA82F9EB-B94A-4FA8-AA59-ECCCE506E6F3,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,4133,ZONE-03-20-5825(PC2),adopted (Planning Commission),no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4133&GUID=BA82F9EB-B94A-4FA8-AA59-ECCCE506E6F3,,not adopted by City Council; last action: adopted (Planning Commission)
20-04,,2020-11-17,"Community Development Department presenting a rezone application (File #ZONE-03-20-5825, Orchards at Farnsworth Farms Rezone) on behalf of DAI, requesting that 10.07 acres located at 11228 S. 700 E. be rezoned from the R-1-40A Zone to the PUD(10) Zone.",https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4146&GUID=FA0BF18D-B6E8-4F0D-ADBE-2654A676CB75,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,4146,ZONE-03-20-5825(CC2),no recorded action,no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4146&GUID=FA0BF18D-B6E8-4F0D-ADBE-2654A676CB75,,not adopted by City Council; no history recorded
,,2020-11-19,Active Transportation Plan General Plan Amendment,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4144&GUID=FC2A685C-E032-4D51-8CF2-10EE35C438C2,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,4144,GPA-11-20-5938 (PC),recommended for approval (Planning Commission),no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4144&GUID=FC2A685C-E032-4D51-8CF2-10EE35C438C2,,not adopted by City Council; last action: recommended for approval (Planning Commission)
