date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,source,content_length_bytes,size_mb,stored_locally,pmn_notice_id,pmn_filename,doc_class,fetch_status,sha256,text_path,text_chars,parent_path,section_seq,case_key
2024-10-22,City Council Community Reinvestment Agency Meeting Agenda October 22 2024 (PDF),CRA,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_10222024-124?packet=true,2026-07-14,text,pdftotext-layout,raw/2024-10-22/10222024-124.pdf,civicplus,206107,0.21,yes,,,,,,,,,,
2024-11-12,City Council Community Reinvestment Agency Meeting Agenda November 12 2024 (PDF),CRA,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_11122024-126?packet=true,2026-07-14,text,pdftotext-layout,raw/2024-11-12/11122024-126.pdf,civicplus,206087,0.21,yes,,,,,,,,,,
2025-04-08,"April 8, 2025 Community Reinvestment Agency Meeting",CRA,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_04082025-142?packet=true,2026-07-14,text,pdftotext-layout,raw/2025-04-08/04082025-142.pdf,civicplus,464303,0.46,yes,,,,,,,,,,
2025-05-13,"May 13, 2025 Community Reinvestment Agency Meeting",CRA,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_05132025-143?packet=true,2026-07-14,scanned,pdftotext-layout (image-only; vision/OCR to read),raw/2025-05-13/05132025-143.pdf,civicplus,14488621,14.49,yes,,,,,,,,,,
2025-06-10,"June 10, 2025 Community Reinvestment Agency Meeting",CRA,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_06102025-146?packet=true,2026-07-14,text,pdftotext-layout,raw/2025-06-10/06102025-146.pdf,civicplus,204897,0.2,yes,,,,,,,,,,
2025-07-08,"July 8, 2025 Magna Community Reinvestment Agency Meeting",CRA,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_07082025-149?packet=true,2026-07-14,text,pdftotext-layout,raw/2025-07-08/07082025-149.pdf,civicplus,1047848,1.05,yes,,,,,,,,,,
2025-09-09,Notice of CRA Meeting CANCELLATION and RESCHEDULE for 09-23-2025,CRA,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_09092025-173?packet=true,2026-07-14,text,pdftotext-layout,raw/2025-09-09/09092025-173.pdf,civicplus,206153,0.21,yes,,,,,,,,,,
2025-09-23,"September 23, 2025 Magna Community Reinvestment Agency Meeting",CRA,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_09232025-174?packet=true,2026-07-14,text,pdftotext-layout,raw/2025-09-23/09232025-174.pdf,civicplus,532444,0.53,yes,,,,,,,,,,
2025-10-14,"October 14, 2025 Magna Community Reinvestment Meeting",CRA,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_10142025-178?packet=true,2026-07-14,text,pdftotext-layout,raw/2025-10-14/10142025-178.pdf,civicplus,205333,0.21,yes,,,,,,,,,,
2025-11-18,"November 18, 2025 Magna Community Reinvestment Agency Meeting",CRA,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_11182025-187?packet=true,2026-07-14,text,pdftotext-layout,raw/2025-11-18/11182025-187.pdf,civicplus,385000,0.39,yes,,,,,,,,,,
2025-12-09,"December 9, 2025 Magna CRA Meeting",CRA,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_12092025-188?packet=true,2026-07-14,text,pdftotext-layout,raw/2025-12-09/12092025-188.pdf,civicplus,207841,0.21,yes,,,,,,,,,,
2026-01-13,"January 13, 2026 Magna CRA Meeting - CANCELLATION/RESCHEDULING NOTICE",CRA,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_01132026-192?packet=true,2026-07-14,text,pdftotext-layout,raw/2026-01-13/01132026-192.pdf,civicplus,107416,0.11,yes,,,,,,,,,,
2026-01-27,Notice of Public Hearing - Magna Community Reinvestment Agency (CRA),CRA,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_01272026-193?packet=true,2026-07-14,text,pdftotext-layout,raw/2026-01-27/01272026-193.pdf,civicplus,354757,0.35,yes,,,,,,,,,,
2026-01-27,"January 27, 2026 Magna CRA Meeting",CRA,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_01272026-195?packet=true,2026-07-14,text,pdftotext-layout,raw/2026-01-27/01272026-195.pdf,civicplus,207663,0.21,yes,,,,,,,,,,
2026-02-10,"February 10, 2026 Magna Community Reinvestment Agency (CRA) Meeting - CANCELED",CRA,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_02102026-197?packet=true,2026-07-14,text,pdftotext-layout,raw/2026-02-10/02102026-197.pdf,civicplus,91765,0.09,yes,,,,,,,,,,
2026-03-10,"March 10, 2026 Magna Community Reinvestment Agency (CRA) Meeting - CANCELED",CRA,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_03102026-201?packet=true,2026-07-14,text,pdftotext-layout,raw/2026-03-10/03102026-201.pdf,civicplus,84480,0.08,yes,,,,,,,,,,
2026-04-14,"April 14, 2026 Magna Community Reinvestment Agency Meeting - CANCELED",CRA,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_04142026-204?packet=true,2026-07-14,text,pdftotext-layout,raw/2026-04-14/04142026-204.pdf,civicplus,69452,0.07,yes,,,,,,,,,,
2026-05-12,"May 12, 2026 Magna Community Reinvestment Agency Meeting",CRA,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_05122026-208?packet=true,2026-07-14,text,pdftotext-layout,raw/2026-05-12/05122026-208.pdf,civicplus,202331,0.2,yes,,,,,,,,,,
2026-06-09,"June 9, 2026 Magna CRA Meeting",CRA,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_06092026-210?packet=true,2026-07-14,text,pdftotext-layout,raw/2026-06-09/06092026-210.pdf,civicplus,185645,0.19,yes,,,,,,,,,,
2019-08-27,Notice of Public Hearing - Rezone,Council,regular,full_packet,https://www.utah.gov/pmn/files/520769.pdf,2026-07-14,text,pdftotext-layout,raw/2019-08-27/520769.pdf,pmn,5219745,5.22,yes,552201,30985_TCPacket.pdf,,,,,,,,
2019-08-27,Council Meeting - AMENDED AGENDA,Council,regular,agenda_packet,https://www.utah.gov/pmn/files/523983.pdf,2026-07-14,text,pdftotext-layout,raw/2019-08-27/523983.pdf,pmn,204386,0.2,yes,554115,08-27-2019 Magna Public Meeting - AMENDED AGENDA.pdf,,,,,,,,
2019-09-10,Notice of Public Hearing - Rezone,Council,regular,full_packet,https://www.utah.gov/pmn/files/524803.pdf,2026-07-14,text,pdftotext-layout,raw/2019-09-10/524803.pdf,pmn,4936835,4.94,yes,554883,Public Item #17.1 - 30889_TCPacket_WrightDev.pdf,,,,,,,,
2019-11-26,Notice of Public Hearing - Moderate Income Housing Plan,Council,regular,full_packet,https://www.utah.gov/pmn/files/548083.pdf,2026-07-14,text,pdftotext-layout,raw/2019-11-26/548083.pdf,pmn,2448805,2.45,yes,570031,191112_MagnaMTC_Packet.pdf,,,,,,,,
2019-11-26,Council Meeting - AMENDED AGENDA,Council,regular,full_packet,https://www.utah.gov/pmn/files/553257.pdf,2026-07-14,text,pdftotext-layout,raw/2019-11-26/553257.pdf,pmn,4093838,4.09,yes,572829,2019 Moderate Income Housing Submitted Packet.pdf,,,,,,,,
2020-01-14,Council Meeting,Council,regular,agenda_packet,https://www.utah.gov/pmn/files/564141.pdf,2026-07-14,text,pdftotext-layout,raw/2020-01-14/564141.pdf,pmn,216072,0.22,yes,581417,01-14-2020 Council Agenda.pdf,,,,,,,,
