date,title,body,meeting_type,packet_kind,source_url,source,reason,http_status,pmn_notice_id,pmn_filename
2017-02-09,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/277281.pdf,pmn,pmn_purged_404,404,374999,170209_MagnaTPC_Packet.pdf
2017-03-09,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/284149.pdf,pmn,pmn_purged_404,404,379917,170309_MagnaTPC_Packet.pdf
2017-04-13,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/291155.pdf,pmn,pmn_purged_404,404,387111,170413_MagnaTPC_Packet.pdf
2017-05-11,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/298647.pdf,pmn,pmn_purged_404,404,392769,170511_MagnaTPC_Packet.pdf
2017-05-16,Magna Metro Township Council,PC,regular,full_packet,https://www.utah.gov/pmn/files/299277.pdf,pmn,pmn_purged_404,404,391913,170516_MagnaMetroTownshipCouncil_Packet.pdf
2017-05-24,Magna Metro Township Planning Commission Special Working Meeting,PC,work,agenda_packet,https://www.utah.gov/pmn/files/301455.pdf,pmn,pmn_purged_404,404,396549,20170524_MagnaTPC_AgendaSWM.pdf
2017-06-08,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/304887.pdf,pmn,pmn_purged_404,404,397929,170608_MagnaTPC_Packet.pdf
2017-07-13,Magna Metro Township Planning Commission,PC,regular,agenda_packet,https://www.utah.gov/pmn/files/312785.pdf,pmn,pmn_purged_404,404,404391,170713_MagnaTPC_Agenda.pdf
2017-07-18,Magna Metro Township Council,PC,regular,full_packet,https://www.utah.gov/pmn/files/314499.pdf,pmn,pmn_purged_404,404,404395,170718_MagnaMetroCityCouncil_Packet.pdf
2017-08-01,Magna Metro Township Council,PC,regular,full_packet,https://www.utah.gov/pmn/files/317597.pdf,pmn,pmn_purged_404,404,409185,170801_MagnaMetroCityCouncil_Packet.pdf
2017-08-10,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/320405.pdf,pmn,pmn_purged_404,404,409615,170810_MagnaTPC_PacketReduced.pdf
2017-08-24,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/323913.pdf,pmn,pmn_purged_404,404,412619,170824_MagnaTPC_Packet.pdf
2017-09-14,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/327829.pdf,pmn,pmn_purged_404,404,415235,170914_MagnaTPC_PacketRedacted.pdf
2017-09-28,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/331563.pdf,pmn,pmn_purged_404,404,419719,170928_MagnaTPC_Packet-FINAL_DRAFT.pdf
2017-10-12,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/335129.pdf,pmn,pmn_purged_404,404,421161,171012_MagnaTPC_Packet.pdf
2017-10-16,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/333049.pdf,pmn,pmn_purged_404,404,420669,171016_MagnaTPC_Packet Amended_3.pdf
2017-10-26,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/337845.pdf,pmn,pmn_purged_404,404,423649,171026_MagnaTPC_Packet.pdf
2017-11-07,Magna Metro Township Council,PC,regular,full_packet,https://www.utah.gov/pmn/files/336879.pdf,pmn,pmn_purged_404,404,423653,171107_MagnaMetroCityCouncil_Packet.pdf
2017-11-09,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/345357.pdf,pmn,pmn_purged_404,404,426523,171109_MagnaTPC_Packet.pdf
2017-11-20,Magna Metro Township General Plan Steering Committee,PC,work,agenda_packet,https://www.utah.gov/pmn/files/348387.pdf,pmn,pmn_purged_404,404,430075,Work Session Agenda-November_20_2017.pdf
2017-12-07,Magna Metro Township General Plan Steering Committee,PC,regular,agenda_packet,https://www.utah.gov/pmn/files/353051.pdf,pmn,pmn_purged_404,404,433349,171207_MagnaGPWS_Agenda.pdf
2017-12-14,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/355369.pdf,pmn,pmn_purged_404,404,431841,171214_MagnaTPC_Packet.pdf
2018-01-11,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/360655.pdf,pmn,pmn_purged_404,404,438365,180111_MagnaTPC_Packet.pdf
2018-01-13,Magna Metro Township Planning Commission,PC,special,agenda_packet,https://www.utah.gov/pmn/files/359893.pdf,pmn,pmn_purged_404,404,438729,01-13-2018 Special Meeting Agenda-1Notice for PC.pdf
2018-01-16,Magna Metro Township Planning Commission,PC,work,agenda_packet,https://www.utah.gov/pmn/files/362307.pdf,pmn,pmn_purged_404,404,440781,Work Session Agenda-January_16_2018.pdf
2018-01-30,Magna Metro Township General Plan Steering Committee Meeting,PC,work,agenda_packet,https://www.utah.gov/pmn/files/365959.pdf,pmn,pmn_purged_404,404,443349,Work Session Agenda-January_30_2018.pdf
2018-02-06,Magna Metro Township Planning Commission,PC,work,agenda_packet,https://www.utah.gov/pmn/files/367813.pdf,pmn,pmn_purged_404,404,444783,Work Session Agenda-February_6_2018.pdf
2018-02-08,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/368041.pdf,pmn,pmn_purged_404,404,442957,180208_MagnaTPC_Packet.pdf
2018-02-20,Magna Metro Township General Plan Steering Committee Meeting,PC,work,agenda_packet,https://www.utah.gov/pmn/files/370535.pdf,pmn,pmn_purged_404,404,446891,Work Session Agenda-February_20_2018.pdf
