commissioner,first_seen,last_seen,n_meetings
Jenny Sandau,2020-01-08,2026-06-03,125
Rick Southwick,2020-01-08,2026-06-03,104
Rick Safsten,2020-04-15,2025-08-20,100
Cathy Blaisdell,2020-01-08,2024-11-06,96
Dave Graf,2020-01-08,2023-12-06,75
Mandy Shale,2022-10-05,2026-06-03,74
Jeremy Shinoda,2022-10-05,2026-06-03,73
Bryan Schade,2020-01-08,2023-08-02,71
Jordan Aaberg,2022-10-05,2025-12-17,55
Michelle Williams,2023-08-16,2026-06-03,36
Neil Garner,2020-04-15,2021-12-15,34
Jessica Stoker,2020-04-15,2022-09-07,32
Andrey Akhmedov,2024-03-20,2026-06-03,31
William Ross,2024-12-04,2026-06-03,28
Wesley Boykin,2020-04-15,2021-03-03,19
James Humphreys,2026-01-21,2026-06-03,7
Janith Wright,2020-01-08,2020-03-04,4
Robert Herman,2020-01-08,2020-03-04,4
Angel Castillo,2020-01-15,2020-03-04,3
