city,body,seat_id,district,person_name,person_key,start_date,end_date,start_event,end_event,election_year,first_vote,last_vote,sources,confidence,note
lehi,Council,AL-A1,At-Large,Paige Albrecht,paige_albrecht,2020-01-14,2024-01-09,elected,reelected,2019,2020-01-14,2023-12-12,"election:2019 (Council plurality winner, rank1, 5250); minutes:2020-01-14 (Swearing-In Ceremony — 'Councilors Southwick, Albrecht, and Koivisto were sworn in')",high,"Elected 2019 (rank1 of 6, vote-for-3). Re-elected 2023 (continuous service on AL-A1). AL-A1 is the ANCHORED cohort-A seat (it carries the 2025 Albrecht->Lockhart vacancy chain); the A2/A3 split of the other 2019 pair (Southwick/Koivisto) is a labelling choice."
lehi,Council,AL-A1,At-Large,Paige Albrecht,paige_albrecht,2024-01-09,2025-12-03,reelected,resigned,2023,2024-01-09,2025-12-02,"election:2023 (Council RCV winner, rank2 first-choice 1754 / final-round 2973); minutes:2024-01-09 (Swearing-In Ceremony for Councilors Paige Albrecht, Heather Newall, and Michelle Stallings); minutes:2025-12-02 (last present + voting); minutes:2025-12-16 (Council operates with 4 members — 'the vacancy due to the resignation of Paige Albrecht')",high,"Re-elected 2023 to a term running to Jan-2028; ran for MAYOR in 2025 (lost the general to Binns) and then RESIGNED her council seat mid-term in Dec-2025. THE mid-term vacancy for Lehi. Fully on-disk (unlike Vineyard's gap-bounded Cameron case): the resignation, the vacant council, and the successor's appointment are all in recovered minutes -> high."
lehi,Council,AL-A1,At-Large,VACANT,vacant,2025-12-03,2025-12-22,vacated,filled,,,,"minutes:2025-12-16 documents the seat vacant ('the current vacancy in the Lehi City Council … the resignation of Paige Albrecht'); the 4-member roll calls that day confirm it. Albrecht's last recorded vote/service is 2025-12-02 (cities.db role last_seen + present list), so vacate_date uses the last-recorded-vote convention. The written resignation letter's exact effective date is NOT printed (the 2026-01-13 review notes it 'first go[ing] to the mayor and then to the council' in December), but it is bracketed by two RECOVERED meetings (present+voting 2025-12-02 → documented-vacant 2025-12-16), NOT an un-recovered gap, so the fact and window are high.",high,Explicit VACANT interval: seat empty between the predecessor's documented departure and the successor's seating (no two people hold one seat at once).
lehi,Council,AL-A1,At-Large,Emily Lockhart,emily_lockhart,2025-12-22,,appointed,serving,,2026-01-06,2026-01-27,"appt:2025-12-22 (minutes — Resolution #2025-103 'appointing Emily Lockhart to the Lehi City Council', moved Condie / 2nd Hancock, passed unanimously; 'The Oath of Office was administered to Emily Lockhart after the adjournment'); votes:cities.db first_seen 2026-01-06",high,"APPOINTED (not elected) to fill the remainder of Albrecht's 2024-2028 cohort-A term. NOTE the twist: Lockhart RAN in the 2025 council general and LOST (rank3 / first loser, 6972) — she was then appointed to Albrecht's DIFFERENT (vacated cohort-A) seat, so she serves to Jan-2028 despite losing the 2025 race. Was a 4-year Planning Commissioner. start_date = the 2025-12-22 oath; her first db VOTE is 2026-01-06 (the 2025-12-22 appointment vote was cast by Albrecht as the retained 'Voting Member for the Vacancy', not by Lockhart). Currently serving."
lehi,Council,AL-A2,At-Large,Mike Southwick,mike_southwick,2020-01-14,2024-01-09,elected,did-not-run,2019,2020-01-14,2023-12-12,"election:2019 (Council plurality winner, rank2, 4135); minutes:2020-01-14 (Swearing-In Ceremony — sworn); minutes:2020-01-14 (selected Mayor Pro Tempore); election:2023 (not a candidate)",high,Elected 2019 (rank2). Not a candidate in the 2023 election (won by Stallings/Albrecht/Newall) -> term expired Jan-2024. A2 vs A3 split of the 2019 pair (Southwick/Koivisto) is a labelling choice; the person-tenures are exact.
lehi,Council,AL-A2,At-Large,Michelle Stallings,michelle_stallings,2024-01-09,,elected,serving,2023,2024-01-09,2026-01-27,"election:2023 (Council RCV winner, rank1 first-choice 2096 / final-round 2917); minutes:2024-01-09 (Swearing-In Ceremony for Councilors Paige Albrecht, Heather Newall, and Michelle Stallings); minutes:2026-01-06 (still serving — present list, elected Mayor Pro Tempore)",high,"Elected 2023. Stallings/Newall arrived together Jan-2024 replacing the two departing 2019 members (Southwick/Koivisto), so the A2/A3 split between them is a labelling choice; person-tenure is exact. Currently serving."
lehi,Council,AL-A3,At-Large,Katie Koivisto,katie_koivisto,2020-01-14,2024-01-09,elected,did-not-run,2019,2020-01-14,2023-12-12,"election:2019 (Council plurality winner, rank3, 3969); minutes:2020-01-14 (Swearing-In Ceremony — sworn); election:2023 (not a candidate)",high,Elected 2019 (rank3). Not a candidate in 2023 -> term expired Jan-2024. A2/A3 split of the 2019 pair is a labelling choice.
lehi,Council,AL-A3,At-Large,Heather Newall,heather_newall,2024-01-09,,elected,serving,2023,2024-01-09,2026-01-27,"election:2023 (Council RCV winner, rank3 first-choice 1467 / final-round 2863); minutes:2024-01-09 (Swearing-In Ceremony for Councilors Paige Albrecht, Heather Newall, and Michelle Stallings); minutes:2026-01-06 (still serving — present list)",high,Elected 2023. Newall/Stallings arrived together Jan-2024; the A2/A3 split is a labelling choice; person-tenure is exact. Currently serving.
lehi,Council,AL-B1,At-Large,Chris Condie,chris_condie,2018-01-01,2022-01-04,elected,reelected,2017,2020-01-14,2021-12-07,"votes:2020-01-14.. (observed serving, cities.db role first_seen 2020-01-14); minutes:2020-01-14 (already seated at the data floor — 'Chris Condie, Council Member' — and NOT among the three sworn-in that day, confirming he was a continuing incumbent, not a 2019 winner); minutes:2022-01-04 (oath — re-elected 2021)",medium,PRE-FLOOR term: the 2017 election predates the 2019 election-data floor and the 2020 minutes floor; term-start 2018-01 inferred from Lehi's Cohort-B 4-year stagger (confidence medium). Cohort B (2 seats). DISTINCT continuous holder -> anchors AL-B1.
lehi,Council,AL-B1,At-Large,Chris Condie,chris_condie,2022-01-04,2026-01-06,reelected,did-not-run,2021,2022-01-25,2025-12-22,"election:2021 (Council RCV winner, rank1 first-choice 2300 / final-round 3073); minutes:2022-01-04 (Swearing In Ceremony for Mayor Johnson, Councilor Condie and Councilor Hancock); election:2025 (ran for MAYOR — primary rank3 of 4, 1701, did not advance)",high,"Re-elected to Council 2021. Did NOT seek council re-election in 2025 — he ran for MAYOR instead and LOST in the Aug-2025 primary (rank3, did not advance to the general won by Binns). Council term expired Jan-2026 (seat won by Harrison)."
