source_file,motion_no,member,date,claimed_values,resolution,reasoning
meeting_minutes/minutes/2021/2021-08-16/2021-08-17_city-council-meeting.md,5,Cyndi Sharkey,2021-08-17,Aye+Nay,Aye,"Failed motion to table (2-5): the source minutes list Sharkey on BOTH sides — 'Yes: 2 - Kris Coleman-Nicholl / Cyndi Shakey' [sic] and again in the No:5 list — while Alison Stroud appears in neither list (7 members, 7 printed names, Sharkey twice). Sharkey MOVED the tabling motion; the misspelled Yes-side entry is her. The No-side 'Cyndi Sharkey' is the clerk's error (plausibly meant Stroud, but no member is ever guessed — the 5th Nay stays unnamed). Legistar records no roll call for this motion at all. Resolves to Aye."
"db/staging (Legistar EventItemVote, body 140)",1,Ron Mortimer,2022-05-05,Aye+Absent,Aye,"Legistar's own roll carries TWO Ron Mortimer rows (VoteId 18832 Yes + 18835 Absent) — a duplicated roster-slot artifact, not two votes: the same duplicated slot appears at the 2022-06-02 and 2022-06-16 meetings where both rows agree (Yes+Yes). The in-sequence roll position (3rd, between Collard and Tsandes) holds the Yes; the Absent row is the appended stray. No PC minutes are retrievable to adjudicate independently; both raw rows preserved verbatim in legistar_vote and db/staging/votes.csv. Resolves to Aye (judgment call, documented)."
"db/staging (Legistar EventItemVote, body 140)",2,Ron Mortimer,2022-05-05,Aye+Absent,Aye,"Same duplicated roster slot as motion 1 of this meeting (VoteId 18840 Yes + 18843 Absent); same resolution and caveat. Resolves to Aye."
"db/staging (Legistar EventItemVote, body 140)",1,Ron Mortimer,2022-06-02,Aye+Aye,Aye,Identical duplicate rows (Legistar duplicated roster slot; both Yes). Merged.
"db/staging (Legistar EventItemVote, body 140)",2,Ron Mortimer,2022-06-02,Aye+Aye,Aye,Identical duplicate rows (Legistar duplicated roster slot; both Yes). Merged.
"db/staging (Legistar EventItemVote, body 140)",3,Ron Mortimer,2022-06-02,Aye+Aye,Aye,Identical duplicate rows (Legistar duplicated roster slot; both Yes). Merged.
"db/staging (Legistar EventItemVote, body 140)",4,Ron Mortimer,2022-06-02,Aye+Aye,Aye,Identical duplicate rows (Legistar duplicated roster slot; both Yes). Merged.
"db/staging (Legistar EventItemVote, body 140)",1,Ron Mortimer,2022-06-16,Aye+Aye,Aye,Identical duplicate rows (Legistar duplicated roster slot; both Yes). Merged.
"db/staging (Legistar EventItemVote, body 140)",2,Ron Mortimer,2022-06-16,Aye+Aye,Aye,Identical duplicate rows (Legistar duplicated roster slot; both Yes). Merged.
"db/staging (Legistar EventItemVote, body 140)",3,Ron Mortimer,2022-06-16,Aye+Aye,Aye,Identical duplicate rows (Legistar duplicated roster slot; both Yes). Merged.
"db/staging (Legistar EventItemVote, body 140)",4,Ron Mortimer,2022-06-16,Aye+Aye,Aye,Identical duplicate rows (Legistar duplicated roster slot; both Yes). Merged.
