date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,event_id,file_id,size_mb,stored_locally
2020-01-08,Planning Commission,PlanningCommission,Planning Commission,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4292,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-01-08/PlanningCommission_e2162_agenda.pdf,2162,4292,0.064,yes
2020-01-08,Planning Commission,PlanningCommission,Planning Commission,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4293,plainText=false)",2026-07-05,na,civicclerk_odata,,2162,4293,31.829,no
2020-01-09,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4280,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-01-09/Council_e2157_agenda.pdf,2157,4280,0.073,yes
2020-01-09,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4281,plainText=false)",2026-07-05,na,civicclerk_odata,,2157,4281,59.798,no
2020-01-16,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4177,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-01-16/Council_e2114_agenda.pdf,2114,4177,0.059,yes
2020-01-16,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4178,plainText=false)",2026-07-05,na,civicclerk_odata,,2114,4178,17.92,no
2020-01-21,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4136,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-01-21/Council_e2098_agenda.pdf,2098,4136,0.05,yes
2020-01-21,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4137,plainText=false)",2026-07-05,na,civicclerk_odata,,2098,4137,2.506,no
2020-01-22,Planning Commission,PlanningCommission,Planning Commission,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4116,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-01-22/PlanningCommission_e2090_agenda.pdf,2090,4116,0.144,yes
2020-01-22,Planning Commission,PlanningCommission,Planning Commission,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4117,plainText=false)",2026-07-05,na,civicclerk_odata,,2090,4117,24.051,no
2020-01-30,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4027,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-01-30/Council_e2049_agenda.pdf,2049,4027,0.064,yes
2020-01-30,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4028,plainText=false)",2026-07-05,na,civicclerk_odata,,2049,4028,33.95,no
2020-02-05,Historic Preservation Board,HistoricPreservationBoard,Historic Preservation Board,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3941,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-02-05/HistoricPreservationBoard_e2012_agenda.pdf,2012,3941,0.137,yes
2020-02-05,Historic Preservation Board,HistoricPreservationBoard,Historic Preservation Board,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3942,plainText=false)",2026-07-05,na,civicclerk_odata,,2012,3942,5.362,no
2020-02-06,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3926,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-02-06/Council_e2004_agenda.pdf,2004,3926,0.059,yes
