ordinance_no,s3_key,source_url,size_bytes,stored_locally
16-01,millcreek/ordinances/documents/ord-16-1-procurement-policy1.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-16-1-procurement-policy1.pdf,552534,yes
16-02,millcreek/ordinances/documents/ord-16-2-creating-an-appeal-authority.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-16-2-creating-an-appeal-authority.pdf,469376,yes
16-03,millcreek/orddoc/documents/ORD 16-3.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2016-3.pdf,1062748,yes
16-04,millcreek/orddoc/documents/ORD 16-4.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2016-4.pdf,298590,yes
16-05,millcreek/orddoc/documents/ORD 16-5.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2016-5.pdf,367075,yes
16-06,millcreek/orddoc/documents/ORD 16-6.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2016-6.pdf,188858,yes
16-07,millcreek/ordinances/documents/ord-16-7-local-option-sales-tax-00313861xb00c1.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-16-7-local-option-sales-tax-00313861xb00c1.pdf,305732,yes
16-08,millcreek/ordinances/documents/ord-16-8-adopting-a-compilation-of-ordinances.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-16-8-adopting-a-compilation-of-ordinances.pdf,94470,yes
16-09,millcreek/ordinances/documents/ord-16-9.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-16-9.pdf,292776,yes
17-01,millcreek/orddoc/documents/ORD 17-1.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-1.pdf,297997,yes
17-02,millcreek/orddoc/documents/ORD 17-2.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-2.pdf,532037,yes
17-03,millcreek/orddoc/documents/ORD 17-3.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-3.pdf,645350,yes
17-04,millcreek/orddoc/documents/ORD 17-4.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-4.pdf,632390,yes
17-05,millcreek/orddoc/documents/ORD 17-5.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-5.pdf,282883,yes
17-06,millcreek/orddoc/documents/ORD 17-6.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-6.pdf,374485,yes
17-07,millcreek/orddoc/documents/1645735123_ORD 17-7.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/1645735123_ORD%2017-7.pdf,5409658,yes
17-08,millcreek/ordinances/documents/Ord 17-8.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/Ord%2017-8.pdf,982175,yes
17-09,millcreek/orddoc/documents/ORD 17-9.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-9.pdf,1333380,yes
17-10,millcreek/orddoc/documents/ORD 17-10.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-10.pdf,458671,yes
17-11,millcreek/orddoc/documents/ORD 17-11.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-11.pdf,756121,yes
17-12,millcreek/ordinances/documents/ord-17-12-disposal-of-surplus-property.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-17-12-disposal-of-surplus-property.pdf,175834,yes
17-13,millcreek/ordinances/documents/ord-17-13-authorizing-stay-on-appeal.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-17-13-authorizing-stay-on-appeal.pdf,368046,yes
17-14,millcreek/ordinances/documents/ord-17-14-tobacco-specialty-revision.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-17-14-tobacco-specialty-revision.pdf,243552,yes
17-15,millcreek/ordinances/documents/ord-17-15-regarding-off-premise-sign-bank.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-17-15-regarding-off-premise-sign-bank.pdf,2328077,yes
17-16,millcreek/orddoc/documents/ORD 17-16.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-16.pdf,3143147,yes
17-17,millcreek/orddoc/documents/ORD 17-17.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-17.pdf,840202,yes
17-18,millcreek/orddoc/documents/ORD 17-18.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-18.pdf,383286,yes
17-19,millcreek/orddoc/documents/ORD 17-19.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-19.pdf,827674,yes
17-20,millcreek/ordinances/documents/ord-17-20-modifying-moratorium-on-m-zones1.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-17-20-modifying-moratorium-on-m-zones1.pdf,621436,yes
17-21,millcreek/orddoc/documents/ORD 17-21.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-21.pdf,428217,yes
17-22,millcreek/orddoc/documents/ORD 17-22.pdf,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-22.pdf,2136621,yes
