ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,date_precision,adoption_date_source,pdf_month_year,note
16-01,,2016-11,"AN ORDINANCE OF MILLCREEK CITY CREATING A FINANCIAL AND ADMINISTRATIVE ORDINANCE REGARDING PROCUREMENT OF SERVICES, SUPPLIES AND EQUIPMENT FOR MILLCREEK CITY AND OTHER RELATED MATTERS",https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-16-1-procurement-policy1.pdf,2026-07-06,scanned,ocr+ocrL,raw/16-01.pdf,no,,,,none,month,pdf,2016-11,
16-02,,2016-12-12,AN ORDINANCE OF THE MILLCREEK COUNCIL CREATING AN APPEAL AUTHORITY |,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-16-2-creating-an-appeal-authority.pdf,2026-07-06,scanned,ocr+ocrL,raw/16-02.pdf,no,,,,none,day,pdf,2016-12,
16-03,,2016-12-12,AN ORDINANCE OF THE MILLCREEK CITY COUNCIL CREATING A PLANNING COMMISSION,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2016-3.pdf,2026-07-06,scanned,ocr+ocrAll,raw/16-03.pdf,no,,,,none,day,pdf,2016-12,
16-04,,2016-12,AN ORDINANCE OF THE MILLCREEK COUNCIL ADOPTING A NAME,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2016-4.pdf,2026-07-06,scanned,ocr,raw/16-04.pdf,no,,,,none,month,pdf,2016-12,
16-05,,2016-12-12,AN ORDINANCE ADOPTING A FORMAL SEAL,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2016-5.pdf,2026-07-06,scanned,ocr+ocrAll,raw/16-05.pdf,no,,,,none,day,pdf,2016-12,
16-06,,2016-12,AN ORDINANCE OF THE MILLCREEK COUNCIL ESTABLISHING REGULAR MEETINGS SCHEDULE,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2016-6.pdf,2026-07-06,text,pdftext,raw/16-06.pdf,no,,,,none,month,pdf,2016-12,
16-07,,2016-12,"AN ORDINANCE OF MILLCREEK IMPOSING A ONE PERCENT MUNICIPAL SALES AND USE TAX, | PROVIDING FOR THE PERFORMANCE BY THE STATE | TAX COMMISSION OF ALL FUNCTIONS INCIDENT TO , | THE ADMINISTRATION, OPERATI",https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-16-7-local-option-sales-tax-00313861xb00c1.pdf,2026-07-06,scanned,ocr+ocrL,raw/16-07.pdf,no,,,,none,month,pdf,2016-12,
16-08,,2016-12-27,AN ORDINANCE ADOPTING A COMPILATION OF ORDINANCES,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-16-8-adopting-a-compilation-of-ordinances.pdf,2026-07-06,scanned,ocr,raw/16-08.pdf,no,,,,none,day,pdf,2016-12,
16-09,,2016-12-27,"AN ORDINANCE NOTIFYING THE PUBLIC OF A PENDING ORDINANCE THAT WOULD PROHIBIT OR REGULATE THE ERECTION, RECONSTRUCTIONS, OR ALTERATION OF ANY BUILDING OR STRUCTURE OR ANY SUBDIVISION APPROVAL WITH RESP",https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-16-9.pdf,2026-07-06,scanned,pdftext+ocrL,raw/16-09.pdf,yes,,,,none,day,pdf,2016-12,
17-01,,2017-01-09,AN ORDINANCE ADOPTING A REVISED COMPILATION OF ORDINANCES SPECIFICALLY WITH RESPECT TO TITLE 19,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-1.pdf,2026-07-06,scanned,ocr,raw/17-01.pdf,yes,,,,none,day,pdf,2017-01,
17-02,,2018-01-08,AN ORDINANCE CREATING THE MILLCREEK ENVISION COMMITTEE,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-2.pdf,2026-07-06,scanned,ocr,raw/17-02.pdf,no,,2018-01-08,13,medium,day,motion,,
17-03,,2017-01-09,AN ORDINANCE OF MILLCREEK ADOPTING A FINAL BUDGET,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-3.pdf,2026-07-06,scanned,ocr+ocrAll,raw/17-03.pdf,no,,,,none,day,pdf,2017-01,
17-04,,2017-01,"AN ORDINANCE OF MILLCREEK IMPOSING A ONE PERCENT MUNICIPAL TAX ON CHARGES FOR THE ACCOMMODATIONS AND SERVICES, PROVIDING FOR THE PERFORMANCE BY THE STATE TAX COMMISSION OF ALL FUNCTIONS INCIDENT TO TH",https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-4.pdf,2026-07-06,scanned,ocr+ocrAll,raw/17-04.pdf,no,,,,none,month,pdf,2017-01,
17-05,,2017-01,AN ORDINANCE RATIFYING AND CONFIRMING ALL PRIOR ACTIONS OF THE COUNCIL ELECT,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-5.pdf,2026-07-06,scanned,ocr,raw/17-05.pdf,no,,,,none,month,pdf,2017-01,
17-06,,2017-01-17,"AN ORDINANCE RATIFYING AND CONFIRMING PRIOR ACTIONS OF THE COUNCIL WITH RESPECT TO CONTRACTS MADE, PURSUANT TO UTAH CODE ANN.§10-2a-218",https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-6.pdf,2026-07-06,scanned,ocr,raw/17-06.pdf,no,,,,none,day,pdf,2017-01,
17-07,,2017-01-17,AN ORDINANCE GRANTING A CABLE FRANCHISE TO QWEST BROADBAND SERVICES (CENTURYLINK),https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/1645735123_ORD%2017-7.pdf,2026-07-06,scanned,vision,raw/17-07.pdf,no,,,,none,day,pdf,2017-01,meeting/consideration date from p1 WHEREAS; signature-page adoption clause left blank
17-08,,2017-01-09,AN ORDINANCE GRANTING A CABLE LICENSE TO COMCAST OF UTAH II,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/Ord%2017-8.pdf,2026-07-06,scanned,vision,raw/17-08.pdf,no,,,,none,day,pdf,2017-01,meeting/consideration date from p1 WHEREAS; acceptance-date blank
17-09,,2017-02,"AN ORDINANCE AMENDING SECTIONS 5.02.140, 5.10.080, 5.20.120, AND 5.20.150 OF THE MILLCREEK CODE OF ORDINANCES RELATED TO BUSINESS LICENSING APPLICATION REQUIREMENTS AND GROUNDS FOR DENIAL AND MAKING O",https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-9.pdf,2026-07-06,scanned,ocr+ocrAll,raw/17-09.pdf,no,,,,none,month,pdf,2017-02,
17-10,,2017-02,"AN ORDINANCE AMENDING TITLE 9, HEALTH AND SAFETY, TO THE MILLCREEK CODE OF ORDINANCES ADOPTING THE SALT LAKE COUNTY HEALTH DEPARTMENT REGULATIONS BY REFERENCE",https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-10.pdf,2026-07-06,scanned,ocr+ocrAll,raw/17-10.pdf,no,,,,none,month,pdf,2017-02,
17-11,,2017-02-06,AN ORDINANCE OF MILLCREEK IMPLEMENTING AUTHORITY (Certificate: passed by Council Feb 6 2017),https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-11.pdf,2026-07-06,scanned,vision,raw/17-11.pdf,no,,,,none,day,pdf,2017-02,date from Certificate of City Recorder
17-12,,2017-02,AN ORDINANCE AMENDING |,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-17-12-disposal-of-surplus-property.pdf,2026-07-06,scanned,ocr+ocrL,raw/17-12.pdf,no,,,,none,month,pdf,2017-02,
17-13,,2017-02-28,AN ORDINANCE OF THE MILLCREEK COUNCIL ! AMENDING THE ORDINANCE THAT CREATES AN APPEAL AUTHORITY IN ORDER TO PROVIDE FOR A STAY,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-17-13-authorizing-stay-on-appeal.pdf,2026-07-06,scanned,ocr+ocrL,raw/17-13.pdf,no,,,,none,day,pdf,2017-02,
17-14,,2017-03-06,AN ORDINANCE AMENDING SECTIONS 5.21 OF THE MILLCREEK CODE : OF ORDINANCES RELATED TO BUSINESS LICENSING OF TOBACCO SPECIALITY BUSINESS,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-17-14-tobacco-specialty-revision.pdf,2026-07-06,scanned,ocr+ocrAll,raw/17-14.pdf,no,,,,none,day,pdf,2017-03,
17-15,,2017-03,AN ORDINANCE NOTIFYING THE PUBLIC OF A PENDING ORDINANCE REGARDING OFF-PREMISE SIGNS AND THE DEFINITION OF EXISTING OFF- PREMISE SIGNS THAT AFFECTS AMONG OTHER THINGS THE OFF-PREMISE SIGN BANK AND THE,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-17-15-regarding-off-premise-sign-bank.pdf,2026-07-06,scanned,ocr+ocrAll,raw/17-15.pdf,no,,,,none,month,pdf,2017-03,
17-16,,2017-03,AN ORDINANCE AMENDING TITLE 2 OF THE MILLCREEK CODE OF ORDINANCES BY ADDING CHAPTER 2.49 ENTITLED- STREET ADDRESSING AND PROPERTY IDENTIFICATION- AND TITLE 3 OF THE MILLCREEK CODE OF ORDINANCES BY ADD,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-16.pdf,2026-07-06,scanned,ocr,raw/17-16.pdf,no,,,,none,month,pdf,2017-03,
17-17,,2017-04-10,"AN ORDINANCE NOTIFYING THE PUBLIC OF A PENDING ORDINANCE REGARDING CHANGES TO THE COMMERICAL ZONE TO LIMIT/PROHIBIT SELF STORAGE UNITS, RESIDENTIAL USES, PAWN SHOPS, CHECK CASHING BUSINESS , TOBACCO S",https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-17.pdf,2026-07-06,scanned,ocr+ocrL,raw/17-17.pdf,yes,,,,none,day,pdf,2017-04,
17-18,,2017-04-17,AN ORDINANCE AMENDING TITLE 19 OF THE MILLCREEK CODE OF ORDINANCES TO ADD A NEW MIXED DEVELOPMENT (“MD”) ZONE,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-18.pdf,2026-07-06,scanned,ocr+ocrL,raw/17-18.pdf,yes,,,,none,day,pdf,2017-04,
17-19,,2017-04-17,"AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A RESIDENTIAL PARKING PERMIT PROGRAM FOR THE NEIGHBORHOOD ON WARR ROAD, CASCADE CIRCLE, AND A PORTION OF CASCADE WAY, NEAR THE GRANDEUR PEAK TRAILHEAD",https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-19.pdf,2026-07-06,scanned,ocr+ocrL,raw/17-19.pdf,yes,,,,none,day,pdf,2017-04,
17-20,,2017-02,"AN ORDINANCE pertaining to the M-1, M-2, MD-1, MD-3, and Foothill and Canyon Overlay Zones is within a period of one hundred eighty (180) days",https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-17-20-modifying-moratorium-on-m-zones1.pdf,2026-07-06,scanned,pdftext+ocrL,raw/17-20.pdf,yes,,,,none,month,pdf,2017-02,
17-21,,2017-01-23,AN ORDINANCE CREATING THE MILLCREEK COMMUNITY EVENTS COMMITTEE,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-21.pdf,2026-07-06,scanned,ocr+ocrL,raw/17-21.pdf,no,,,,none,day,pdf,2017-01,
17-22,,2017-05-01,"AN ORDINANCE OF THE MILLCREEK COUNCIL , APPROVING THE APPROPRIATION OF FUNDS TO THE MT. OLYMPUS COMMUNITY COUNCIL, CANYON RIM COMMUNITY COUNCIL, EAST MILL CREEK COMMUNITY COUNCIL AND MILLCREEK COMMUNI",https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-22.pdf,2026-07-06,scanned,ocr+ocrAll,raw/17-22.pdf,no,,,,none,day,pdf,2017-05,
