ordinance_no,adoption_date,month_year,date_kind,method,title,note
16-01,,2016-11,monthyear_garbled,ocr+ocrL,"AN ORDINANCE OF MILLCREEK CITY CREATING A FINANCIAL AND ADMINISTRATIVE ORDINANCE REGARDING PROCUREMENT OF SERVICES, SUPPLIES AND EQUIPMENT FOR MILLCREEK CITY AND OTHER RELATED MATTERS",
16-02,2016-12-12,2016-12,passed,ocr+ocrL,AN ORDINANCE OF THE MILLCREEK COUNCIL CREATING AN APPEAL AUTHORITY |,
16-03,2016-12-12,2016-12,passed,ocr+ocrAll,AN ORDINANCE OF THE MILLCREEK CITY COUNCIL CREATING A PLANNING COMMISSION,
16-04,,2016-12,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL ADOPTING A NAME,
16-05,2016-12-12,2016-12,passed,ocr+ocrAll,AN ORDINANCE ADOPTING A FORMAL SEAL,
16-06,,2016-12,passed,pdftext,AN ORDINANCE OF THE MILLCREEK COUNCIL ESTABLISHING REGULAR MEETINGS SCHEDULE,
16-07,,2016-12,monthyear_garbled,ocr+ocrL,"AN ORDINANCE OF MILLCREEK IMPOSING A ONE PERCENT MUNICIPAL SALES AND USE TAX, | PROVIDING FOR THE PERFORMANCE BY THE STATE | TAX COMMISSION OF ALL FUNCTIONS INCIDENT TO , | THE ADMINISTRATION, OPERATI",
16-08,2016-12-27,2016-12,passed,ocr,AN ORDINANCE ADOPTING A COMPILATION OF ORDINANCES,
16-09,2016-12-27,2016-12,passed,pdftext+ocrL,"AN ORDINANCE NOTIFYING THE PUBLIC OF A PENDING ORDINANCE THAT WOULD PROHIBIT OR REGULATE THE ERECTION, RECONSTRUCTIONS, OR ALTERATION OF ANY BUILDING OR STRUCTURE OR ANY SUBDIVISION APPROVAL WITH RESP",
17-01,2017-01-09,2017-01,passed,ocr,AN ORDINANCE ADOPTING A REVISED COMPILATION OF ORDINANCES SPECIFICALLY WITH RESPECT TO TITLE 19,
17-02,,,,ocr,AN ORDINANCE CREATING THE MILLCREEK ENVISION COMMITTEE,
17-03,2017-01-09,2017-01,monthyear,ocr+ocrAll,AN ORDINANCE OF MILLCREEK ADOPTING A FINAL BUDGET,
17-04,,2017-01,monthyear_garbled,ocr+ocrAll,"AN ORDINANCE OF MILLCREEK IMPOSING A ONE PERCENT MUNICIPAL TAX ON CHARGES FOR THE ACCOMMODATIONS AND SERVICES, PROVIDING FOR THE PERFORMANCE BY THE STATE TAX COMMISSION OF ALL FUNCTIONS INCIDENT TO TH",
17-05,,2017-01,passed,ocr,AN ORDINANCE RATIFYING AND CONFIRMING ALL PRIOR ACTIONS OF THE COUNCIL ELECT,
17-06,2017-01-17,2017-01,passed,ocr,"AN ORDINANCE RATIFYING AND CONFIRMING PRIOR ACTIONS OF THE COUNCIL WITH RESPECT TO CONTRACTS MADE, PURSUANT TO UTAH CODE ANN.§10-2a-218",
17-07,2017-01-17,2017-01,meeting,vision,AN ORDINANCE GRANTING A CABLE FRANCHISE TO QWEST BROADBAND SERVICES (CENTURYLINK),meeting/consideration date from p1 WHEREAS; signature-page adoption clause left blank
17-08,2017-01-09,2017-01,meeting,vision,AN ORDINANCE GRANTING A CABLE LICENSE TO COMCAST OF UTAH II,meeting/consideration date from p1 WHEREAS; acceptance-date blank
17-09,,2017-02,monthyear_garbled,ocr+ocrAll,"AN ORDINANCE AMENDING SECTIONS 5.02.140, 5.10.080, 5.20.120, AND 5.20.150 OF THE MILLCREEK CODE OF ORDINANCES RELATED TO BUSINESS LICENSING APPLICATION REQUIREMENTS AND GROUNDS FOR DENIAL AND MAKING O",
17-10,,2017-02,monthyear_garbled,ocr+ocrAll,"AN ORDINANCE AMENDING TITLE 9, HEALTH AND SAFETY, TO THE MILLCREEK CODE OF ORDINANCES ADOPTING THE SALT LAKE COUNTY HEALTH DEPARTMENT REGULATIONS BY REFERENCE",
