ordinance_no,cited_dates,example_title
18-67,2018-11-26,City Council Meeting Agenda and Packet
19-09,2019-03-11,City Council Meeting Agenda and Packet
21-04,2021-02-08,City Council Meeting Agenda and Packet
21-47,2021-11-08,City Council Meeting Agenda and Packet
22-35,2022-07-26,City Council Meeting Agenda and Packet
22-39,2022-08-22,City Council Meeting Agenda and Packet
23-47,2023-12-11,City Council Meeting Agenda and Packet
25-20,2025-06-09,City Council Meeting Agenda and Packet
25-23,2025-06-09,City Council Meeting Agenda and Packet
25-24,2025-06-09,City Council Meeting Agenda and Packet
26-27,2026-05-26,City Council Meeting Agenda and Packet
26-32,2026-05-26,City Council Meeting Agenda and Packet
26-36,2026-05-26,City Council Meeting Agenda and Packet
