motion_id,meeting_id,body_id,motion_no,motion_text,motion_type,result_raw,outcome,stage,recommendation,disposition,disposition_method,disposition_confidence,application_id,app_match_method,app_confidence,mover_person_id,seconder_person_id,names_recorded,source_file,provenance
1,1,1,1,to close the staff meeting,Other,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,10,11,0,meeting_minutes/minutes/2018/2018-01-04/2018-01-04_council-meeting.md,minutes
2,1,1,2,to nominate Council Member Flint as Chair,Appointment,Pass (unanimous),Pass,council_vote,,,unclassified,low,,,,11,6,0,meeting_minutes/minutes/2018/2018-01-04/2018-01-04_council-meeting.md,minutes
3,1,1,3,to nominate Council Member Dickerson as Chair Pro Tem,Appointment,Pass (unanimous),Pass,council_vote,,,unclassified,low,,,,6,1,0,meeting_minutes/minutes/2018/2018-01-04/2018-01-04_council-meeting.md,minutes
4,1,1,4,to open the public hearing,Public Hearing Action,Pass (unanimous),Pass,council_vote,,procedural,keyword,medium,,,,10,6,0,meeting_minutes/minutes/2018/2018-01-04/2018-01-04_council-meeting.md,minutes
5,1,1,5,to close the public hearing,Public Hearing Action,Pass (unanimous),Pass,council_vote,,procedural,keyword,medium,,,,10,11,0,meeting_minutes/minutes/2018/2018-01-04/2018-01-04_council-meeting.md,minutes
6,1,1,6,"to adopt the following ordinance Creating Chapter 3.15 – Purchasing, Contracting, and Procurement and White City Policy #2 – Purchasing, Contracting, and Procurement: ORDINANCE NO. 18-01-01 Date: January 4, 2018 AN ORDINANCE CREATING CHAPTER 3.15 – PURCHASING, CONTRACTING AND PROCUREMENT OF THE WHITE CITY CODE OF ORDINANCES, AND WHITE CITY POLICY #2 – PURCHASING, CONTRACTING, AND PROCUREMENT TO…",Contract/Purchase,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,10,1,0,meeting_minutes/minutes/2018/2018-01-04/2018-01-04_council-meeting.md,minutes
7,1,1,7,to adopt the ordinance,Ordinance,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,10,6,0,meeting_minutes/minutes/2018/2018-01-04/2018-01-04_council-meeting.md,minutes
8,1,1,8,to adopt the ordinance,Ordinance,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,10,11,0,meeting_minutes/minutes/2018/2018-01-04/2018-01-04_council-meeting.md,minutes
9,1,1,9,to leave all board appointments as assigned,Appointment,Pass (unanimous),Pass,council_vote,,,unclassified,low,,,,6,11,0,meeting_minutes/minutes/2018/2018-01-04/2018-01-04_council-meeting.md,minutes
10,2,1,1,to close the staff meeting,Other,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,1,11,0,meeting_minutes/minutes/2018/2018-03-01/2018-03-01_council-meeting.md,minutes
11,2,1,2,to approve Resolution #18-03-01,Resolution,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,11,1,0,meeting_minutes/minutes/2018/2018-03-01/2018-03-01_council-meeting.md,minutes
12,2,1,3,"to approve the minutes of the White City Metro Township Council meeting held on January 4, 2018",Procedural/Administrative,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,1,11,0,meeting_minutes/minutes/2018/2018-03-01/2018-03-01_council-meeting.md,minutes
13,2,1,4,to accept the January 2018 Financial Report,Other,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,1,11,0,meeting_minutes/minutes/2018/2018-03-01/2018-03-01_council-meeting.md,minutes
14,2,1,5,to direct Paul Ashton to proceed with the financial policy,Other,Pass (unanimous),Pass,council_vote,,,unclassified,low,,,,13,1,0,meeting_minutes/minutes/2018/2018-03-01/2018-03-01_council-meeting.md,minutes
15,3,1,1,"to allow Randy Allen, Fiscal Manager, Salt Lake County Planning and Development Services Division, to present the February 2018 Financial Report",Other,Pass (unanimous),Pass,council_vote,,,unclassified,low,,,,6,1,0,meeting_minutes/minutes/2018/2018-04-05/2018-04-05_council-meeting.md,minutes
16,3,1,2,to close the staff meeting,Other,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,1,6,0,meeting_minutes/minutes/2018/2018-04-05/2018-04-05_council-meeting.md,minutes
17,3,1,3,to close the open public meeting of the White City Metro Township Council meeting to discuss personnel matters,Other,Pass (unanimous),Pass,council_vote,,,unclassified,low,,,,11,1,0,meeting_minutes/minutes/2018/2018-04-05/2018-04-05_council-meeting.md,minutes
18,3,1,4,to reopen the public meeting,Other,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,6,1,0,meeting_minutes/minutes/2018/2018-04-05/2018-04-05_council-meeting.md,minutes
19,3,1,5,to direct Paul Ashton to move forward with the letter,Other,Pass (unanimous),Pass,council_vote,,,unclassified,low,,,,1,6,0,meeting_minutes/minutes/2018/2018-04-05/2018-04-05_council-meeting.md,minutes
20,3,1,6,to approve Resolution #18-04-03,Resolution,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,1,6,0,meeting_minutes/minutes/2018/2018-04-05/2018-04-05_council-meeting.md,minutes
