date,body,meeting_type,packet_kind,title,source,pmn_body,source_url,notice_url,ext,raw_rel,raw_name
2017-12-06,PlanningCommission,,agenda_packet,171206_CoppertonPC_Agenda.pdf,pmn,1560,https://www.utah.gov/pmn/files/351005.pdf,https://www.utah.gov/pmn/sitemap/notice/431823.html,pdf,raw/2017-12-06/171206_CoppertonPC_Agenda.pdf,171206_CoppertonPC_Agenda.pdf
2018-01-10,PlanningCommission,,full_packet,180110_CoppertonPC_Packet.pdf,pmn,1560,https://www.utah.gov/pmn/files/359887.pdf,https://www.utah.gov/pmn/sitemap/notice/438349.html,pdf,raw/2018-01-10/180110_CoppertonPC_Packet.pdf,180110_CoppertonPC_Packet.pdf
2018-02-07,PlanningCommission,,full_packet,180207_CoppertonPC_Packet.pdf,pmn,1560,https://www.utah.gov/pmn/files/368043.pdf,https://www.utah.gov/pmn/sitemap/notice/442953.html,pdf,raw/2018-02-07/180207_CoppertonPC_Packet.pdf,180207_CoppertonPC_Packet.pdf
2018-03-13,PlanningCommission,,full_packet,180313_CoppertonPC_Packet.pdf,pmn,1560,https://www.utah.gov/pmn/files/377749.pdf,https://www.utah.gov/pmn/sitemap/notice/450891.html,pdf,raw/2018-03-13/180313_CoppertonPC_Packet.pdf,180313_CoppertonPC_Packet.pdf
2018-04-10,PlanningCommission,,full_packet,180410_CoppertonPC_Packet.pdf,pmn,1560,https://www.utah.gov/pmn/files/385155.pdf,https://www.utah.gov/pmn/sitemap/notice/456047.html,pdf,raw/2018-04-10/180410_CoppertonPC_Packet.pdf,180410_CoppertonPC_Packet.pdf
2018-05-08,PlanningCommission,,agenda_packet,180508_CoppertonPC_Agenda.pdf,pmn,1560,https://www.utah.gov/pmn/files/391507.pdf,https://www.utah.gov/pmn/sitemap/notice/461129.html,pdf,raw/2018-05-08/180508_CoppertonPC_Agenda.pdf,180508_CoppertonPC_Agenda.pdf
2018-06-12,PlanningCommission,,full_packet,180612_CoppertonPC_Packet.pdf,pmn,1560,https://www.utah.gov/pmn/files/402625.pdf,https://www.utah.gov/pmn/sitemap/notice/468295.html,pdf,raw/2018-06-12/180612_CoppertonPC_Packet.pdf,180612_CoppertonPC_Packet.pdf
2018-08-14,PlanningCommission,,agenda_packet,180814_CoppertonPCSWM_Agenda.pdf,pmn,1560,https://www.utah.gov/pmn/files/415805.pdf,https://www.utah.gov/pmn/sitemap/notice/478653.html,pdf,raw/2018-08-14/180814_CoppertonPCSWM_Agenda.pdf,180814_CoppertonPCSWM_Agenda.pdf
2018-09-11,PlanningCommission,,agenda_packet,180911_CoppertonPCSWM_Agenda.pdf,pmn,1560,https://www.utah.gov/pmn/files/423935.pdf,https://www.utah.gov/pmn/sitemap/notice/484245.html,pdf,raw/2018-09-11/180911_CoppertonPCSWM_Agenda.pdf,180911_CoppertonPCSWM_Agenda.pdf
2018-10-09,PlanningCommission,,full_packet,181009_CoppertonPCSWM_Packet.pdf,pmn,1560,https://www.utah.gov/pmn/files/433557.pdf,https://www.utah.gov/pmn/sitemap/notice/489913.html,pdf,raw/2018-10-09/181009_CoppertonPCSWM_Packet.pdf,181009_CoppertonPCSWM_Packet.pdf
2018-11-13,PlanningCommission,,full_packet,181113_CoppertonPC_Packet.pdf,pmn,1560,https://www.utah.gov/pmn/files/440679.pdf,https://www.utah.gov/pmn/sitemap/notice/495667.html,pdf,raw/2018-11-13/181113_CoppertonPC_Packet.pdf,181113_CoppertonPC_Packet.pdf
2018-11-21,Council,,supporting_docs,Affordable Housing Modifications (2018).pdf,pmn,5831,https://www.utah.gov/pmn/files/445773.pdf,https://www.utah.gov/pmn/sitemap/notice/499579.html,pdf,raw/2018-11-21/Affordable_Housing_Modifications_2018.pdf,Affordable_Housing_Modifications_2018.pdf
2018-11-21,Council,,supporting_docs,Affordable Housing Modifications Handout (2018).pdf,pmn,5831,https://www.utah.gov/pmn/files/445775.pdf,https://www.utah.gov/pmn/sitemap/notice/499579.html,pdf,raw/2018-11-21/Affordable_Housing_Modifications_Handout_2018.pdf,Affordable_Housing_Modifications_Handout_2018.pdf
2018-11-21,Council,,agenda_packet,Metro Township Council Agenda November 2018 v3.pdf,pmn,5831,https://www.utah.gov/pmn/files/445777.pdf,https://www.utah.gov/pmn/sitemap/notice/499579.html,pdf,raw/2018-11-21/Metro_Township_Council_Agenda_November_2018_v3.pdf,Metro_Township_Council_Agenda_November_2018_v3.pdf
2018-12-19,Council,,supporting_docs,Bingham Cemetery Proposed Fee Schedule ORIGINAL (2018).pdf,pmn,5831,https://www.utah.gov/pmn/files/451027.pdf,https://www.utah.gov/pmn/sitemap/notice/503179.html,pdf,raw/2018-12-19/Bingham_Cemetery_Proposed_Fee_Schedule_ORIGINAL_2018.pdf,Bingham_Cemetery_Proposed_Fee_Schedule_ORIGINAL_2018.pdf
2018-12-19,Council,,supporting_docs,Copperton 2019 Budget - Final.pdf,pmn,5831,https://www.utah.gov/pmn/files/451029.pdf,https://www.utah.gov/pmn/sitemap/notice/503179.html,pdf,raw/2018-12-19/Copperton_2019_Budget_-_Final.pdf,Copperton_2019_Budget_-_Final.pdf
