date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,source,pmn_body,notice_url,bytes,sha256,doc_class,fetch_status,text_path,text_chars
2019-01-15,190115_CoppertonPC_Packet.pdf,PlanningCommission,,full_packet,https://www.utah.gov/pmn/files/457315.pdf,2026-07-14,text,pdftotext -layout,raw/2019-01-15/190115_CoppertonPC_Packet.pdf,pmn,1560,https://www.utah.gov/pmn/sitemap/notice/507779.html,2057481,56de631e1f394415,,,,
2019-02-12,190212_CoppertonPC_Packet.pdf,PlanningCommission,,full_packet,https://www.utah.gov/pmn/files/464839.pdf,2026-07-14,text,pdftotext -layout,raw/2019-02-12/190212_CoppertonPC_Packet.pdf,pmn,1560,https://www.utah.gov/pmn/sitemap/notice/512933.html,1318096,c622f3bf7f69465c,,,,
2019-02-20,02-20-19.pdf,Council,,supporting_docs,https://www.utah.gov/pmn/files/469095.pdf,2026-07-14,text,pdftotext -layout,raw/2019-02-20/02-20-19.pdf,pmn,5831,https://www.utah.gov/pmn/sitemap/notice/516615.html,194081,61ed839fde05ea2f,,,,
2019-03-12,190312_CoppertonPC_Packet.pdf,PlanningCommission,,full_packet,https://www.utah.gov/pmn/files/474945.pdf,2026-07-14,text,pdftotext -layout,raw/2019-03-12/190312_CoppertonPC_Packet.pdf,pmn,1560,https://www.utah.gov/pmn/sitemap/notice/518869.html,767126,39509cdf5cbd86c2,,,,
2019-04-09,190409_CoppertonPC_Packet.pdf,PlanningCommission,,full_packet,https://www.utah.gov/pmn/files/482635.pdf,2026-07-14,text,pdftotext -layout,raw/2019-04-09/190409_CoppertonPC_Packet.pdf,pmn,1560,https://www.utah.gov/pmn/sitemap/notice/525017.html,850613,ef7c6bc8a0631238,,,,
2019-04-23,2019 Metro Township Candidate Filing Notice COPPERTON - Ut Public Notice Website.docx,Council,,supporting_docs,https://www.utah.gov/pmn/files/488505.docx,2026-07-14,text,none (docx raw retained),raw/2019-04-23/2019_Metro_Township_Candidate_Filing_Notice_COPPERTON_-_Ut_Public_Notice_Website.docx,pmn,5831,https://www.utah.gov/pmn/sitemap/notice/529741.html,70338,2b7bf324cb4186cf,,,,
2019-04-25,190425_Land Use Legal Training.pdf,PlanningCommission,,supporting_docs,https://www.utah.gov/pmn/files/488321.pdf,2026-07-14,text,pdftotext -layout,raw/2019-04-25/190425_Land_Use_Legal_Training.pdf,pmn,1560,https://www.utah.gov/pmn/sitemap/notice/529579.html,155380,e86fcfba3783bc2a,,,,
2019-05-14,190514_CoppertonPC_Packet.pdf,PlanningCommission,,full_packet,https://www.utah.gov/pmn/files/491721.pdf,2026-07-14,text,pdftotext -layout,raw/2019-05-14/190514_CoppertonPC_Packet.pdf,pmn,1560,https://www.utah.gov/pmn/sitemap/notice/531253.html,2340191,629f5e75ef0c97a1,,,,
2019-06-01,Notice of Intent to Prepare Copperton General Plan.pdf,PlanningCommission,,supporting_docs,https://www.utah.gov/pmn/files/497421.pdf,2026-07-14,text,pdftotext -layout,raw/2019-06-01/Notice_of_Intent_to_Prepare_Copperton_General_Plan.pdf,pmn,1560,https://www.utah.gov/pmn/sitemap/notice/536237.html,81643,32c23dae726ea577,,,,
2019-06-11,190611_CoppertonPC_Packet.pdf,PlanningCommission,,full_packet,https://www.utah.gov/pmn/files/500829.pdf,2026-07-14,text,pdftotext -layout,raw/2019-06-11/190611_CoppertonPC_Packet.pdf,pmn,1560,https://www.utah.gov/pmn/sitemap/notice/537367.html,3821102,e061844190db3dd3,,,,
2019-06-26,190626_CoppertonGPSC_Agenda.pdf,PlanningCommission,,agenda_packet,https://www.utah.gov/pmn/files/507445.pdf,2026-07-14,text,pdftotext -layout,raw/2019-06-26/190626_CoppertonGPSC_Agenda.pdf,pmn,1560,https://www.utah.gov/pmn/sitemap/notice/543467.html,167066,0c63c365e6af16e7,,,,
2019-07-09,190709_CoppertonPC_Packet.pdf,PlanningCommission,,full_packet,https://www.utah.gov/pmn/files/509371.pdf,2026-07-14,text,pdftotext -layout,raw/2019-07-09/190709_CoppertonPC_Packet.pdf,pmn,1560,https://www.utah.gov/pmn/sitemap/notice/544575.html,2623859,95f44a793f462a1d,,,,
