key,cycle,candidate,office,document_id,doc_name,date_submitted,pages,path,filing_class,doc_kind,c_state,c_rows,c_count_basis,c_layout,e_state,e_rows,e_count_basis,e_layout,ruled,subtotals,handwriting,redaction,stated_contrib,stated_expend,stated_source,contradiction,pages_with_detail,notes
Ahn-Danielle__23F2E34E,2022,"Ahn, Danielle",District Attorney,23F2E34E-311F-4FD9-97E8-5353503F6308,Needs Amendment Form,01/31/23,7,raw/easyvote/Ahn-Danielle__23F2E34E.pdf,has-attachment-detail,standard-report,has-detail,11,counted,county-form,empty-schedule,0,,,1,1,0,address-only,"$3,208.8","$11,868.21",vision-2026-08-02-cache + re-read 2026-08-20 (agree),1,3,"CALIBRATION(lead agent); Sched A typed directly into county grid 11 rows TOTAL 3208.8; Sched B page present and wholly blank yet Summary line 2 states 11868.21 -> stated-total-without-detail; p5-7 are Summary Page Other Campaign Accounts + its two blank itemized pages; cover prints CONTRIBUTIONS RECEIVED $70,615.25 and EXPENDITURES MADE $70,615.25 as a hand-added banner that matches neither column"
Ahn-Danielle__43FA92A0,2022,"Ahn, Danielle",District Attorney,43FA92A0-1F47-4F00-A822-8A055FDCFC90,2022 Financial Disclosure Report Final ,02/03/23,7,raw/easyvote/Ahn-Danielle__43FA92A0.pdf,has-attachment-detail,standard-report,has-detail,11,counted,attach-list-days-source-amount-name-address-occupation,has-detail,30,counted,attach-date-purpose-amount,1,1,0,address-only,"$2,370","$11,008.96",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,"4,6","CALIBRATION(lead agent); both county schedules are stubs reading See attachments; p4 titled The list of Expenditure and Donations subtotal 2,370.00; p6 hand-titled Expenditures - Schedule B ends 11,008.96; p7 is a Dissolution of a Candidate Campaign Committee notice bundled into the same PDF"
Ahn-Danielle__3D92860F,2022,"Ahn, Danielle",District Attorney,3D92860F-C194-4313-B0EA-F65B02DD18CB,campaign@da4da.com,04/05/22,4,raw/easyvote/Ahn-Danielle__3D92860F.pdf,has-attachment-detail,standard-report,has-detail,9,counted,county-form,has-detail,8,counted,county-form,1,1,0,address-only,"$3,220.00","$2,535.45",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,"3,4","CALIBRATION(lead agent); both schedules typed onto the county grid; Schedule A subtotal 3,245.00 disagrees with Summary line 1 3,220.00 - filer arithmetic retained; Schedule B subtotal 2,535.45 agrees"
Ahn-Danielle__859738CC,2022,"Ahn, Danielle",District Attorney,859738CC-3AA8-4B71-91C5-549731EB94E2,Danielle Ahn June Primary Disclosure Report ,06/21/22,11,raw/easyvote/Ahn-Danielle__859738CC.pdf,has-attachment-detail,standard-report,has-detail,100,approx,attach-date-source-amount-name-address-occupation,has-detail,63,approx,attach-date-recipient-purpose-amount,1,1,0,address-only,"15,398","12,059.14",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,"4-8,10-11","CALIBRATION(lead agent); Schedule A stub says See Attached 5 pages total; Schedule B stub says See Attached 2 pages; the attachment prints per-page subtotals AND a grand total per side (Total for Schedule A 15,398; Sum of Subtotals for pages 1 and 2 12,059.14) - both sides fully gateable"
Ahn-Danielle__D82CCB77,2022,"Ahn, Danielle",District Attorney,D82CCB77-E5AE-4F18-9B26-E682BA59E9BF,2022 Danielle Ahn September 15 Disclosure,09/15/22,13,raw/easyvote/Ahn-Danielle__D82CCB77.pdf,has-attachment-detail,standard-report,has-detail,54,counted,attach-list-days-source-amount-name-address-occupation,has-detail,100,approx,attach-days-source-amount,1,1,0,address-only,"23,923","14,783.88",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,5-13,"CALIBRATION(lead agent); the filing the coordinator brief cites; p5 The list of Donations September 16 rows Sub Total 7,720.00 exactly as the brief says; p6 August 19 rows 9,780.00; p7 June/July 19 rows 6,423.00; expenditure pages p8-p13 each print Subtotal Expenditures"
Ahn-Danielle__E634CB98,2022,"Ahn, Danielle",District Attorney,E634CB98-848A-450A-8524-57EBA001372D,Danielle Ahn Nov 1 2022 Financial Disclosure ,11/01/22,14,raw/easyvote/Ahn-Danielle__E634CB98.pdf,has-attachment-detail,standard-report,has-detail,73,approx,attach-list-days-source-amount-name-address-occupation,has-detail,113,approx,attach-days-source-amount,1,1,0,address-only,"24,845.00","29,368.57",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,5-14,CALIBRATION(lead agent); schedules are stubs reading See Worksheets / See Attachments; the attachment mixes donation and expenditure tables side by side on some pages and prints a combined Donations Total / Expenditure Total footer; one page (p11) is an unruled plain typed list of donations with no gridlines
Alvord-Dave__F5A3F14F,2022,"Alvord, Dave",County Council,F5A3F14F-7988-4DA3-B6D8-EEB2A970C7CF,Alvord 2022 Disclosures,02/07/23,7,raw/easyvote/Alvord-Dave__F5A3F14F.pdf,empty-schedule,standard-report,empty-schedule,0,counted,,empty-schedule,0,counted,,1,1,1,address-only,0,0,vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,,CALIBRATION(lead agent); handwritten No election activity 2022 across the Summary Page Schedule A Schedule B and the Other Campaign Accounts pages; every figure is a slashed-zero glyph; a genuine zero-activity year-end filing
Andrus-Tyler__1AAD3BCA,2022,"Andrus, Tyler",Assessor,1AAD3BCA-B93F-4E07-A1E0-CEF8FCCFFEA6,2022,01/30/23,2,raw/easyvote/Andrus-Tyler__1AAD3BCA.pdf,no-schedule-page,standard-report,no-schedule-page,,,,no-schedule-page,,,,1,0,0,none,$0.00,$0.00,vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,,2-page filing: p1 cover + p2 Summary Page only; no Schedule A or B page exists; year-end report dated 01/30/23 on the 2020 form vintage; both stated totals are $0.00 so no contradiction; beginning/ending balance $1264.01; matches the CSV vision values.
Barnes-Richard-D-M__29F6C75C,2022,"Barnes, Richard D M",County Council,29F6C75C-BAA3-4A3C-98E4-F99007B5F534,Final/ Dissolution Report,01/30/23,4,raw/easyvote/Barnes-Richard-D-M__29F6C75C.pdf,has-attachment-detail,standard-report,empty-schedule,0,counted,,has-detail,1,counted,county-form,1,1,1,none,0,-(25.00),vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,4,wholly handwritten; Schedule A p3 present and struck NONE TO REPORT with a zero glyph subtotal; Schedule B p4 carries one loan-repayment line to the candidate; line 2 Column A is written as a negative parenthetical -(25 00); Final/Dissolution box checked on the standard 4-page form
Barnes-Richard-D-M__0F8342AB,2022,"Barnes, Richard D M",County Council,0F8342AB-5845-4EC6-8B28-4765F1DFC163,"September 15, 2022",09/15/22,4,raw/easyvote/Barnes-Richard-D-M__0F8342AB.pdf,has-attachment-detail,standard-report,has-detail,1,counted,county-form,empty-schedule,0,,,1,1,1,address-block-incl-city-state-zip,25.00,0,vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,3,Handwritten 4-page filing; Sched B p4 struck 'NONE this period' with a zero subtotal - a real zero; Summary line 2 Column A is a DASH glyph (not a numeral) and line 6 is a zero glyph so I record 0; batch CSV vision value 0 agrees; county black bar covers the whole Complete Mailing Address cell so donor city/state/zip do NOT survive
Barnes-Richard-D-M__AA9B6660,2022,"Barnes, Richard D M",County Council,AA9B6660-F285-4519-8E00-EDF114B30A12,County and Local School Board Financial Disclosure November 1,10/27/22,4,raw/easyvote/Barnes-Richard-D-M__AA9B6660.pdf,empty-schedule,standard-report,empty-schedule,0,counted,county-form,empty-schedule,0,counted,county-form,,,,,0,0,vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,,"NO MAIN SUMMARY PAGE - the only summary in the document is p2 ""Summary Page Other Campaign Accounts""; its Column A line 1 and line 2 are both handwritten zero glyphs (Column B YTD shows 605.26 / 580.26); Schedule A p3 and Schedule B p4 are the county grid with the word NONE written across the first row and zero glyphs in SUBTOTAL and TOTAL; handwritten throughout"
Bradshaw-Arlyn__A0C86551,2022,"Bradshaw, Arlyn",County Council,A0C86551-5BC6-4E72-86B5-27932F26AD10,September 15th Filing,09/15/22,7,raw/easyvote/Bradshaw-Arlyn__A0C86551.pdf,has-attachment-detail,standard-report,has-detail,51,counted,county-form,has-detail,13,counted,county-form,1,1,0,address-only,"$7,155.00","$7,702.24",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,3-7,p1 cover; p2 Summary; p3-6 Sched A; p7 Sched B; Schedule A prints TOTAL CONTRIBUTIONS RECEIVED $6105.00 (page subtotals 2435.00+1290.00+1845.00+535.00) against Summary line 1 $7155.00 - a $1050.00 filer gap; Schedule B total $7702.24 ties exactly to line 2; black bar covers the WHOLE Complete Mailing Address column so donor city/state/zip do NOT survive; long Occupation/Employer strings are clipped by cell width (rendering limit; not redaction)
Bradshaw-Arlyn__8B7EDF37,2022,"Bradshaw, Arlyn",County Council,8B7EDF37-CF64-4946-8236-CEBB3615D6D1,"November 1, 2022 Disclosure",11/01/22,4,raw/easyvote/Bradshaw-Arlyn__8B7EDF37.pdf,has-attachment-detail,standard-report,has-detail,3,counted,county-form,has-detail,5,counted,county-form,1,1,0,address-only,$700.00,"$2,739.24",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,3-4,Canonical 4-page shape p1 cover p2 Summary p3 SchedA p4 SchedB; SchedA subtotal $700.00 and SchedB subtotal $2739.24 both reconcile exactly to Summary Column A; black bar covers the whole Complete Mailing Address column so donor city/state do NOT survive
Chapman-Lannie__D12FAB4A,2022,"Chapman, Lannie",Clerk,D12FAB4A-70D1-4580-A60E-6F1C9197751B,"April 5, 2022",04/05/22,7,raw/easyvote/Chapman-Lannie__D12FAB4A.pdf,has-attachment-detail,standard-report,has-detail,54,counted,county-form,has-detail,8,counted,county-form,1,1,0,address-only,"$15,619.60","$2,174.09",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,3-7,April 5 interim report on the 2020 form; Schedule A p3-p6 (15/15/15/9); Schedule B p7 (8 rows); INTERNAL DISCREPANCY: Schedule A pages print TOTAL CONTRIBUTIONS RECEIVED $15283.30 vs Summary line 1 Column A $15619.60 (a $336.30 gap); Schedule B total $2174.09 agrees; black bar covers the entire Complete Mailing Address column so city/state/zip do not survive.
