motion_id,meeting_id,body_id,motion_no,motion_text,motion_type,result_raw,outcome,stage,recommendation,disposition,disposition_method,disposition_confidence,application_id,app_match_method,app_confidence,mover_person_id,seconder_person_id,names_recorded,source_file
1,1,1,1,moved adopt the Consent Agenda. Council Member Ernest Burgess,Other,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,7,13,1,minutes/2020/2020-01-06/2020-01-08_city-council.md
2,1,1,2,"moved adopt Ordinance No. 20-01, as presented. Council Member Meredith Harker",Ordinance,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,5,18,1,minutes/2020/2020-01-06/2020-01-08_city-council.md
3,1,1,3,"moved adopt Ordinance No. 20-02, as presented. Council Member Curt Cochran",Ordinance,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,13,7,1,minutes/2020/2020-01-06/2020-01-08_city-council.md
4,1,1,4,"moved adopt Ordinance No. 20-03, as presented. Council Member Ernest Burgess",Ordinance,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,18,13,1,minutes/2020/2020-01-06/2020-01-08_city-council.md
5,1,1,5,"moved adopt Ordinance No. 20-04, as presented. Council Member Ernest Burgess",Ordinance,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,7,13,1,minutes/2020/2020-01-06/2020-01-08_city-council.md
6,1,1,6,moved adopt Resolution No. 20-01 as presented. Council Member Ernest Burgess,Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,5,13,1,minutes/2020/2020-01-06/2020-01-08_city-council.md
7,1,1,7,moved recess the City Council Meeting and convene an RDA Board Meeting. Council Member Curt Cochran,Procedural/Administrative,Unanimous Pass,Pass,council_vote,,procedural,keyword,high,,,,5,7,0,minutes/2020/2020-01-06/2020-01-08_city-council.md
8,1,1,8,moved convene a Closed Session to discuss the sale or purchase of real property at 8:40 p.m. Council Member Ernest Burgess,Contract/Purchase,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,5,13,1,minutes/2020/2020-01-06/2020-01-08_city-council.md
9,1,1,9,moved adjourn the Closed Session and the City Council Meeting. Council Member Curt Cochran,Procedural/Administrative,Unanimous Pass,Pass,council_vote,,procedural,keyword,high,,,,5,7,0,minutes/2020/2020-01-06/2020-01-08_city-council.md
10,2,1,1,moved appoint Jamie Brooks as the City Recorder. Council Member Armstrong,Appointment,5-0 Pass,Pass,council_vote,,,unclassified,low,,,,5,8,1,minutes/2020/2020-01-20/2020-01-22_city-council.md
11,2,1,2,moved approve the Consent Agenda. Council Member Cochran,Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,8,7,1,minutes/2020/2020-01-20/2020-01-22_city-council.md
12,2,1,3,moved approve Resolution No. 20-03 (with the understanding that only two signs would be built) in Support of approving the mid-year budget amendments to the FY2019-2020 budget. Council Member Cochran,Budget Amendment,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,5,7,1,minutes/2020/2020-01-20/2020-01-22_city-council.md
13,2,1,4,moved adopt Resolution No. 20-04 – In Support of declaring the City’s intent to purchase Granite School District surplus property. Council Member Cochran,Contract/Purchase,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,5,7,1,minutes/2020/2020-01-20/2020-01-22_city-council.md
14,2,1,5,moved adjourn the City Council Meeting. Council Member Cochran,Procedural/Administrative,Unanimous Pass,Pass,council_vote,,procedural,keyword,high,,,,5,7,0,minutes/2020/2020-01-20/2020-01-22_city-council.md
15,3,1,1,moved approve the Consent Agenda,Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,7,8,1,minutes/2020/2020-02-03/2020-02-05_city-council.md
16,3,1,2,moved adopt Ordinance No. 20-05 approving amendments to the City of Taylorsville Municipal Code Chapter 9.61.020 regarding Hours of Use of Off-Leash Area,Ordinance,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,13,7,1,minutes/2020/2020-02-03/2020-02-05_city-council.md
17,3,1,3,"moved adopt Ordinance No. 20-05, approving amendments to the City of Taylorsville Municipal Code Chapter 9.61.020: Hours of Use of Off-Leash Area",Ordinance,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,5,13,1,minutes/2020/2020-02-03/2020-02-05_city-council.md
18,3,1,4,moved the Council convene a Closed Session in order to discuss the character or professional competence of an individual. Councilmember Armstrong,Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,5,8,1,minutes/2020/2020-02-03/2020-02-05_city-council.md
19,4,1,1,moved appoint Stefanie Bassett and Lynda Davidson to serve on the Taylorsville Arts Council,Appointment,5-0 Pass,Pass,council_vote,,,unclassified,low,,,,13,8,1,minutes/2020/2020-02-17/2020-02-19_city-council.md
20,4,1,2,"moved approve the minutes of February 5, 2020",Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,7,13,1,minutes/2020/2020-02-17/2020-02-19_city-council.md
21,4,1,3,moved adjourn. Councilmember Armstrong,Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,7,8,1,minutes/2020/2020-02-17/2020-02-19_city-council.md
22,5,1,1,"moved approve the minutes from February 19, 2020 as presented",Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,5,7,1,minutes/2020/2020-03-02/2020-03-04_city-council.md
23,5,1,2,"moved approve Resolution 20-06, naming Bradley Christopherson as an alternate to the VECC Board of Trustees and John Taylor as a secondary alternate",Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,7,13,1,minutes/2020/2020-03-02/2020-03-04_city-council.md
24,5,1,3,moved adjourn,Procedural/Administrative,Unanimous Pass,Pass,council_vote,,procedural,keyword,high,,,,7,18,0,minutes/2020/2020-03-02/2020-03-04_city-council.md
25,6,1,1,"moved approve the minutes from March 4, 2020 as presented",Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,5,8,1,minutes/2020/2020-03-30/2020-04-01_city-council.md
26,6,1,2,"moved approve Ordinance No. 20-09, amending section 13.19.010 of the City of Taylorsville Municipal Code: Site Specific Development District Regulations Part D- District Designation",Ordinance,5-0 Pass,Pass,council_vote,,approve,keyword,high,1,singleton,high,5,8,1,minutes/2020/2020-03-30/2020-04-01_city-council.md
27,6,1,3,"moved approve the alternate Ordinance No. 20-10, adopting Chapter 13.41 of the City of Taylorsville Municipal Code: Site Specific Development Institutional-Temple (SSD-IN-Temple) with increased parking",Ordinance,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,8,5,1,minutes/2020/2020-03-30/2020-04-01_city-council.md
28,6,1,4,"moved approve Ordinance No. 20-11, approving a zoning map amendment from residential single-family minimum 8,000 square foot lots to (R-1-8) to Site Specific Development Institutional- Temple (SSD-IN-Temple) for the property located at 2603 West 4700 South",Land-Use/Zoning,5-0 Pass,Pass,council_vote,,approve,keyword,high,2,singleton,high,5,8,1,minutes/2020/2020-03-30/2020-04-01_city-council.md
29,6,1,5,"moved approve Resolution 20-08, approving the Development Agreement for the Church of Jesus Christ of Latter-Day Saints, Taylorsville Temple project",Land-Use/Zoning,5-0 Pass,Pass,council_vote,,approve,keyword,high,3,singleton,high,8,5,1,minutes/2020/2020-03-30/2020-04-01_city-council.md
30,6,1,6,"moved approve Ordinance 20-12, approving a Zoning Text Amendment to the Taylorsville Municipal Code, Sections 13.07.010(B), Residential Development Standards; 13.20.060, Planned Unit Development (PUD) District; 13.20.070 Residential Multi-Family (RM) District; 13.24.080(B), Parking Space Requirements; 13.30.030(C), Application and Review Process; 13.30.110 Street Dedication, and 13.36, Definitions",Land-Use/Zoning,5-0 Pass,Pass,council_vote,,approve,keyword,high,4,singleton,high,5,7,1,minutes/2020/2020-03-30/2020-04-01_city-council.md
31,6,1,7,moved adjourn,Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,8,7,1,minutes/2020/2020-03-30/2020-04-01_city-council.md
32,7,1,1,moved approve the appointment of Jessica Pratt to the Parks and Recreation Committee,Appointment,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,5,8,1,minutes/2020/2020-04-13/2020-04-15_city-council.md
33,7,1,2,moved approve the Consent Agenda as presented,Procedural/Administrative,4-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,5,7,1,minutes/2020/2020-04-13/2020-04-15_city-council.md
34,7,1,3,"moved approve Resolution 20-07, adopting the One-Year Action Plan for the forty-sixth year of Community Development Block Grant Funding and Home Investment Partnership Funding (2020-2021) and approving an Interlocal Agreement between the City of Taylorsville and the U.S. Department of Housing and Urban Development",Interlocal,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,8,5,1,minutes/2020/2020-04-13/2020-04-15_city-council.md
35,7,1,4,"moved approve the Resolution 20-09, adopting the Five-Year Consolidated Plan for the Community Development Block Grant (2020-2025) between the City of Taylorsville and the U.S. Department of Housing and Urban Development",Grant-Funding,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,8,7,1,minutes/2020/2020-04-13/2020-04-15_city-council.md
36,7,1,5,"moved approve Resolution 20-10 as amended, consenting to the extension of the Local State of Emergency Proclaimed in Response to COVID19 until May 21, 2020",Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,8,13,1,minutes/2020/2020-04-13/2020-04-15_city-council.md
37,7,1,6,moved adjourn,Procedural/Administrative,Unanimous Pass,Pass,council_vote,,procedural,keyword,high,,,,8,5,0,minutes/2020/2020-04-13/2020-04-15_city-council.md
38,8,1,1,"moved convene a closed session for reasons outlined in UCA §52-4-205 and adjourn from there. (Those reasons were to discuss pending or reasonably imminent litigation, to discuss the character or competence of an individual or the deployment of security devices and/or personnel.)",Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,8,5,1,minutes/2020/2020-04-27/2020-04-29_city-council.md
39,9,1,1,moved approve the appointment of Bill and Patricia Hardesty to the Cultural Diversity Committee,Appointment,4-0 Pass,Pass,council_vote,,approve,keyword,high,,,,7,8,1,minutes/2020/2020-05-04/2020-05-06_city-council.md
40,9,1,2,"moved approve the minutes of April 15, 2020 and April 29, 2020 as presented",Procedural/Administrative,4-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,8,7,1,minutes/2020/2020-05-04/2020-05-06_city-council.md
41,9,1,3,moved approve Ordinance 20-13 as presented,Ordinance,4-0 Pass,Pass,council_vote,,approve,keyword,high,,,,7,8,1,minutes/2020/2020-05-04/2020-05-06_city-council.md
42,9,1,4,"moved approve Resolution 20-12, acknowledging receipt of the Tentative Budget and tentatively adopting the Tentative Budget for the 2020-2021 Fiscal Year",Budget Amendment,4-0 Pass,Pass,council_vote,,approve,keyword,high,,,,13,7,1,minutes/2020/2020-05-04/2020-05-06_city-council.md
43,9,1,5,moved approve Resolution 20-13 as presented,Resolution,4-0 Pass,Pass,council_vote,,approve,keyword,high,,,,8,13,1,minutes/2020/2020-05-04/2020-05-06_city-council.md
44,9,1,6,"moved approve Resolution 20-11, approving an Interlocal Cooperation Agreement and Ground Lease Agreement regarding Fire Station No. 118 as presented",Interlocal,4-0 Pass,Pass,council_vote,,approve,keyword,high,,,,13,8,1,minutes/2020/2020-05-04/2020-05-06_city-council.md
45,9,1,7,moved recess the City Council meeting and convene as the Redevelopment Agency Board of Directors,Land-Use/Zoning,,Pass,council_vote,,procedural,keyword,high,5,singleton,high,8,7,0,minutes/2020/2020-05-04/2020-05-06_city-council.md
46,9,1,8,moved adjourn,Procedural/Administrative,Unanimous Pass,Pass,council_vote,,procedural,keyword,high,,,,8,7,0,minutes/2020/2020-05-04/2020-05-06_city-council.md
47,10,1,1,"moved approve the minutes of May 16, 2020 as presented",Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,8,5,1,minutes/2020/2020-05-18/2020-05-20_city-council.md
48,10,1,2,"moved approve Resolution 20-16, adopting final year-end amendments to the 2019-2020 fiscal year budget",Budget Amendment,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,5,8,1,minutes/2020/2020-05-18/2020-05-20_city-council.md
49,10,1,3,"moved approve Resolution 20-14, approving a Second Extension of the Local State of Emergency until June 3, 2020",Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,13,7,1,minutes/2020/2020-05-18/2020-05-20_city-council.md
50,10,1,4,moved approve Resolution 20-15 as presented,Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,8,13,1,minutes/2020/2020-05-18/2020-05-20_city-council.md
51,11,1,1,"moved approve the minutes of May 20, 2020 as presented",Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,7,13,1,minutes/2020/2020-06-01/2020-06-03_city-council.md
52,11,1,2,"moved approve Resolution 20-17, adopting the Final Budget for the fiscal year as amended to $22,447,047",Budget Amendment,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,13,5,1,minutes/2020/2020-06-01/2020-06-03_city-council.md
53,11,1,3,moved approve Resolution 20-19 as presented,Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,8,5,1,minutes/2020/2020-06-01/2020-06-03_city-council.md
54,12,1,1,"moved approve the minutes of June 3, 2020 as presented",Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,5,7,1,minutes/2020/2020-06-15/2020-06-17_city-council.md
55,12,1,2,"moved approve Resolution No. 20-21, re- appointing Lynette Wendel to the Planning Commission as the representative for District No. 4",Appointment,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,13,7,1,minutes/2020/2020-06-15/2020-06-17_city-council.md
56,12,1,3,"moved approve Resolution 20-22, re-appointing Don Russell as the Alternate for the Planning Commission",Appointment,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,7,13,1,minutes/2020/2020-06-15/2020-06-17_city-council.md
57,12,1,4,moved adopt Ordinance 20-14 as presented. The motion died for lack of a second,Ordinance,Died (no second),Died,council_vote,,approve,keyword,high,,,,18,,0,minutes/2020/2020-06-15/2020-06-17_city-council.md
58,12,1,5,moved deny Ordinance No. 20-14,Ordinance,4-1 Pass,Pass,council_vote,,deny,keyword,high,,,,7,13,1,minutes/2020/2020-06-15/2020-06-17_city-council.md
59,12,1,6,"moved approve Resolution 20-18, authorizing an amendment to extend Interlocal Agreement #SF12038C between Salt Lake County and the City for Bailiff and Security Services for an additional twelve- month period under a new Fee Schedule",Interlocal,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,5,7,1,minutes/2020/2020-06-15/2020-06-17_city-council.md
60,12,1,7,"moved approve Resolution 20-29, authorizing the First Amendment to the Interlocal Agreement between Salt Lake County and the City for Prisoner Transport Services",Interlocal,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,7,13,1,minutes/2020/2020-06-15/2020-06-17_city-council.md
61,12,1,8,"moved approve Resolution 20-23, approving an amendment to the Interlocal Agreement between the City and Salt Lake County for the transfer of funds to be used for Regional Transportation under the First-class Highway Projects",Interlocal,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,5,7,1,minutes/2020/2020-06-15/2020-06-17_city-council.md
62,12,1,9,"moved approve Resolution 20-24, setting the Certified Tax Rate and Levying of Taxes upon all real and personal property within the City for the Fiscal Year beginning July 1, 2020 and ending June 30, 2021",Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,13,5,1,minutes/2020/2020-06-15/2020-06-17_city-council.md
63,12,1,10,moved approve Resolution 20-26 as presented,Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,5,13,1,minutes/2020/2020-06-15/2020-06-17_city-council.md
64,12,1,11,moved approve Resolution 20-27 as outlined in the agenda packet,Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,5,13,1,minutes/2020/2020-06-15/2020-06-17_city-council.md
65,12,1,12,moved approve Resolution 20-28 as presented,Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,13,5,1,minutes/2020/2020-06-15/2020-06-17_city-council.md
66,12,1,13,"moved approve Resolution 20-20, approving an Interlocal Agreement between the City and Salt Lake County for participation as co-permittees under UPDES Permit No. UTS000001",Interlocal,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,13,7,1,minutes/2020/2020-06-15/2020-06-17_city-council.md
67,12,1,14,"moved approve Resolution 20-25, approving a Fourth Extension of the Local State of Emergency proclaimed in response to COVID-19",Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,13,5,1,minutes/2020/2020-06-15/2020-06-17_city-council.md
68,12,1,15,"moved convene a Closed Session for 1) a strategy session to discuss reasonably imminent litigation; 2) a discussion of the character, professional competence, or physical or mental health of an individual; and 3) discussion regarding deployment of security personnel, devices or systems",Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,5,7,1,minutes/2020/2020-06-15/2020-06-17_city-council.md
69,13,1,1,moved adjust the agenda as outlined by Chair Harker,Other,Unanimous Pass,Pass,council_vote,,,unclassified,low,,,,5,7,0,minutes/2020/2020-06-29/2020-07-01_city-council.md
70,13,1,2,moved ratify the Mayor’s letter to Unified Police Department providing notice of intent to withdraw from that agency,Other,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,8,13,1,minutes/2020/2020-06-29/2020-07-01_city-council.md
71,13,1,3,"moved approve the minutes of June 17, 2020 as presented",Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,7,8,1,minutes/2020/2020-06-29/2020-07-01_city-council.md
72,13,1,4,"moved adopt Ordinance No. 20-06, approving amendments to Taylorsville Municipal Code Chapter 5.24: Alcohol and Beer",Ordinance,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,8,7,1,minutes/2020/2020-06-29/2020-07-01_city-council.md
73,13,1,5,"moved adopt Ordinance No. 20-07, approving amendments to Taylorsville Municipal Code Chapter 5.06: Business License Fees",Ordinance,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,7,8,1,minutes/2020/2020-06-29/2020-07-01_city-council.md
74,13,1,6,"moved adopt Ordinance No. 20-15, approving text amendments to Taylorsville Municipal Code Section 13.08.020(E): Permitted Land Use Matrix by the Commercial, Office, Industrial, Mixed Use, Transit Corridor, and Research and Development Districts, and Section 13.23.160: Alcoholic Beverages; Distance Requirements",Land-Use/Zoning,5-0 Pass,Pass,council_vote,,approve,keyword,high,6,singleton,high,7,13,1,minutes/2020/2020-06-29/2020-07-01_city-council.md
75,13,1,7,"moved approve Resolution No. 20-31, consenting to a 5th Extension (to August 5, 2020) of the Local State of Emergency proclaimed in response to COVID-19",Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,5,8,1,minutes/2020/2020-06-29/2020-07-01_city-council.md
76,13,1,8,moved adjourn,Procedural/Administrative,Unanimous Pass,Pass,council_vote,,procedural,keyword,high,,,,8,7,0,minutes/2020/2020-06-29/2020-07-01_city-council.md
77,14,1,1,"moved approve the minutes of July 1, 2020 as presented",Procedural/Administrative,4-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,7,13,1,minutes/2020/2020-08-03/2020-08-05_city-council.md
78,14,1,2,moved approve Resolution 20-33 as presented,Resolution,4-0 Pass,Pass,council_vote,,approve,keyword,high,,,,13,7,1,minutes/2020/2020-08-03/2020-08-05_city-council.md
79,14,1,3,"moved adopt Ordinance No. 20-16, approving a Zoning Map Amendment from Residential Single-Family Minimum 8,000 square foot lots (R-1-8) and Limited Commercial (LC) to Residential Multi- Family District, 8 Units per acre (RM-8) for the properties located at 3399 West 4700 South and 3397 West 4700 South respectively",Land-Use/Zoning,4-0 Pass,Pass,council_vote,,approve,keyword,high,7,singleton,high,7,18,1,minutes/2020/2020-08-03/2020-08-05_city-council.md
80,14,1,4,moved approve Resolution 20-32 as presented,Resolution,4-0 Pass,Pass,council_vote,,approve,keyword,high,,,,7,13,1,minutes/2020/2020-08-03/2020-08-05_city-council.md
81,14,1,5,moved adjourn,Procedural/Administrative,,Pass,council_vote,,procedural,keyword,high,,,,13,7,0,minutes/2020/2020-08-03/2020-08-05_city-council.md
82,15,1,1,"moved approve the minutes of August 5, 2020 as amended",Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,7,13,1,minutes/2020/2020-08-17/2020-08-19_city-council.md
83,15,1,2,moved approve Resolution 20-34 as presented,Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,13,8,1,minutes/2020/2020-08-17/2020-08-19_city-council.md
84,15,1,3,moved adjourn,Procedural/Administrative,,Pass,council_vote,,procedural,keyword,high,,,,5,8,0,minutes/2020/2020-08-17/2020-08-19_city-council.md
85,16,1,1,moved appoint Sarah Niitsuma and Tommy Kelly to the Cultural Diversity Committee,Appointment,4-0 Pass,Pass,council_vote,,,unclassified,low,,,,7,8,1,minutes/2020/2020-08-31/2020-09-02_city-council.md
86,16,1,2,"moved approve the minutes of August 19, 2020 as presented",Procedural/Administrative,4-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,7,13,1,minutes/2020/2020-08-31/2020-09-02_city-council.md
87,16,1,3,moved approve Resolution 20-35 as presented,Resolution,4-0 Pass,Pass,council_vote,,approve,keyword,high,,,,13,8,1,minutes/2020/2020-08-31/2020-09-02_city-council.md
88,16,1,4,"moved adjourn, and Chair Harker",Procedural/Administrative,,Pass,council_vote,,procedural,keyword,high,,,,7,,0,minutes/2020/2020-08-31/2020-09-02_city-council.md
89,17,1,1,"moved approve the minutes of September 2, 2020 as presented",Procedural/Administrative,4-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,8,7,1,minutes/2020/2020-09-14/2020-09-16_city-council.md
90,17,1,2,"moved adopt Ordinance 20-18, changing 80’ to 100’",Ordinance,4-0 Pass,Pass,council_vote,,approve,keyword,high,,,,13,8,1,minutes/2020/2020-09-14/2020-09-16_city-council.md
91,17,1,3,moved adopt Ordinance 20-19 as presented,Ordinance,4-0 Pass,Pass,council_vote,,approve,keyword,high,,,,8,13,1,minutes/2020/2020-09-14/2020-09-16_city-council.md
92,17,1,4,"moved adjourn, Councilmember Armstrong",Procedural/Administrative,,Pass,council_vote,,procedural,keyword,high,,,,7,8,0,minutes/2020/2020-09-14/2020-09-16_city-council.md
93,18,1,1,"moved approve Ordinance 20-17, appointing Anna Barbieri to represent District No. 3 on the City Council; and to swear her in on October 7, 2020",Appointment,4-0 Pass,Pass,council_vote,,approve,keyword,high,,,,8,7,1,minutes/2020/2020-09-28/2020-09-30_city-council.md
94,18,1,2,"moved adjourn, Councilmember Cochran",Procedural/Administrative,,Pass,council_vote,,procedural,keyword,high,,,,8,7,0,minutes/2020/2020-09-28/2020-09-30_city-council.md
95,19,1,1,moved appoint Gary Santy to the Parks and Recreation Committee,Appointment,5-0 Pass,Pass,council_vote,,,unclassified,low,,,,18,8,1,minutes/2020/2020-10-05/2020-10-07_city-council.md
96,19,1,2,"moved approve the minutes of September 16, 2020 as presented",Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,8,7,1,minutes/2020/2020-10-05/2020-10-07_city-council.md
97,19,1,3,moved approve Resolution No. 20-37 and appoint Councilmember Barbieri to represent Taylorsville on the Wasatch Front Waste and Recycling District Administrative Control Board,Appointment,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,7,8,1,minutes/2020/2020-10-05/2020-10-07_city-council.md
98,19,1,4,"moved approve Resolution 20-38, appointing John Taylor as an alternate representative to the Salt Lake Valley Emergency Communication Center Board of Trustees",Appointment,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,8,7,1,minutes/2020/2020-10-05/2020-10-07_city-council.md
99,19,1,5,"moved approve Resolution No. 20-39, approving an eighth extension of the local state of emergency proclaimed in response to COVID-19",Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,8,18,1,minutes/2020/2020-10-05/2020-10-07_city-council.md
100,19,1,6,"moved convene a closed session to discuss the character, professional competence, or physical or mental health of an individual; strategy session to discuss pending or reasonably imminent litigation; strategy session to discuss the purchase, exchange, lease or sale of real property, including any form of a water right or water shares; and a discussion regarding deployment of security personnel, devices or systems. Councilmember Armstrong",Contract/Purchase,,Pass,council_vote,,procedural,keyword,high,,,,7,8,0,minutes/2020/2020-10-05/2020-10-07_city-council.md
101,20,1,1,"moved approve Resolution 20-40, accepting a Zoo, Arts and Parks grant from Salt Lake County in the amount of $4,500 to fund the Taylorsville Bennion Heritage Center",Grant-Funding,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,8,7,1,minutes/2020/2020-10-19/2020-10-21_city-council.md
102,20,1,2,"moved approve Resolution 20-41, approving a Coronavirus Aid Relief and Economic Security Act Funding Agreement between the City and Salt Lake County",Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,7,1,1,minutes/2020/2020-10-19/2020-10-21_city-council.md
103,20,1,3,moved convene a closed session to discuss pending or reasonably imminent litigation,Procedural/Administrative,,Pass,council_vote,,procedural,keyword,high,,,,8,7,0,minutes/2020/2020-10-19/2020-10-21_city-council.md
104,21,1,1,"moved approve Resolution No. 20-42, appointing David Wright to the Planning Commission representing District No. 3",Appointment,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,7,8,1,minutes/2020/2020-11-02/2020-11-04_city-council.md
105,21,1,2,moved approve Resolution No. 20-43 appointing Don Russell to the Planning Commission in the At-Large position,Appointment,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,8,7,1,minutes/2020/2020-11-02/2020-11-04_city-council.md
106,21,1,3,"moved approve the minutes from the Special City Council Meeting on September 30, 2020 and the regular City Council Meetings held on October 7, 2020 and October 21, 2020",Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,8,1,1,minutes/2020/2020-11-02/2020-11-04_city-council.md
107,21,1,4,"moved adjourn, and Chair Harker",Procedural/Administrative,,Pass,council_vote,,procedural,keyword,high,,,,8,,0,minutes/2020/2020-11-02/2020-11-04_city-council.md
108,22,1,1,"moved approve the minutes of November 4, 2020",Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,7,8,1,minutes/2020/2020-11-30/2020-12-02_city-council.md
109,22,1,2,"moved approve Resolution No. 20-45, approving the audit report for the fiscal year beginning July 1, 2019 and ending June 30, 2020 as presented",Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,7,13,1,minutes/2020/2020-11-30/2020-12-02_city-council.md
110,22,1,3,"moved approve Ordinance No. 20-20, authorizing the creation of the Taylorsville City Police Department to provide law enforcement services within the City of Taylorsville as presented",Ordinance,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,7,13,1,minutes/2020/2020-11-30/2020-12-02_city-council.md
111,22,1,4,"moved approve Resolution No. 20-46, approving the Use of Force policy for the Taylorsville City Police Department as presented",Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,13,8,1,minutes/2020/2020-11-30/2020-12-02_city-council.md
112,22,1,5,"moved convene a closed session to discuss the professional competency and character of an individual, and to discuss reasonably imminent litigation",Procedural/Administrative,,Pass,council_vote,,procedural,keyword,high,,,,8,1,0,minutes/2020/2020-11-30/2020-12-02_city-council.md
113,23,1,1,"moved approve Resolution 21-02, consenting to the appointment of Brady Cottam as the Chief of the Taylorsville Police Department",Appointment,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,8,7,1,minutes/2021/2021-01-04/2021-01-06_city-council.md
114,23,1,2,"moved approve Resolution 21-03, consenting to the appointment of Todd Gray as the Deputy Chief of the Taylorsville Police Department",Appointment,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,1,13,1,minutes/2021/2021-01-04/2021-01-06_city-council.md
115,23,1,3,"moved approve the minutes of December 2, 2020",Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,7,13,1,minutes/2021/2021-01-04/2021-01-06_city-council.md
