role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,1,2020-10-07,2026-06-03,384
2,1,2,2020-03-10,2020-09-08,25
3,1,3,2021-06-02,2022-05-04,6
4,3,2,2025-06-10,2025-07-22,11
5,4,1,2022-01-05,2026-06-03,283
6,4,3,2022-01-05,2022-05-04,4
7,5,1,2020-01-08,2020-08-19,66
8,6,2,2022-01-11,2026-01-27,79
9,7,1,2020-01-08,2026-06-03,464
10,7,3,2021-06-02,2022-05-04,7
11,8,1,2020-01-08,2021-12-15,161
12,8,3,2021-06-02,2021-06-02,3
13,9,2,2020-03-10,2026-01-27,108
14,10,2,2022-02-22,2026-01-27,45
15,11,2,2020-03-10,2025-07-22,109
16,12,2,2021-03-09,2025-07-22,69
17,13,1,2020-01-08,2026-06-03,461
18,13,3,2021-06-02,2022-05-04,7
19,14,2,2020-03-10,2026-01-27,102
20,15,2,2020-03-10,2021-11-09,32
21,16,2,2020-03-10,2025-02-25,88
22,17,2,2020-03-10,2026-01-27,93
23,18,1,2020-01-08,2026-06-03,463
24,18,3,2021-06-02,2022-05-04,7
