person_id,full_name,name_key
1,Anna Barbieri,annabarbieri
2,B. Murphy,bmurphy
3,Barbara Munoz,barbaramunoz
4,Bob Knudsen,bobknudsen
5,Brad Christopherson,bradchristopherson
6,Cindy Wilkey,cindywilkey
7,Curt Cochran,curtcochran
8,Dan Armstrong,danarmstrong
9,David Wright,davidwright
10,David Young,davidyoung
11,Don Quigley,donquigley
12,Don Russell,donrussell
13,Ernest Burgess,ernestburgess
14,Gordon Willardson,gordonwillardson
15,Kent Burggraaf,kentburggraaf
16,Lynette Wendel,lynettewendel
17,Marc McElreath,marcmcelreath
18,Meredith Harker,meredithharker
