doc_type,title,adopted_date,jurisdiction,path,text_path,format,source_url,notes
general_plan,Salt Lake County West General Plan,2022-05-10,Unincorporated Salt Lake County (West / west bench),,text/west_general_plan_2022.txt,pdf,https://www.saltlakecounty.gov/globalassets/1-site-files/regional-development/planning--transportation/plans--projects/west-general-plan/slco-west-general-plan-final-may-10-2022.pdf,"Countywide statutory general plan for unincorporated west-side areas; State-required land use/housing/transportation elements plus 5 county-added elements. Raw PDF 112MB - link-only per >50MB rule; text extracted (176 pp)."
general_plan,Wasatch Canyons General Plan Update,2020-06,Unincorporated Salt Lake County (Wasatch canyons),,text/wasatch_canyons_general_plan.txt,pdf,https://www.saltlakecounty.gov/globalassets/1-site-files/regional-development/review/wasatch-canyons-general-plan-update-slco.pdf,"Long-range land-use plan for Parleys/Mill Creek/Big & Little Cottonwood canyons + foothills. Raw PDF 177MB - link-only per >50MB rule; text extracted (202 pp)."
general_plan_element,Salt Lake County Water Use and Preservation Element,2026-02,Unincorporated Salt Lake County,,text/water_use_preservation_element.txt,pdf,https://www.saltlakecounty.gov/globalassets/1-site-files/regional-development/environmental-sustainability/water/26-02-03-slco-water-use-and-preservation-element_fnl.pdf,"Water element amendment to the general plan(s). Raw PDF 96MB - link-only per >50MB rule; text extracted (120 pp)."
township_general_plan,Magna General Plan,2021,Magna Metro Township,,text/magna_general_plan_2021.txt,pdf,https://msd.utah.gov/DocumentCenter/View/311/2021-Magna-General-Plan-PDF,"First general plan since 2017 incorporation. Raw PDF 94MB - link-only per >50MB rule; text extracted (111 pp)."
township_general_plan,Kearns General Plan (with Appendix),2020,Kearns Metro Township,,text/kearns_general_plan_2020.txt,pdf,https://msd.utah.gov/DocumentCenter/View/273/Kearns-Adopted-GP-and-Appendix-2020-PDF,"Adopted 2020; amended 2021 (resilience/infrastructure) and 2022 (moderate-income housing). Raw PDF 98MB - link-only per >50MB rule; text extracted (536 pp)."
township_general_plan,White City General Plan,2022-04,White City Metro Township,,text/white_city_general_plan_2022.txt,pdf,https://msd.utah.gov/DocumentCenter/View/672/White-City-General-Plan-Adopted-April-2022,"Adopted April 2022; amended Fall 2022 to add MIH element (see separate White City MIH row). Raw PDF 53MB - link-only per >50MB rule; text extracted (190 pp)."
township_general_plan,Emigration Canyon General Plan,2022-03-22,Emigration Canyon Metro Township,raw/emigration_canyon_general_plan_2022.pdf,text/emigration_canyon_general_plan_2022.txt,pdf,https://msd.utah.gov/DocumentCenter/View/252/2022-Emigration-Canyon-General-Plan-PDF,"First general plan since 2017 incorporation. Raw PDF 40MB retained; text extracted (81 pp)."
township_general_plan,Copperton General Plan,2020,Copperton Metro Township,,text/copperton_general_plan_2020.txt,pdf,https://msd.utah.gov/DocumentCenter/View/216/2020-Copperton-Adopted-General-Plan-PDF,"Raw PDF 57MB - link-only per >50MB rule; text extracted (90 pp)."
township_general_plan,Town of Brighton General Plan,2022-11,Town of Brighton,,text/brighton_general_plan_2022.txt,pdf,https://msd.utah.gov/DocumentCenter/View/774/Town-of-Brighton-General-Plan-Adopted-November-2022,"First Brighton general plan. Raw PDF 73MB - link-only per >50MB rule; text extracted (291 pp)."
moderate_income_housing,Moderate-Income Housing Plan for Unincorporated Salt Lake County,2022,Unincorporated Salt Lake County,raw/mih_plan_unincorporated_2022.pdf,text/mih_plan_unincorporated_2022.txt,pdf,https://msd.utah.gov/DocumentCenter/View/735/SLCo-Unincorporated-Moderate-Income-Housing-Plan,"Statutory MIH plan/element (2021 UT legislation). Raw PDF 5.7MB retained; text extracted (50 pp)."
moderate_income_housing,Moderate-Income Housing Element for Unincorporated Salt Lake County,2019-11,Unincorporated Salt Lake County,raw/mih_element_unincorporated_2019.pdf,text/mih_element_unincorporated_2019.txt,pdf,https://www.saltlakecounty.gov/globalassets/1-site-files/regional-development/planning--transportation/plans--projects/west-general-plan/mih-general-plan-housing-strategies-final-november-2019.pdf,"Earlier (2019) MIH housing-strategies element predecessor to the 2022 plan. Raw PDF 2.3MB retained; text extracted (33 pp)."
moderate_income_housing,White City Moderate Income Housing Plan,2022,White City Metro Township,raw/white_city_mih_plan_2022.pdf,text/white_city_mih_plan_2022.txt,pdf,https://msd.utah.gov/DocumentCenter/View/673,"State-compliant MIH plan (5 selected strategies). Raw PDF 5.0MB retained; text extracted (50 pp)."
resource_management_plan,Salt Lake County Resource Management Plan,2017,Salt Lake County,raw/slco_resource_management_plan_2017.pdf,text/slco_resource_management_plan_2017.txt,pdf,https://msd.utah.gov/DocumentCenter/View/522/Salt-Lake-County-Resource-Management-Plan-2017,"Countywide natural-resource/land planning document. Raw PDF 7.8MB retained; text extracted (128 pp)."
consolidated_plan,Salt Lake County Consolidated Plan and Action Plan 2025-2029,2025,Salt Lake County (HUD entitlement area),raw/consolidated_plan_2025_2029.pdf,text/consolidated_plan_2025_2029.txt,pdf,https://www.saltlakecounty.gov/globalassets/1-site-files/regional-development/housing--community-development/plans--reports/salt-lake-county-final-consolidated-plan-and-action-plan-2025-2029.pdf,"HUD Consolidated Plan (CDBG/HOME/ESG) - housing & community-development needs/strategy. Raw PDF 18MB retained; text extracted (410 pp)."
