EventItemId,_event_id,_body_id,VotePersonId,VotePersonName,VoteValueId,VoteValueName
37134,3112,265,197,Steve DeBry,16,Aye
37134,3112,265,389,Laurie Stringham,16,Aye
37134,3112,265,202,Richard Snelgrove,16,Aye
37134,3112,265,203,Jim Bradley,17,Nay
37134,3112,265,189,Arlyn Bradshaw,17,Nay
37134,3112,265,391,Dave Alvord,16,Aye
37134,3112,265,193,Aimee Winder Newton,16,Aye
37134,3112,265,195,Ann Granato,17,Nay
37134,3112,265,393,Dea Theodore,16,Aye
37315,3113,265,197,Steve DeBry,16,Aye
37315,3113,265,389,Laurie Stringham,16,Aye
37315,3113,265,202,Richard Snelgrove,16,Aye
37315,3113,265,203,Jim Bradley,16,Aye
37315,3113,265,189,Arlyn Bradshaw,16,Aye
37315,3113,265,391,Dave Alvord,16,Aye
37315,3113,265,193,Aimee Winder Newton,16,Aye
37315,3113,265,195,Ann Granato,17,Nay
37315,3113,265,393,Dea Theodore,16,Aye
37316,3113,265,197,Steve DeBry,16,Aye
37316,3113,265,389,Laurie Stringham,16,Aye
37316,3113,265,202,Richard Snelgrove,16,Aye
37316,3113,265,203,Jim Bradley,17,Nay
37316,3113,265,189,Arlyn Bradshaw,17,Nay
37316,3113,265,391,Dave Alvord,16,Aye
37316,3113,265,193,Aimee Winder Newton,16,Aye
37316,3113,265,195,Ann Granato,17,Nay
37316,3113,265,393,Dea Theodore,16,Aye
37908,3126,265,197,Steve DeBry,16,Aye
37908,3126,265,389,Laurie Stringham,16,Aye
37908,3126,265,202,Richard Snelgrove,16,Aye
37908,3126,265,203,Jim Bradley,16,Aye
37908,3126,265,189,Arlyn Bradshaw,16,Aye
37908,3126,265,391,Dave Alvord,16,Aye
37908,3126,265,193,Aimee Winder Newton,16,Aye
37908,3126,265,195,Ann Granato,16,Aye
37908,3126,265,393,Dea Theodore,16,Aye
37729,3127,265,197,Steve DeBry,16,Aye
37729,3127,265,389,Laurie Stringham,16,Aye
37729,3127,265,202,Richard Snelgrove,16,Aye
37729,3127,265,203,Jim Bradley,17,Nay
37729,3127,265,189,Arlyn Bradshaw,17,Nay
37729,3127,265,391,Dave Alvord,16,Aye
37729,3127,265,193,Aimee Winder Newton,17,Nay
37729,3127,265,195,Ann Granato,17,Nay
37729,3127,265,393,Dea Theodore,16,Aye
38060,3127,265,197,Steve DeBry,16,Aye
38060,3127,265,389,Laurie Stringham,16,Aye
38060,3127,265,202,Richard Snelgrove,16,Aye
38060,3127,265,203,Jim Bradley,16,Aye
38060,3127,265,189,Arlyn Bradshaw,16,Aye
38060,3127,265,391,Dave Alvord,16,Aye
38060,3127,265,193,Aimee Winder Newton,16,Aye
38060,3127,265,195,Ann Granato,16,Aye
38060,3127,265,393,Dea Theodore,16,Aye
38065,3127,265,197,Steve DeBry,17,Nay
38065,3127,265,389,Laurie Stringham,17,Nay
38065,3127,265,202,Richard Snelgrove,16,Aye
38065,3127,265,203,Jim Bradley,17,Nay
38065,3127,265,189,Arlyn Bradshaw,17,Nay
38065,3127,265,391,Dave Alvord,16,Aye
38065,3127,265,193,Aimee Winder Newton,17,Nay
38065,3127,265,195,Ann Granato,17,Nay
38065,3127,265,393,Dea Theodore,16,Aye
38070,3127,265,197,Steve DeBry,16,Aye
38070,3127,265,389,Laurie Stringham,16,Aye
38070,3127,265,202,Richard Snelgrove,16,Aye
38070,3127,265,203,Jim Bradley,16,Aye
38070,3127,265,189,Arlyn Bradshaw,16,Aye
38070,3127,265,391,Dave Alvord,16,Aye
38070,3127,265,193,Aimee Winder Newton,16,Aye
38070,3127,265,195,Ann Granato,16,Aye
38070,3127,265,393,Dea Theodore,16,Aye
38071,3127,265,197,Steve DeBry,16,Aye
38071,3127,265,389,Laurie Stringham,16,Aye
38071,3127,265,202,Richard Snelgrove,16,Aye
38071,3127,265,203,Jim Bradley,16,Aye
38071,3127,265,189,Arlyn Bradshaw,16,Aye
38071,3127,265,391,Dave Alvord,17,Nay
38071,3127,265,193,Aimee Winder Newton,17,Nay
38071,3127,265,195,Ann Granato,16,Aye
