EventItemId,EventItemEventId,_body_id,EventItemTitle,EventItemMatterId,EventItemMatterName,EventItemMatterType,EventItemMover,EventItemSeconder,EventItemPassedFlagName,EventItemActionName,EventItemAgendaSequence,EventItemMinutesSequence
36181,3094,265,"Upon request and with three working days’ notice, Salt Lake County will provide free auxiliary aids and services to qualified individuals (including sign language interpreters, alternative formats, etc.). For assistance, please call (385) 468-7500 – TTY 711. 

Members of the Council may participate electronically. Meetings may be closed for reasons allowed by statute. Motions relating to any of the items listed below, including final action, may be taken.

Consistent with provisions of the Utah Open and Public Meetings Act, Utah Code Ann. § 52-4-207(4), the Salt Lake County Council Chair has issued written determinations supporting Salt Lake County Council’s decision to convene electronic meetings of the Council without a physical anchor location. Due to the health and safety risks related to the ongoing COVID-19 pandemic and considering public health orders limiting in-person gatherings, members of the public should not attend Council meetings in person. However, members of the public are invited and encouraged to view and participate in the Council’s electronic meetings as described below.",,,,,,,,1,
36198,3094,265,"This meeting will be conducted electronically via Webex Events. Agendas, audio live-streams and recordings, and meeting minutes can be accessed at slco.legistar.com. The Council will also broadcast live-streams of its meetings on Facebook Live, which may be accessed at http://www.facebook.com/slcocouncil/, and through Cisco Webex, which may be accessed at: 

https://slco.webex.com/slco/onstage/g.php?MTID=ee2c22f0e72d942f1314ae86a6e46fb45

Individuals wishing to comment must access the meeting using the Webex link above by the beginning of the “Citizen Public Input” portion of the meeting. Comments will be limited to three minutes per individual unless otherwise approved by the Council. If an individual is unable to attend the meeting via Webex, they may email their comments to councilwebex@slco.org by 10:00 AM the day of the meeting to have those comments distributed to the Council and read into the record at the appropriate time.  

The first time you join via the link may take longer to get through the set-up steps. Please plan accordingly. Mobile phones must choose “Call-in” as the audio connection to support the Webex Event format. 

Please include ""Resident"" ahead of your first name when you join the meeting or you will not be identified as wanting to give comment. 


This website has helpful tips for using Webex for Events: https://help.webex.com/ld-7srxjs-CiscoWebexEvents/Webex-Events",,,,,,,,2,
36199,3094,265,CALL TO ORDER,,,,,,,,3,1
36200,3094,265,CITIZEN PUBLIC INPUT ,,,,,,,,5,3
36201,3094,265,DISCUSSION ITEMS:,,,,,,,,6,4
36202,3094,265,"A Resolution of the Salt Lake County Council Approving the Recommendation of the Salt Lake County Council of Governments and Authorizing the Execution of an Interlocal Cooperation Agreement Providing for the Transfer of $54,572.00 of County Corridor Preservation
Funds to Herriman City to be Used by the City to Acquire Certain Property for Transportation Purposes",6197,,Consent Item,,,,,25,32
36203,3094,265,"A Resolution of the Salt Lake County Council Approving the Recommendation of the Salt Lake County Council of Governments and Authorizing the Execution of an Interlocal Cooperation Agreement Providing for the Transfer of $11,405.00 of County Corridor Preservation Funds to Herriman City to be Used by the City to Acquire Certain Property for Transportation Purposes",6198,,Consent Item,,,,,26,33
36204,3094,265,"An Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Title 8 of The Salt Lake County Code of Ordinances, 2001, Relating to the Authority and Procedures of the Animal Services Division; Making Changes to Reflect Current Practices and Desired Changes to Standards, Rules, and Practices of the Division; Including Added Definitions; Including Regulation of Commercial Dog Walkers; Including New Enforcement, Penalties, and Appeals Process",6205,,Discussion Items,,,,,20,25
36205,3094,265,Chief Clint Mecham receives the 2021 Member of the Year Award from the Utah Emergency Management Association,6206,,Discussion Items,,,,,19,24
36206,3094,265,USDA APHIS Contract (U.S. Department of Agriculture - Animal and Plant Health Inspection Service.),6207,,Discussion Items,Richard Snelgrove,Aimee Winder Newton,Pass,approved and forwarded,21,26
