EventId,EventDate,EventBodyId,EventBodyName,EventMinutesStatusName,EventMinutesFile,EventAgendaFile,EventInSiteURL,_module
3094,2021-04-13T00:00:00,265,Council Work Session,Final,https://slco.legistar1.com/slco/meetings/2021/4/3094_M_Council_Work_Session_21-04-13_Meeting_Minutes.pdf,https://slco.legistar1.com/slco/meetings/2021/4/3094_A_Council_Work_Session_21-04-13_Meeting_Agenda.pdf,https://slco.legistar.com/MeetingDetail.aspx?LEGID=3094&GID=715&G=3988E8B8-365D-4340-9C62-605B757420CF,legislative
3095,2021-04-20T00:00:00,265,Council Work Session,Final,https://slco.legistar1.com/slco/meetings/2021/4/3095_M_Council_Work_Session_21-04-20_Meeting_Minutes.pdf,https://slco.legistar1.com/slco/meetings/2021/4/3095_A_Council_Work_Session_21-04-20_Meeting_Agenda.pdf,https://slco.legistar.com/MeetingDetail.aspx?LEGID=3095&GID=715&G=3988E8B8-365D-4340-9C62-605B757420CF,legislative
3096,2021-04-27T00:00:00,265,Council Work Session,Final,https://slco.legistar1.com/slco/meetings/2021/4/3096_M_Council_Work_Session_21-04-27_Meeting_Minutes.pdf,https://slco.legistar1.com/slco/meetings/2021/4/3096_A_Council_Work_Session_21-04-27_Meeting_Agenda.pdf,https://slco.legistar.com/MeetingDetail.aspx?LEGID=3096&GID=715&G=3988E8B8-365D-4340-9C62-605B757420CF,legislative
3106,2021-05-04T00:00:00,265,Council Work Session,Final,https://slco.legistar1.com/slco/meetings/2021/5/3106_M_Council_Work_Session_21-05-04_Meeting_Minutes.pdf,https://slco.legistar1.com/slco/meetings/2021/5/3106_A_Council_Work_Session_21-05-04_Meeting_Agenda.pdf,https://slco.legistar.com/MeetingDetail.aspx?LEGID=3106&GID=715&G=3988E8B8-365D-4340-9C62-605B757420CF,legislative
3111,2021-05-11T00:00:00,265,Council Work Session,Final,https://slco.legistar1.com/slco/meetings/2021/5/3111_M_Council_Work_Session_21-05-11_Meeting_Minutes.pdf,https://slco.legistar1.com/slco/meetings/2021/5/3111_A_Council_Work_Session_21-05-11_Meeting_Agenda.pdf,https://slco.legistar.com/MeetingDetail.aspx?LEGID=3111&GID=715&G=3988E8B8-365D-4340-9C62-605B757420CF,legislative
3112,2021-05-18T00:00:00,265,Council Work Session,Final,https://slco.legistar1.com/slco/meetings/2021/5/3112_M_Council_Work_Session_21-05-18_Meeting_Minutes.pdf,https://slco.legistar1.com/slco/meetings/2021/5/3112_A_Council_Work_Session_21-05-18_Meeting_Agenda.pdf,https://slco.legistar.com/MeetingDetail.aspx?LEGID=3112&GID=715&G=3988E8B8-365D-4340-9C62-605B757420CF,legislative
3113,2021-05-25T00:00:00,265,Council Work Session,Final,https://slco.legistar1.com/slco/meetings/2021/5/3113_M_Council_Work_Session_21-05-25_Meeting_Minutes.pdf,https://slco.legistar1.com/slco/meetings/2021/5/3113_A_Council_Work_Session_21-05-25_Meeting_Agenda.pdf,https://slco.legistar.com/MeetingDetail.aspx?LEGID=3113&GID=715&G=3988E8B8-365D-4340-9C62-605B757420CF,legislative
3119,2021-06-08T00:00:00,265,Council Work Session,Final,https://slco.legistar1.com/slco/meetings/2021/6/3119_M_Council_Work_Session_21-06-08_Meeting_Minutes.pdf,https://slco.legistar1.com/slco/meetings/2021/6/3119_A_Council_Work_Session_21-06-08_Meeting_Agenda.pdf,https://slco.legistar.com/MeetingDetail.aspx?LEGID=3119&GID=715&G=3988E8B8-365D-4340-9C62-605B757420CF,legislative
3126,2021-06-15T00:00:00,265,Council Work Session,Final,https://slco.legistar1.com/slco/meetings/2021/6/3126_M_Council_Work_Session_21-06-15_Meeting_Minutes.pdf,https://slco.legistar1.com/slco/meetings/2021/6/3126_A_Council_Work_Session_21-06-15_Meeting_Agenda.pdf,https://slco.legistar.com/MeetingDetail.aspx?LEGID=3126&GID=715&G=3988E8B8-365D-4340-9C62-605B757420CF,legislative
3127,2021-06-22T00:00:00,265,Council Work Session,Final,https://slco.legistar1.com/slco/meetings/2021/6/3127_M_Council_Work_Session_21-06-22_Meeting_Minutes.pdf,https://slco.legistar1.com/slco/meetings/2021/6/3127_A_Council_Work_Session_21-06-22_Meeting_Agenda.pdf,https://slco.legistar.com/MeetingDetail.aspx?LEGID=3127&GID=715&G=3988E8B8-365D-4340-9C62-605B757420CF,legislative
3128,2021-06-29T00:00:00,265,Council Work Session,Final,https://slco.legistar1.com/slco/meetings/2021/6/3128_M_Council_Work_Session_21-06-29_Meeting_Minutes.pdf,https://slco.legistar1.com/slco/meetings/2021/6/3128_A_Council_Work_Session_21-06-29_Meeting_Agenda.pdf,https://slco.legistar.com/MeetingDetail.aspx?LEGID=3128&GID=715&G=3988E8B8-365D-4340-9C62-605B757420CF,legislative
3134,2021-07-13T00:00:00,265,Council Work Session,Final,https://slco.legistar1.com/slco/meetings/2021/7/3134_M_Council_Work_Session_21-07-13_Meeting_Minutes.pdf,https://slco.legistar1.com/slco/meetings/2021/7/3134_A_Council_Work_Session_21-07-13_Meeting_Agenda.pdf,https://slco.legistar.com/MeetingDetail.aspx?LEGID=3134&GID=715&G=3988E8B8-365D-4340-9C62-605B757420CF,legislative
3135,2021-07-20T00:00:00,265,Council Work Session,Final,https://slco.legistar1.com/slco/meetings/2021/7/3135_M_Council_Work_Session_21-07-20_Meeting_Minutes.pdf,https://slco.legistar1.com/slco/meetings/2021/7/3135_A_Council_Work_Session_21-07-20_Meeting_Agenda.pdf,https://slco.legistar.com/MeetingDetail.aspx?LEGID=3135&GID=715&G=3988E8B8-365D-4340-9C62-605B757420CF,legislative
