candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review,geometry,verified
Joe Hatch,Council,,,2008-01-29,,2008-01,Wells Fargo Bank,Wells Fargo Bank,Bank charges,36.00,False,False,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,1,medium,vision/legacy_colAB,0,"p4:x70,y358,w700,h44@100dpi",1
Joe Hatch,Council,,,2008-01-29,,2007-02-27,Wilson for Mayor,Wilson for Mayor,Campaign contribution,500.00,False,False,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,2,medium,vision/legacy_colAB,0,"p4:x70,y406,w700,h44@100dpi",1
Joe Hatch,Council,,,2008-01-29,,2007-04-02,H. Clinton for President,H. Clinton for President,Campaign contribution,250.00,False,False,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,3,medium,vision/legacy_colAB,0,"p4:x70,y454,w700,h44@100dpi",1
Joe Hatch,Council,,,2008-01-29,,2007-04-03,VZ Wireless,VZ Wireless,Cell phone,204.75,False,False,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,4,medium,vision/legacy_colAB,0,"p4:x70,y502,w700,h44@100dpi",1
Joe Hatch,Council,,,2008-01-29,,2007-05-11,Kelli Ann Booth,Kelli Ann Booth,Salt Lake County Demo convention pamphlet,35.00,False,False,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,5,medium,vision/legacy_colAB,0,"p4:x70,y550,w700,h44@100dpi",1
Joe Hatch,Council,,,2008-01-29,,2007-05-29,Kerri Nakamura,Kerri Nakamura,Campaign planning dinner,70.00,False,False,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,6,medium,vision/legacy_colAB,0,"p4:x70,y598,w700,h44@100dpi",1
Joe Hatch,Council,,,2008-01-29,,2007-06-22,Garrott for Council,Garrott for Council,Campaign contribution,100.00,False,False,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,7,medium,vision/legacy_colAB,0,"p4:x70,y646,w700,h44@100dpi",1
Joe Hatch,Council,,,2008-01-29,,2007-11-15,Garrott for Council,Garrott for Council,Campaign contribution,300.00,False,False,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,8,medium,vision/legacy_colAB,0,"p4:x70,y694,w700,h44@100dpi",1
Joe Hatch,Council,,,2008-01-29,,2007-11-09,Target Group,Target Group,Campaign letter,200.00,False,False,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,9,medium,vision/legacy_colAB,0,"p4:x70,y742,w700,h44@100dpi",1
Joe Hatch,Council,,,2008-01-29,,2007-11-08,Karen Mayne for Senate,Karen Mayne for Senate,Campaign contribution,250.00,False,False,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,10,medium,vision/legacy_colAB,0,"p4:x70,y790,w700,h44@100dpi",1
Joe Hatch,Council,,,2008-01-29,,2007-11-14,Salt Lake County Demo Party,Salt Lake County Demo Party,Campaign cont.,50.00,False,False,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,11,medium,vision/legacy_colAB,0,"p4:x70,y838,w700,h44@100dpi",1
