n,candidate,office,source_filing,document_id,side,n_rows,itemized_sum,stated_total,reconciles,recon_delta,withheld_reason,pages_read,escalations_used,notes
1,Joe Hatch,Council,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,contributions,2,1500.00,1500.00,True,+0.00,,"1,3",none,"Typed/handwritten hybrid form, page 3. Exact reconciliation."
1,Joe Hatch,Council,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,expenditures,14,2745.75,2745.75,True,+0.00,,"1,4",none,Exact reconciliation.
2,Jim Bradley,Council,raw/clerk_legacy/bradley_january312005.pdf,f12f3ba3,contributions,4,1520.00,1520.00,True,+0.00,,"1,3",none,Exact reconciliation.
2,Jim Bradley,Council,raw/clerk_legacy/bradley_january312005.pdf,f12f3ba3,expenditures,11,1213.18,1212.38,False,+0.80,,"1,4",none,Computed sum is $0.80 over the printed total; most likely a single-cent-digit misread on one row (candidates: 'U of U Credit Union $20.80' or 'KeyBank $95.39') not resolved within this pass. Rows kept verbatim as read; recon_delta recorded rather than adjusted.
3,James M. Winder,Sheriff,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,contributions,0,,33464.04,,,"Dense 33-row typed scan (no PDF text layer). Hand-transcribed at 100dpi; own row sum ($21,436.28) is ~36% short of the printed page total ($33,464.04) — a shortfall too large to trust as a digit slip and not re-escalated within this pass's time budget. WITHHELD rather than published wrong. Printed total independently legible and confirmed.","1,3",none,
3,James M. Winder,Sheriff,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,expenditures,17,4296.47,4296.47,True,+0.00,,"1,4",none,"Exact reconciliation. Several rows have no legible date (printed blank/illegible on the source column) — kept blank, needs_review=1."
4,David Wilde,Council,raw/clerk_legacy/08_dwilde_jan31.pdf,3abae122,contributions,1,7.34,7.34,True,+0.00,,"1,3",none,"Single row; date printed as year-only ('2007', interest credit) — kept verbatim, needs_review flagged for the partial date."
4,David Wilde,Council,raw/clerk_legacy/08_dwilde_jan31.pdf,3abae122,expenditures,0,0.00,-0.00,True,+0.00,,"1,4",none,Schedule B page is genuinely blank (zero itemized rows) — matches the summary page's printed '-0.00'. No rows to record.
5,Ben McAdams,Mayor,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,contributions,73,51374.00,51374.00,True,+0.00,,"1,2,3,4,5,6,7,8",250dpi rotation,"3-page landscape attachment (73 rows, mailing addresses REDACTED by county except the 3 rows on the final page). Sums to the exact cent across 73 rows. Pages out of order in the source PDF (Summary Page is physically last) — noted, not corrected."
5,Ben McAdams,Mayor,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,expenditures,29,11942.48,11942.50,False,-0.02,,"1,2,3,4,5,6,7,8",250dpi rotation,"29-row single-page typed ledger. Computed sum ($11,942.48) is 2 cents off the printed total ($11,942.50) — kept verbatim per cardinal rule 2 (filer/transcription arithmetic not reconciled), recon_delta recorded rather than adjusted."
6,Jim Bradley,Council,raw/clerk_legacy/Bradley_J_12_April_Interim_Amend_CntyCncl_AtLrgC_R.pdf,e2a072a4,contributions,2,3000.00,3000.00,True,+0.00,,"1,3",none,Address column redacted by county. Exact reconciliation.
6,Jim Bradley,Council,raw/clerk_legacy/Bradley_J_12_April_Interim_Amend_CntyCncl_AtLrgC_R.pdf,e2a072a4,expenditures,1,259.74,259.74,True,+0.00,,"1,4",none,Exact reconciliation.
7,Mary Bishop,Recorder,raw/clerk_legacy/BishopM_2014_April.pdf,9fa1d4aa,contributions,31,4160.00,4160.00,True,+0.00,,"1,2,4",250dpi rotation,"31-row landscape attachment; 100dpi first pass had a mis-column error (Mary Bishop's own $1,500 row misread as $100, one row dropped) — corrected on re-render at 250dpi/proper rotation. Exact reconciliation after correction."
7,Mary Bishop,Recorder,raw/clerk_legacy/BishopM_2014_April.pdf,9fa1d4aa,expenditures,8,2817.43,2817.43,True,+0.00,,"1,2,6",250dpi rotation,"Same mis-column risk found on first pass (Service Press 12/11 row misread as $79.93 instead of $431.67, which actually belongs to GoDaddy) — corrected at 250dpi. Exact reconciliation after correction. Note: 12/11/2014 date is outside the 2014 filing period as printed; kept verbatim, needs_review=1 on that row."
8,Lee Gardner,Assessor,raw/clerk_legacy/lgardner_june202006amend.pdf,217aa8a4,contributions,6,5346.08,5346.08,True,+0.00,,"1,3",none,Exact reconciliation.
8,Lee Gardner,Assessor,raw/clerk_legacy/lgardner_june202006amend.pdf,217aa8a4,expenditures,5,591.47,591.47,True,+0.00,,"1,4",none,Exact reconciliation.
9,Joe Hatch,Council,raw/clerk_legacy/jhatch_jan3106.pdf,69c420fb,contributions,1,500.00,500.00,True,+0.00,,"1,3",none,Exact reconciliation.
9,Joe Hatch,Council,raw/clerk_legacy/jhatch_jan3106.pdf,69c420fb,expenditures,8,566.24,566.24,True,+0.00,,"1,4",none,Exact reconciliation.
