application_id,app_key,body_id,name,rep_title
1,Council|s|meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting-2.md|10,1,,"ON A MOTION BY COUNCIL MEMBER HYER AND SECONDED BY COUNCIL MEMBER STEPHENS, ORDINANCE WASP ASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2020-2 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 15-25-4 to increase building roofline options and establish building lengths for buildings in the 12th Street Overlay Zone; and by providing that this ordinance shall become effective immediately upon posting after fmal passage.""]"
2,Council|s|meeting_minutes/minutes/2020/2020-02-17/2020-02-18_city-council-meeting-2.md|4,1,,"MOVED TO TABLE CONSIDERATION OF PETITION 2019-19 AMENDING THE LYNN COMMUNITY PLAN AND REZONING PROPERTY GENERALLY LOCATED AT 140-152 WEST 2No STREET FROM R-1-5 TO R-5 OR R-3 UNTIL THE CITY COUNCIL BUSINESS MEETING TO BE HELD AT 6:00 P.M. ON FEBRUARY 25, 2020. MOTION WAS SECONDED BY COUNCIL MEMBER WHITE,"
3,Council|s|meeting_minutes/minutes/2020/2020-02-24/2020-02-25_city-council-meeting-2.md|7,1,,MOVED TO DENY PETITION 2019-19 REZONING PROPERTY GENERALLY LOCATED AT 140-152 WEST 2ND STREETFROMR-1-6 (SINGLE-FAMILY RESIDENTIAL) TO EITHERR-5 ORR- 3 (MULTI-FAMILY RESIDENTIAL) ZONE. MOTION WAS SECONDED BY COUNCIL MEMBER NADOLSKI; THE FOLLOWING ROLL CALL VOTE WAS TAKEN:
4,Council|s|meeting_minutes/minutes/2020/2020-05-11/2020-05-12_city-council-meeting.md|7,1,,"ON A MOTION BY COUNCIL MEMBER STEPHENS AND SECONDED BY COUNCIL MEMBER LOPEZ, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2020-18 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 15-22-1 to increase the maximum building height in the DDR zone; and by providing that this ordinance shall become effective immediately upon posting after final passage.""]"
5,MBA|s|pmn_backfill/minutes/2020-05-12_municipal-building-authority-special-meeting.md|1,2,,"MOVED TO ACCEPT FOR REVIEW AND TO SET A PUBLIC HEARING ON THE PROPOSED RESOLUTION TO BE HELD IN THE CITY COUNCIL CHAMBERS ON JUNE 9, 2020, DURING THE CITY COUNCIL MEETING TO BE HELD AT 6:00 P.M. AND THAT THE CITY RECORDER BE DIRECTED TO PROVIDE NOTICE AS REQUIRED BY LAW. MOTION WAS SECONDED BY TRUSTEE WHITE, ALL VOTING AYE. There being no further business to come before the Council, TRUSTEE NADOLSKI"
6,MBA|s|pmn_backfill/minutes/2020-05-12_municipal-building-authority-special-meeting.md|2,2,,"MOVED THE MEETING ADJOURN AT 8:01 P.M. MOTION WAS SECONDED BY TRUSTEE HYER,"
7,Council|ogden hinckley airp011 master plan,1,Ogden-Hinckley Airp011 Master Plan,"MOVED THE RESOLUTION BE ADOPTED, AND THE CHAIR BE AUTHORIZED TO SIGN THE SAME. MOTION WAS SECONDED BY COUNCIL MEMBER STEPHENS, WITH THE FOLLOWING ROLL CALL VOTE: [ENTITLED: ""A resolution of the Ogden City Council adopting the Ogden-Hinckley Airp011 Master Plan.""]"
8,MBA|s|pmn_backfill/minutes/2020-06-09_municipal-building-authority-special-meeting.md|1,2,,"MOVED THE PUBLIC HEARING BE CLOSED. THE MOTION WAS SECONDED BY TRUSTEE LOPEZ,"
9,MBA|s|pmn_backfill/minutes/2020-06-09_municipal-building-authority-special-meeting.md|3,2,,"MOVED THE MEETING ADJOURN AT 6:28 P.M. MOTION WAS SECONDED BY TRUSTEE WHITE,"
10,Council|s|meeting_minutes/minutes/2020/2020-06-15/2020-06-16_city-council-meeting-2.md|6,1,,"MOVED THE ANNEXATION PETITION FOR LAND GENERALLY LOCATED AT 4753 GLASMANN WAY BE REFERRED TO THE CITY RECORDER'S OFFICE FOR CERTIFICATION. MOTION SECONDED BY COUNCILMEMBERNADOLSKl,ALL VOTING A YE. Public Comments Chair Choberka summarized the written public comments that were provided between June 8 and 15, 2020; the comments were included in the packet for the meeting atthe following link: https://www.ogdencity.com/DocumentCenterNiew/12823/06-16- 20--Written-Public-Comments. The comments related to the proposal to increase lease rates at the Ogden Airport. Council member Hyer stated he has ha"
11,Council|s|meeting_minutes/minutes/2020/2020-06-22/2020-06-23_city-council-meeting-2.md|7,1,,"ON A MOTION BY COUNCIL MEMBER WHITE AND SECONDED BY VICE CHAIR BLAIR, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2020-26 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City, Utah, amending the Ogden City General Plan by amending the Airport portion of the transportation element; and providing that this ordinance shall become effective immediately upon posting after final passage.""]"
12,Council|s|meeting_minutes/minutes/2020/2020-06-22/2020-06-23_city-council-meeting-2.md|9,1,,"ON A MOTION BY COUNCIL MEMBER HYER AND SECONDED BY COUNCIL MEMBER STEPHENS, ORDINANCE WASP ASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2020-25 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 15-21-2 to amend the uses allowed in the Business Exchange Historical (BEH) Zone including onsite sales, events, drinking establishments, and cabarets; by amending Subsection 15-23-5 .J and 15-23-5 .K to amend definitions relating to the Business Historical Zone (BEH); amending Section 15-23-5 by adopting anew Subsection R to define accessory sales of products in the BEH Zone; and by providing that this ordinance shall become effective immediately upon posting after final passage.""]"
13,Council|s|meeting_minutes/minutes/2020/2020-07-06/2020-07-07_city-council-meeting-2.md|9,1,,"ON A MOTION BY COUNCIL MEMBER HYER AND SECONDED BY COUNCIL MEMBER LOPEZ, SUBSTITUTE ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2020-23 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City, Utah amending the Ogden Municipal Code by amending Section 8-5-2 to revise lease rates and definitions at the Airport; and by providing that this ordinance shall become effective immediately upon posting after final passage.""]"
14,Council|s|meeting_minutes/minutes/2020/2020-07-06/2020-07-07_city-council-meeting-2.md|14,1,,"MOVED TO RECONSIDER THE ADOPTION OF ORDINANCE 2020-26 AMENDING THE OGDEN CITY GENERAL PLAN BY AMENDING SECTION 4 ENTITLED 'OGDEN-HINCKLEY AIRPORT' OF THE TRANSPORTATION ELEMENT. MOTION WAS SECONDED BY COUNCIL MEMBER HYER,"
15,Council|s|meeting_minutes/minutes/2020/2020-07-06/2020-07-07_city-council-meeting-2.md|15,1,,"MOVED TO EXTEND CONSIDERATION OF ORDINANCE 2020-26 AMENDING THE OGDEN CITY GENERAL PLAN BY AMENDING SECTION 4 ENTITLED 'OGDEN-HINCKLEY AIRPORT' OF THE TRANSPORTATION ELEMENT. MOTION WAS SECONDED BY COUNCIL MEMBER HYER,"
16,Council|s|meeting_minutes/minutes/2020/2020-08-10/2020-08-11_city-council-special-meeting.md|3,1,,"ON A MOTION BY COUNCIL MEMBER HYER AND SECONDED BY COUNCIL MEMBER WHITE, AMENDED ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2020-30 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City, Utah amending the Ogden City General Plan by approving and adopting the Southeast Ogden Community Plan; and providing that this ordinance shall become effective immediately upon posting after final passage.""]"
17,Council|s|meeting_minutes/minutes/2020/2020-08-17/2020-08-18_city-council-meeting.md|7,1,,"ON A MOTION BY COUNCIL MEMBER WHITE AND SECONDED BY VICE CHAIR BLAIR, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2020-37 AND ORDERED POSTED AS REQUIRED BYLAW [ENTITLED: ""An ordinance of Ogden City, Utah, approving an amended Development Agreement for land generally located at 100 West 2nd Street to recognize Parkridge, Inc. as the Developer; and providing that this ordinance shall become effective immediately upon posting after final passage.""]"
18,Council|s|meeting_minutes/minutes/2020/2020-08-17/2020-08-18_city-council-meeting.md|8,1,,"ON A MOTION BY COUNCIL MEMBER HYER AND SECONDED BY COUNCIL MEMBER STEPHENS, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2020-26 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City, Utah, amending the Ogden City General Plan by amending the airpmtportion of the Transportation Element; and providing that this ordinance shall become effective immediately upon posting after final passage.""]"
19,Council|downtown ogden master plan,1,Downtown Ogden Master Plan,"MOVED THE RESOLUTION BE ADOPTED, AND THE CHAIR BE AUTHORIZED TO SIGN THE SAME. MOTION WAS SECONDED BY COUNCIL MEMBER NADOLSKI, WITH THE FOLLOWING ROLL CALL VOTE: [ENTITLED: ""A resolution of the Ogden City Council adopting the 2020 Downtown Ogden Master Plan.""]"
20,Council|s|meeting_minutes/minutes/2020/2020-10-05/2020-10-06_city-council-meeting.md|7,1,,"MOVED TO FURTHER AMEND ORDINANCE 2020-47 BY ADDING ""MULTIPLE-FAMILY DWELLING WITH COMMERCIAL ON GROUND FLOOR"" AS A PERMITTED USE IN THE C-2/CP-2 AND C-3/CP-3 ZONES. MOTION WAS SECONDED BY COUNCIL MEMBER HYER, WITH THE FOLLOWING ROLL CALL VOTE:"
21,Council|s|meeting_minutes/minutes/2020/2020-10-05/2020-10-06_city-council-meeting.md|10,1,,"ON A MOTION BY COUNCIL MEMBER HYER AND SECONDED BY VICE CHAIR BLAIR, AMENDED ORDINANCE WASP ASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2020-48 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Chapter 10 of Title 15 to revise provisions regarding group dwellings; and by providing that this ordinance shall become effective immediately upon posting after fmal passage.""]"
22,Council|s|meeting_minutes/minutes/2020/2020-10-19/2020-10-20_city-council-meeting.md|8,1,,"ON A MOTION BY COUNCIL MEMBER HYER AND SECONDED BY COUNCIL MEMBER WHITE, ORDINANCE WASP ASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2020-54 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Chapter 14 of Title 3 to revise provisions relating to the Marshall N. White Center Advisory Committee; and by providing that this ordinance shall become effective immediately upon posting after final passage.""]"
23,Council|s|meeting_minutes/minutes/2020/2020-11-09/2020-11-10_city-council-meeting.md|5,1,,"ON A MOTION BY COUNCIL MEMBER HYER AND SECONDED BY COUNCIL MEMBER WHITE, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2020-55 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 15-2-13; amending Subsections 15-4-5.A, 15-4-5.E, 15-12-2.B, 15-12-8.G, 15-12-9.C, and 15-13-16.A to incorporate low impact development standards; and by providing that this ordinance shall become effective immediately upon posting after final passage.""]"
24,Council|s|meeting_minutes/minutes/2020/2020-11-30/2020-12-01_city-council-meeting-2.md|1,1,,"ON A MOTION BY COUNCIL MEMBER HYER AND SECONDED BY COUNCIL MEMBER STEPHENS, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2020-61 AND ORDERED POSTED AS REQUIRED BYLAW [ENTITLED: ""An ordinance of Ogden City, Utah, amending Section 3-3 0-4 of the Ogden Municipal Code to extend the sunset provision for the Citizen Advisory Committee to November 30, 2025; and by providing that this ordinance shall become effective immediately upon posting after final passage.""]"
25,Council|s|meeting_minutes/minutes/2021/2021-01-18/2021-01-19_city-council-meeting-2.md|10,1,,"ON A MOTION BY COUNCIL MEMBER STEPHENS AND SECONDED BY COUNCIL MEMBER CHOBERKA, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2021-5 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Chapter 1B of Title 4 to revise provisions regarding the Capital Improvement Plan; amending Subsection H of Section 4-3A-7 to amend provisions regarding proceeds from DDOU; and by providing that this ordinance shall become effective immediately upon posting after fmal passage.""]"
26,RDA|s|meeting_minutes/minutes/2021/2021-03-01/2021-03-02_city-council-joint-work-session.md|1,4,,"MOVED TO APPROVE THE JOINT PROCLAMATION. MOTION WAS SECONDED BY COUNCIL MEMBER CHOBERKA,"
27,RDA|s|meeting_minutes/minutes/2021/2021-03-01/2021-03-02_city-council-joint-work-session.md|2,4,,"MOVED A PUBLIC HEARING ON THE PROPOSED ORDINANCE BE HELD IN THE CITY COUNCIL CHAMBERS ON MARCH 16, 2021, DURING THE CITY COUNCIL MEETING TO BE HELDAT6:00P.M.ANDTHATTHECITYRECORDERBEDIRECTEDTOPROVIDENOTICEASREQUIREDBY LAW. MOTION WAS SECONDED BY COUNCIL MEMBER LOPEZ,"
28,RDA|s|meeting_minutes/minutes/2021/2021-03-01/2021-03-02_city-council-joint-work-session.md|3,4,,"MOVED A PUBLIC HEARING ON THE PROPOSED ORDINANCE BE HELD IN THE CITY COUNCIL CHAMBERS ON MARCH 16, 2021, DURING THE CITY COUNCIL MEETING TO BE HELDAT6:00P.M.ANDTHATTHECITYRECORDERBEDIRECTEDTOPROVIDENOTICEASREQUIREDBY LAW. MOTION WAS SECONDED BY COUNCIL MEMBER LOPEZ,"
29,RDA|s|meeting_minutes/minutes/2021/2021-03-01/2021-03-02_city-council-joint-work-session.md|4,4,,"MOVED A PUBLIC HEARING ON THE PROPOSED ORDINANCE BE HELD IN THE CITY COUNCIL CHAMBERS ON MARCH 16, 2021, DURING THE CITY COUNCIL MEETING TO BE HELDAT6:00P.M.ANDTHATTHECITYRECORDERBEDIRECTEDTOPROVIDENOTICEASREQUIREDBY LAW. MOTION WAS SECONDED BY COUNCIL MEMBER LOPEZ,"
30,RDA|s|meeting_minutes/minutes/2021/2021-03-01/2021-03-02_city-council-joint-work-session.md|5,4,,"MOVED THE MEETING ADJOURN AT 6:45P.M. MOTION WAS SECONDED BY COUNCIL MEMBER NADOLSKI,"
31,Council|s|meeting_minutes/minutes/2021/2021-04-05/2021-04-06_city-council-meeting-2.md|6,1,,"ON A MOTION BY COUNCIL MEMBER HYER AND SECONDED BY COUNCIL MEMBER CHOBERKA, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2021-10 AND ORDERED POSTED AS REQUIRED BYLAW [ENTITLED: ""An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Subsection 4-6-l.B.18, 4-1-6.B.19, and 4-6-l.B.20 to address changes to utility fees; amending Section 9-1-1, 9-1-4, and Section 9-1- 11 and Subsections 9-1-6.B, 9-1-6.G to revise water utility rate and fee provisions; and by providing that this ordinance shall become effective immediately upon posting after fmal passage.""]"
32,RDA|s|meeting_minutes/minutes/2021/2021-04-12/2021-04-13_city-council-joint-work-session.md|1,4,,"MOVED A PUBLIC HEARING ON THE PROPOSED ORDINANCE BE HELD IN THE CITY COUNCIL CHAMBERS ON APRIL 27,2021, DURING THE CITY COUNCIL MEETING TO BE HELD AT 6:00P.M. AND THAT THE CITY RECORDER BE DIRECTED TO PROVIDE NOTICE AS REQUIRED BYLAW. MOTION WAS SECONDED BY COUNCIL MEMBER CHOBERKA,"
33,RDA|s|meeting_minutes/minutes/2021/2021-04-12/2021-04-13_city-council-joint-work-session.md|2,4,,"MOVED A PUBLIC HEARING ON THE PROPOSED ORDINANCE BE HELD IN THE CITY COUNCIL CHAMBERS ON APRIL 27,2021, DURING THE CITY COUNCIL MEETING TO BE HELD AT6:00P.M.ANDTHATTHECITYRECORDERBEDIRECTEDTOPROVIDENOTICEASREQUIREDBYLAW. MOTION WAS SECONDED BY COUNCIL MEMBER CHOBERKA,"
