role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,1,2026-01-06,2026-05-19,20
2,1,4,2026-04-14,2026-05-12,2
3,2,3,2024-04-03,2026-06-03,81
4,3,3,2020-02-05,2020-03-04,15
5,4,1,2020-01-07,2026-05-19,539
6,4,2,2020-06-09,2025-06-10,6
7,4,4,2021-04-13,2025-11-18,53
8,5,1,2020-01-07,2026-05-19,516
9,5,2,2020-06-09,2020-06-09,1
10,5,4,2023-01-17,2025-11-18,54
11,6,1,2020-01-07,2023-12-19,381
12,6,4,2021-04-13,2023-11-28,16
13,7,3,2020-01-08,2023-08-02,483
14,8,3,2020-01-08,2024-11-06,534
15,9,1,2024-01-09,2026-05-19,166
16,9,2,2024-04-23,2025-06-10,5
17,9,3,2020-01-08,2023-12-06,429
18,9,4,2024-05-07,2026-05-12,36
19,10,1,2020-01-07,2022-01-11,199
20,10,2,2020-06-09,2020-06-09,1
21,10,4,2021-04-13,2021-04-13,1
22,11,1,2026-01-20,2026-05-19,17
23,11,4,2026-04-14,2026-05-12,2
24,12,3,2026-03-04,2026-06-03,11
25,13,3,2020-01-08,2020-03-04,22
26,14,3,2020-01-08,2026-06-03,598
27,15,3,2022-10-05,2026-06-03,253
28,16,3,2020-04-15,2022-09-07,241
29,17,3,2022-10-05,2025-12-03,218
30,18,1,2022-01-04,2026-05-19,357
31,18,2,2024-04-23,2025-06-10,5
32,18,4,2023-01-17,2026-05-12,55
33,19,1,2026-01-06,2026-05-19,20
34,19,4,2026-04-14,2026-05-12,2
35,20,1,2020-01-07,2023-12-19,374
36,20,2,2020-06-09,2020-06-09,1
37,20,4,2021-04-13,2023-11-28,18
38,21,3,2022-10-05,2026-06-03,254
39,22,1,2020-01-07,2025-12-16,524
40,22,2,2020-06-09,2025-06-10,6
41,22,4,2023-01-17,2025-11-18,54
42,23,3,2023-09-06,2026-06-03,105
43,24,3,2020-04-15,2021-12-15,217
44,25,1,2020-01-07,2026-05-19,567
45,25,2,2024-04-23,2025-06-10,5
46,25,4,2021-04-13,2026-05-12,57
47,26,3,2020-04-15,2025-08-06,561
48,27,3,2020-01-08,2026-06-03,520
49,28,3,2020-01-08,2020-03-04,24
50,29,1,2024-01-09,2026-05-19,168
51,29,2,2024-04-23,2025-06-10,3
52,29,4,2024-05-07,2026-05-12,35
53,30,3,2020-04-15,2021-03-03,128
54,31,3,2024-12-04,2026-06-03,70
