role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,3,2020-01-09,2022-12-08,502
2,2,3,2024-03-28,2026-06-11,163
3,3,3,2020-01-09,2021-12-09,297
4,4,3,2020-01-09,2025-12-04,883
5,5,1,2020-01-14,2025-12-22,1180
6,5,2,2022-10-11,2025-05-27,8
7,6,3,2021-10-14,2023-10-26,99
8,7,1,2026-01-06,2026-01-27,16
9,7,3,2024-01-11,2025-11-13,254
10,8,3,2020-06-11,2026-06-11,659
11,9,1,2024-01-09,2026-01-27,411
12,9,2,2024-04-09,2025-05-27,4
13,9,3,2021-07-08,2023-12-14,410
14,10,1,2026-01-06,2026-01-27,16
15,11,3,2020-01-09,2021-04-22,145
16,12,1,2020-01-14,2023-12-12,832
17,12,2,2022-10-11,2023-12-12,4
18,13,3,2024-02-08,2026-06-11,160
19,14,3,2026-01-08,2026-05-28,42
20,15,1,2022-06-14,2025-12-16,4
21,16,3,2020-01-09,2021-08-12,209
22,17,1,2024-01-09,2026-01-27,411
23,17,2,2024-04-09,2025-05-27,4
24,18,1,2020-01-14,2023-12-12,823
25,18,2,2022-10-11,2023-12-12,4
26,19,3,2024-01-11,2026-06-11,385
27,20,1,2020-01-14,2025-12-02,1200
28,20,2,2022-10-11,2025-05-27,8
29,21,1,2020-01-14,2025-12-22,1198
30,21,2,2022-10-11,2025-05-27,8
31,22,1,2026-01-06,2026-01-27,16
32,23,3,2020-01-09,2022-12-08,391
33,24,3,2020-01-09,2023-12-14,619
34,25,3,2022-03-24,2023-09-28,134
35,26,3,2026-01-22,2026-05-14,30
36,27,3,2020-02-06,2026-06-11,871
