stem,bytes,chars,status
council_94_agenda,11399,1276,extracted
pc_96_agenda,12775,0,image_only
council_97_agenda,7106,763,extracted
council_99_agenda,10801,1076,extracted
council_98_agenda,10152,974,extracted
council_100_agenda,11112,1077,extracted
council_101_agenda,9871,1026,extracted
council_103_agenda,12062,1220,extracted
council_105_agenda,6859,854,extracted
council_106_agenda,11755,1349,extracted
council_104_agenda,6650,672,extracted
council_108_agenda,11496,1469,extracted
council_109_agenda,7454,825,extracted
council_111_agenda,11483,1153,extracted
council_110_agenda,7660,765,extracted
council_112_agenda,10648,1221,extracted
council_113_agenda,8073,866,extracted
council_114_agenda,11680,1190,extracted
council_115_agenda,7049,709,extracted
council_116_agenda,11995,1636,extracted
council_119_agenda,7361,715,extracted
council_118_agenda,13832,1588,extracted
council_117_agenda,8354,781,extracted
pc_126_agenda,64877,2064,extracted
pc_127_agenda,55341,635,extracted
council_121_agenda,12050,1346,extracted
council_122_agenda,6325,641,extracted
council_124_agenda,12390,1257,extracted
pc_125_agenda,313059,689,extracted
council_128_agenda,6959,653,extracted
council_129_agenda,11754,1295,extracted
council_130_agenda,11621,1182,extracted
council_131_agenda,6409,690,extracted
council_133_agenda,11656,1224,extracted
council_134_agenda,7613,733,extracted
council_135_agenda,11607,1223,extracted
council_136_agenda,12212,1451,extracted
council_137_agenda,7627,755,extracted
council_138_agenda,11286,1369,extracted
council_139_agenda,7035,744,extracted
pc_140_agenda,209263,700,extracted
council_141_agenda,12266,1282,extracted
council_143_agenda,7403,810,extracted
council_142_agenda,12220,1193,extracted
pc_144_agenda,209453,824,extracted
council_146_agenda,7664,743,extracted
council_145_agenda,11827,1082,extracted
council_147_agenda,12067,1233,extracted
council_148_agenda,12032,1498,extracted
council_149_agenda,12333,1317,extracted
council_150_agenda,9903,970,extracted
council_151_agenda,11025,1143,extracted
council_152_agenda,9656,1024,extracted
council_153_agenda,25567,1234,extracted
council_154_agenda,7057,750,extracted
council_155_agenda,11157,1072,extracted
council_156_agenda,7071,745,extracted
council_157_agenda,11569,1351,extracted
council_158_agenda,7366,844,extracted
pc_159_agenda,209609,987,extracted
council_160_agenda,27050,1418,extracted
council_161_agenda,6657,672,extracted
council_162_agenda,27225,1507,extracted
council_163_agenda,7284,670,extracted
pc_164_agenda,222961,833,extracted
council_165_agenda,11902,1221,extracted
council_166_agenda,6707,678,extracted
council_167_agenda,11068,1161,extracted
council_168_agenda,11559,985,extracted
pc_169_agenda,224902,1000,extracted
council_170_agenda,27250,1380,extracted
council_171_agenda,11680,1081,extracted
council_172_agenda,12406,1326,extracted
council_173_agenda,8420,861,extracted
pc_174_agenda,222772,672,extracted
council_175_agenda,26985,1447,extracted
council_176_agenda,7441,786,extracted
council_177_agenda,26696,1491,extracted
council_178_agenda,7407,757,extracted
pc_179_agenda,6316,324,extracted
council_180_agenda,14532,1599,extracted
cra_182_agenda,5963,306,extracted
council_181_agenda,7358,759,extracted
council_183_agenda,26146,1223,extracted
council_184_agenda,26149,1223,extracted
council_185_agenda,7028,686,extracted
council_186_agenda,27111,1343,extracted
council_187_agenda,7840,849,extracted
pc_188_agenda,22296,520,extracted
council_189_agenda,10835,957,extracted
council_190_agenda,13222,1342,extracted
council_191_agenda,7802,768,extracted
council_192_agenda,11320,1236,extracted
council_193_agenda,25724,1399,extracted
