year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2009,municipal general,Council,3,Cottonwood Heights City Council District 3,COTTONWOOD HEIGHTS COUNCIL 3,1,3,plurality,1098,,NICOLE OMER,549,50.0,DON J. ANTCZAK,544,5,0.46,,,,False,False,,2009-11-03-municipal-general-sovc.xls
2009,municipal general,Council,4,Cottonwood Heights City Council District 4,COTTONWOOD HEIGHTS COUNCIL 4,1,3,plurality,887,,TEE W. TYLER,642,72.38,Write-in,187,455,51.3,,,,False,False,,2009-11-03-municipal-general-sovc.xls
2009,municipal general,Mayor,,Cottonwood Heights City Mayor,COTTONWOOD HEIGHTS MAYOR,1,2,plurality,3087,,"KELVYN H. CULLIMORE, JR",2852,92.39,Write-in,235,2617,84.77,,,,False,False,,2009-11-03-municipal-general-sovc.xls
2009,municipal primary,Council,3,Cottonwood Heights City Council District 3,COTTONWOOD HEIGHTS COUNCIL 3,1,3,plurality,744,,NICOLE OMER,304,40.86,DON J. ANTCZAK,268,36,4.84,,,,False,False,,2009-09-15-municipal-primary-sovc.xls
2011,municipal general,Council,1,Cottonwood Heights City Council District 1,Cottonwood Hts Council 1,1,3,plurality,1009,,MIKE SHELTON,541,53.62,JANET JANKE,460,81,8.03,4729,,,False,False,"district general recovered from the archive 2011 normalization (labelled ""Cottonwood Hts Council N"" — missed by a ""COTTONWOOD HEIGHTS"" filter)",2011-11-08-municipal-general-sovc.xlsx
2011,municipal general,Council,2,Cottonwood Heights City Council District 2,Cottonwood Hts Council 2,1,3,plurality,1003,,SCOTT BRACKEN,644,64.21,JAMES H. THUET,354,290,28.91,4855,,,False,False,"district general recovered from the archive 2011 normalization (labelled ""Cottonwood Hts Council N"" — missed by a ""COTTONWOOD HEIGHTS"" filter)",2011-11-08-municipal-general-sovc.xlsx
2013,municipal general,Council,3,Cottonwood Heights City Council District 3,COTTONWOOD HEIGHTS CITY CNCL 3,1,3,plurality,2039,,MIKE PETERSON,1223,59.98,NICOLE OMER,808,415,20.35,4871,,,False,False,,2013-11-05-municipal-general-sovc.xlsx
2013,municipal general,Council,4,Cottonwood Heights City Council District 4,COTTONWOOD HEIGHTS CITY CNCL 4,1,2,plurality,1797,,TEE W. TYLER,1640,91.26,Write-in,157,1483,82.53,4981,,,False,False,,2013-11-05-municipal-general-sovc.xlsx
2013,municipal general,Mayor,,Cottonwood Heights City Mayor,COTTONWOOD HEIGHTS CITY MAYOR,1,3,plurality,7554,,KELVYN H. CULLIMORE JR,4746,62.83,PEYTON H. ROBINSON,2752,1994,26.4,18640,,,False,False,,2013-11-05-municipal-general-sovc.xlsx
2013,municipal primary,Council,3,Cottonwood Heights City Council District 3,COTTONWOOD HEIGHTS CITY CNCL 3,1,3,plurality,1445,,MIKE PETERSON,758,52.46,NICOLE OMER,431,327,22.63,4923,,,False,False,,2013-08-13-municipal-primary-sovc.xlsx
2015,municipal general,Council,1,Cottonwood Heights City Council District 1,COTTONWOOD HEIGHTS CITY CNCL 1,1,2,plurality,1755,,MIKE SHELTON,1090,62.11,MARGARITA SATINI,665,425,24.22,4618,,,False,False,,2015-11-03-municipal-general-election-statement-of-votes-cast.zip
2015,municipal general,Council,2,Cottonwood Heights City Council District 2,COTTONWOOD HEIGHTS CITY CNCL 2,1,2,plurality,1603,,SCOTT BRACKEN,834,52.03,EDWARD SCHWARTZ,769,65,4.05,4354,,,False,False,,2015-11-03-municipal-general-election-statement-of-votes-cast.zip
2017,municipal general,Council,3,Cottonwood Heights City Council District 3,COTTONWOOD HEIGHTS CITY CNCL 3,1,2,plurality,2394,,TALI BRUCE,1335,55.76,MICHAEL LARRY HANSON,1059,276,11.53,4908,,,False,False,,2017-11-07-general-election-statement-of-votes-cast.zip
2017,municipal general,Council,4,Cottonwood Heights City Council District 4,COTTONWOOD HEIGHTS CITY CNCL 4,1,2,plurality,2635,,CHRISTINE WATSON MIKELL,1786,67.78,ERIC RIJK KRAAN,849,937,35.56,5094,,,False,False,,2017-11-07-general-election-statement-of-votes-cast.zip
2017,municipal general,Mayor,,Cottonwood Heights City Mayor,COTTONWOOD HEIGHTS CITY MAYOR,1,4,plurality,9148,,MIKE PETERSON,7247,79.22,TIM HALLBECK,1559,5688,62.18,19236,,,False,False,,2017-11-07-general-election-statement-of-votes-cast.zip
2017,municipal primary,Council,3,Cottonwood Heights City Council District 3,COTTONWOOD HEIGHTS CITY CNCL 3,1,3,plurality,1445,,MICHAEL LARRY HANSON,691,47.82,TALI BRUCE,385,306,21.18,4899,,,False,False,,2017-08-15-primary-election-statement-of-votes-cast.zip
2017,municipal primary,Council,4,Cottonwood Heights City Council District 4,COTTONWOOD HEIGHTS CITY CNCL 4,1,3,plurality,1660,,CHRISTINE WATSON MIKELL,1164,70.12,ERIC RIJK KRAAN,267,897,54.04,5098,,,False,False,,2017-08-15-primary-election-statement-of-votes-cast.zip
2019,municipal general,Council,1,Cottonwood Heights City Council District 1,COTTONWOOD HEIGHTS COUNCIL DISTRICT 1,1,2,plurality,2022,,DOUGLAS PETERSEN,1057,52.27,DEBORAH CASE,965,92,4.55,4959,,,False,False,"district general recovered from raw SOVC (absent from the parsed long file — sheet keyed ""COT Council N"")",2019-11-05-general-election-sovc.xlsx
2019,municipal general,Council,2,Cottonwood Heights City Council District 2,COTTONWOOD HEIGHTS COUNCIL DISTRICT 2,1,2,plurality,1565,,SCOTT BRACKEN,900,57.51,TIM HALLBECK,665,235,15.02,4741,,,False,False,"district general recovered from raw SOVC (absent from the parsed long file — sheet keyed ""COT Council N"")",2019-11-05-general-election-sovc.xlsx
2021,municipal general,Council,3,Cottonwood Heights City Council District 3,COTTONWOOD HEIGHTS COUNCIL DISTRICT 3,1,5,RCV,2376,2376,SHAWN E. NEWELL,959,40.36,MIKE HANSON,773,186,7.83,5550,2445,44.05,False,False,"district general re-parsed from raw SOVC (long-file rows privacy-suppressed at the method split; per-precinct Total sub-rows are unsuppressed) | 2021 was RCV (SLCo pilot; relabeled 2026-08-01 against the official RCV tabulation: sandy_city_council/election_results/raw/2021-general-election-ranked-choice-summary-report.pdf). Stored tallies are SOVC FIRST-CHOICE figures, not RCV final rounds — do not read winner_pct as a final margin.",november-2-2021-general-election-statement-of-votes-cast.xlsx
2021,municipal general,Council,4,Cottonwood Heights City Council District 4,COTTONWOOD HEIGHTS COUNCIL DISTRICT 4,1,3,RCV,2771,2771,ELLEN BIRRELL,1378,49.73,ERNIE KIM,1232,146,5.27,5852,2808,47.98,False,False,"district general re-parsed from raw SOVC (long-file rows privacy-suppressed at the method split; per-precinct Total sub-rows are unsuppressed) | 2021 was RCV (SLCo pilot; relabeled 2026-08-01 against the official RCV tabulation: sandy_city_council/election_results/raw/2021-general-election-ranked-choice-summary-report.pdf). Stored tallies are SOVC FIRST-CHOICE figures, not RCV final rounds — do not read winner_pct as a final margin.",november-2-2021-general-election-statement-of-votes-cast.xlsx
2021,municipal general,Mayor,,Cottonwood Heights City Mayor,COTTONWOOD HEIGHTS MAYOR,1,5,RCV,9251,9251,MIKE WEICHERS,3526,38.11,ERIC KRAAN,3017,509,5.5,21958,9297,42.34,False,False,"district general re-parsed from raw SOVC (long-file rows privacy-suppressed at the method split; per-precinct Total sub-rows are unsuppressed) | 2021 was RCV (SLCo pilot; relabeled 2026-08-01 against the official RCV tabulation: sandy_city_council/election_results/raw/2021-general-election-ranked-choice-summary-report.pdf). Stored tallies are SOVC FIRST-CHOICE figures, not RCV final rounds — do not read winner_pct as a final margin. The RCV tabulation ran FOUR rounds: Weichers R1 3,616 -> final 4,619 (52.87%) vs Kraan R1 3,017 -> 4,117 (the report's R1 differs from the SOVC first-choice stored here — late/cured ballots between certifications; both official).",november-2-2021-general-election-statement-of-votes-cast.xlsx
2023,municipal general,Council,1,Cottonwood Heights City Council District 1,COTTONWOOD HEIGHTS COUNCIL DISTRICT 1,1,2,plurality,2079,,MATT HOLTON,1175,56.52,JEN COTTAM,904,271,13.04,5236,2057,39.29,False,False,,statementofvotescastrpt-official-report-12-05-2023-5.22pm.xlsx
2023,municipal general,Council,2,Cottonwood Heights City Council District 2,COTTONWOOD HEIGHTS COUNCIL DISTRICT 2,1,2,plurality,1861,,SUZANNE HYLAND,964,51.8,SHARON DAURELLE,897,67,3.6,4852,1848,38.09,False,False,,statementofvotescastrpt-official-report-12-05-2023-5.22pm.xlsx
2023,municipal primary,Council,2,Cottonwood Heights City Council District 2,Cottonwood Heights Council District 2,1,3,plurality,4911,,SHARON DAURELLE,2031,41.36,SUZANNE HYLAND,1527,504,10.26,4854,1640,33.79,False,False,,statementofvotescastrpt.xlsx
2025,municipal general,Council,3,Cottonwood Heights City Council District 3,COTTONWOOD HEIGHTS CITY COUNCIL DISTRICT 3,1,2,plurality,2597,,SHAWN NEWELL,1584,60.99,RANDY PRAZEN,1013,571,21.99,5364,2707,50.47,False,False,,2025-general-election-statementofvotescastrpt.xlsx
2025,municipal general,Council,4,Cottonwood Heights City Council District 4,COTTONWOOD HEIGHTS CITY COUNCIL DISTRICT 4,1,2,plurality,3122,,ELLEN BIRRELL,2111,67.62,ERNIE KIM,1011,1100,35.23,5742,3198,55.69,False,False,,2025-general-election-statementofvotescastrpt.xlsx
2025,municipal general,Mayor,,Cottonwood Heights City Mayor,COTTONWOOD HEIGHTS CITY MAYOR,1,2,plurality,10745,,GAY LYNN BENNION,6180,57.52,MIKE WEICHERS,4565,1615,15.03,21582,10773,49.92,False,False,,2025-general-election-statementofvotescastrpt.xlsx
2019,municipal primary,Council,1,Cottonwood Heights City Council District 1,COTTONWOOD HEIGHTS CITY COUNCIL DISTRICT 1,1,3,plurality,1278,,DEBORAH CASE,578,45.23,DOUGLAS PETERSEN,511,67,5.24,4903,,,False,False,2019 primary D1 (3-way: Case 578 / Petersen 511 / McHugh 189) — recovered by the 2026-07-16 SLCo SOVC re-parse. CORRECTS the prior CLAUDE claim of 'no 2019 CH primary'. Case led the primary but Petersen won the Nov general (1057-965). registered_voters summed from SOVC precinct rows; ballots_cast/turnout blank.,2019-08-13-municipal-primary-sovc.xlsx
