layer,description,publisher,url,api_endpoint,format,vintage,license,growth_relevance,notes
Utah County Parcels (LIR),"Parcel polygons for Utah County joined to assessor/tax-roll attributes (owner-address, serial, acreage, market value, land value, year built, building sqft, floors, primary-residence flag, property class, subdivision name) via the statewide Land Information Records (LIR) schema.",UGRC / Utah SGID (in coordination with Utah County Assessor),https://opendata.gis.utah.gov/datasets/utah-utah-county-parcels-lir,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/Parcels_Utah_LIR/FeatureServer/0,ArcGIS FeatureServer (query -> geojson/csv/shp/gpkg),Updated monthly; CURRENT_ASOF 2025-10-30,CC BY 4.0 (UGRC/SGID),high,"327,655 parcel records, all COUNTY_NAME='Utah County'. The authoritative growth/housing base layer: land value, built year, unit/floor counts, property class per parcel. Do NOT bulk-download; query by bbox/where. Fields incl. TOTAL_MKT_VALUE, BUILT_YR, HOUSE_CNT, BLDG_SQFT, SUBDIV_NAME, PROP_CLASS."
Utah County Parcels (geometry),Parcel boundary polygons for Utah County (same LIR fabric; use the LIR variant for attributes).,UGRC / Utah SGID,https://opendata.gis.utah.gov/datasets/utah-utah-county-parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/Parcels_Utah/FeatureServer/0,ArcGIS FeatureServer,Updated monthly,CC BY 4.0 (UGRC/SGID),medium,"284,092 polygons. Geometry-focused cut; use Parcels_Utah_LIR instead unless you only need boundaries."
Utah Address Points,Point locations for every USPS-assigned address in Utah; the state's authoritative geocoding base.,UGRC / Utah SGID,https://opendata.gis.utah.gov/datasets/utah-address-points,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/UtahAddressPoints/FeatureServer/0,ArcGIS FeatureServer,Continuously updated,CC BY 4.0 (UGRC/SGID),medium,"246,902 points in Utah County (filter CountyID='49049'). Backs address->rep lookups. Statewide layer; also queryable by City / bbox."
Utah Municipal Boundaries,"Incorporated municipal (city/town) boundaries statewide, COGO-derived, maintained with annexation updates; carries census/estimate population per municipality.",UGRC / Utah SGID,https://opendata.gis.utah.gov/datasets/utah-municipal-boundaries,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/UtahMunicipalBoundaries/FeatureServer/0,ArcGIS FeatureServer,Continuously updated,CC BY 4.0 (UGRC/SGID),high,"27 municipalities in Utah County (filter COUNTYNBR='25'). Which land is in which city vs unincorporated -- the frame for every jurisdictional growth question. Carries POPLASTCENSUS/POPLASTESTIMATE."
Utah County Boundaries,County boundary polygons statewide (includes Utah County / FIPS 49049).,UGRC / Utah SGID,https://opendata.gis.utah.gov,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/UtahCountyBoundaries/FeatureServer/0,ArcGIS FeatureServer,Continuously updated,CC BY 4.0 (UGRC/SGID),low,County extent for clipping/joins; filter NAME='UTAH'.
Utah Housing Unit Inventory,"Best-effort inventory of housing units per development/parcel (single-family, ADU/OUG, townhome, condo, duplex, apartment, mobile-home park, PUD) with unit count, density (DUA), value, and approximate build year, built from parcel/LIR/assessor data.",UGRC + WFRC + MAG,https://gis.utah.gov/products/sgid/planning/housing-unit-inventory/,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/HousingUnitInventory/FeatureServer/0,ArcGIS FeatureServer,Periodic (parcel-vintage based),CC BY 4.0 (UGRC/SGID),high,"195,204 records for Utah County (filter COUNTY='UTAH') ~= 231,597 housing units. Directly answers housing supply/type/density. See derived/ for the type breakdown."
Utah Buildings (footprints),Building footprint polygons statewide with type/address/parcel-id and source year.,UGRC / Utah SGID,https://gis.utah.gov/products/sgid/structure/,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/Buildings/FeatureServer/0,ArcGIS FeatureServer,SRC_YEAR varies (multi-source),CC BY 4.0 (UGRC/SGID),medium,"191,853 footprints in Utah County (filter COUNTY='UTAH'). Built-form / density analysis; joins to parcels via PARCEL_ID. Utah County's own org publishes NO footprints layer -- use this."
Census Tracts 2020,2020 Census tract polygons (P.L. 94-171 redistricting geography) with POP100/HU100.,UGRC / Utah SGID (US Census),https://opendata.gis.utah.gov,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/CensusTracts2020/FeatureServer/0,ArcGIS FeatureServer,2020 vintage,Public domain (US Census),medium,"156 tracts in Utah County (filter GEOID20 LIKE '49049%'). Standard demographic/housing join geography."
Census Block Groups 2020,2020 Census block-group polygons.,UGRC / Utah SGID (US Census),https://opendata.gis.utah.gov,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/CensusBlockGroups2020/FeatureServer/0,ArcGIS FeatureServer,2020 vintage,Public domain (US Census),low,"434 block groups in Utah County (GEOID20 LIKE '49049%'). Finer demographic geography for density analysis."
Census Blocks 2020,2020 Census block polygons (finest census geography).,UGRC / Utah SGID (US Census),https://opendata.gis.utah.gov,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/CensusBlocks2020/FeatureServer/0,ArcGIS FeatureServer,2020 vintage,Public domain (US Census),low,Large statewide layer; query by bbox or GEOID20 prefix '49049'.
