body,pmn_body_id,notice_id,notice_url,notice_title,date,notice_date,audio_url,pmn_file_id,audio_filename,media_type,category
Council,5831,377859,https://www.utah.gov/pmn/sitemap/notice/377859.html,Agenda,2017-02-15,2017-02-15,https://www.utah.gov/pmn/files/280061.MP3,280061,02-15-17.MP3,mp3,Audio Recording
Council,5831,373431,https://www.utah.gov/pmn/sitemap/notice/373431.html,Agenda,2017-03-01,2017-03-01,https://www.utah.gov/pmn/files/283025.MP3,283025,03-01-17 Copperton.MP3,mp3,Audio Recording
Council,5831,383639,https://www.utah.gov/pmn/sitemap/notice/383639.html,Agenda,2017-03-15,2017-03-15,https://www.utah.gov/pmn/files/286475.mp3,286475,3-15-17 Copperton end.mp3,mp3,Audio Recording
Council,5831,383639,https://www.utah.gov/pmn/sitemap/notice/383639.html,Agenda,2017-03-15,2017-03-15,https://www.utah.gov/pmn/files/286473.MP3,286473,3-15-17 Copperton.MP3,mp3,Audio Recording
Council,5831,387311,https://www.utah.gov/pmn/sitemap/notice/387311.html,Agenda,2017-04-05,2017-04-05,https://www.utah.gov/pmn/files/295565.MP3,295565,04-05-17.MP3,mp3,Audio Recording
Council,5831,390403,https://www.utah.gov/pmn/sitemap/notice/390403.html,Agenda,2017-04-19,2017-04-19,https://www.utah.gov/pmn/files/295569.wav,295569,04-19-17.wav,wav,Audio Recording
Council,5831,393063,https://www.utah.gov/pmn/sitemap/notice/393063.html,Agenda,2017-05-03,2017-05-03,https://www.utah.gov/pmn/files/298521.MP3,298521,05-03-2017.MP3,mp3,Audio Recording
Council,5831,396219,https://www.utah.gov/pmn/sitemap/notice/396219.html,Agenda,2017-05-17,2017-05-17,https://www.utah.gov/pmn/files/302619.wav,302619,05-17-17.wav,wav,Audio Recording
Council,5831,399937,https://www.utah.gov/pmn/sitemap/notice/399937.html,Agenda,2017-06-07,2017-06-07,https://www.utah.gov/pmn/files/307853.wav,307853,6-7-17 Recording.wav,wav,Audio Recording
Council,5831,403081,https://www.utah.gov/pmn/sitemap/notice/403081.html,Agenda,2017-06-21,2017-06-21,https://www.utah.gov/pmn/files/310525.wav,310525,6-21-17 Recording.wav,wav,Audio Recording
Council,5831,407825,https://www.utah.gov/pmn/sitemap/notice/407825.html,Agenda,2017-07-19,2017-07-19,https://www.utah.gov/pmn/files/316351.wav,316351,07-19-17 (1).wav,wav,1
