date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,orig_filename
2020-03-11,2020,Planning Commission — 2020_03_11 ADM - Minutes.pdf,administrative-hearing,PlanningCommission,raw/2020-03-11__administrative-hearing__585471.pdf,pmn,https://www.utah.gov/pmn/files/585471.pdf,https://www.utah.gov/pmn/sitemap/notice/593971.html,3287,585471,2026-07-13,text,pdftotext-layout,2020_03_11 ADM - Minutes.pdf
2020-06-17,2020,Planning Commission — 6-17-20 Admin Hearing -Approved Minutes.pdf,administrative-hearing,PlanningCommission,raw/2020-06-17__administrative-hearing__617491.pdf,pmn,https://www.utah.gov/pmn/files/617491.pdf,https://www.utah.gov/pmn/sitemap/notice/611525.html,3287,617491,2026-07-13,text,pdftotext-layout,6-17-20 Admin Hearing -Approved Minutes.pdf
2020-07-01,2020,Planning Commission — 2020_07_01 ADM - Approved Minutes.pdf,administrative-hearing,PlanningCommission,raw/2020-07-01__administrative-hearing__619871.pdf,pmn,https://www.utah.gov/pmn/files/619871.pdf,https://www.utah.gov/pmn/sitemap/notice/614275.html,3287,619871,2026-07-13,text,pdftotext-layout,2020_07_01 ADM - Approved Minutes.pdf
2020-09-02,2020,Planning Commission — 2020_09_02 ADM - Approved Minutes.pdf,administrative-hearing,PlanningCommission,raw/2020-09-02__administrative-hearing__643581.pdf,pmn,https://www.utah.gov/pmn/files/643581.pdf,https://www.utah.gov/pmn/sitemap/notice/624517.html,3287,643581,2026-07-13,text,pdftotext-layout,2020_09_02 ADM - Approved Minutes.pdf
2021-03-17,2021,Planning Commission — 03-17-21 CH Admin Hearing  - Minutes.pdf,administrative-hearing,PlanningCommission,raw/2021-03-17__administrative-hearing__705355.pdf,pmn,https://www.utah.gov/pmn/files/705355.pdf,https://www.utah.gov/pmn/sitemap/notice/663903.html,3287,705355,2026-07-13,text,pdftotext-layout,03-17-21 CH Admin Hearing  - Minutes.pdf
2021-04-07,2021,Planning Commission — ADM Minutes 04-07-2021.pdf,administrative-hearing,PlanningCommission,raw/2021-04-07__administrative-hearing__705239.pdf,pmn,https://www.utah.gov/pmn/files/705239.pdf,https://www.utah.gov/pmn/sitemap/notice/668579.html,3287,705239,2026-07-13,text,pdftotext-layout,ADM Minutes 04-07-2021.pdf
2021-05-26,2021,Planning Commission — 052621 CH Admin Hearing- Approved Minutes.pdf,administrative-hearing,PlanningCommission,raw/2021-05-26__administrative-hearing__736931.pdf,pmn,https://www.utah.gov/pmn/files/736931.pdf,https://www.utah.gov/pmn/sitemap/notice/677133.html,3287,736931,2026-07-13,text,pdftotext-layout,052621 CH Admin Hearing- Approved Minutes.pdf
2021-09-29,2021,Planning Commission — 2021_09_29 ADM - Approved Minutes.pdf,administrative-hearing,PlanningCommission,raw/2021-09-29__administrative-hearing__773581.pdf,pmn,https://www.utah.gov/pmn/files/773581.pdf,https://www.utah.gov/pmn/sitemap/notice/705571.html,3287,773581,2026-07-13,text,pdftotext-layout,2021_09_29 ADM - Approved Minutes.pdf
2021-12-15,2021,Planning Commission — 2021_12_15 ADM -Minutes.pdf,administrative-hearing,PlanningCommission,raw/2021-12-15__administrative-hearing__794531.pdf,pmn,https://www.utah.gov/pmn/files/794531.pdf,https://www.utah.gov/pmn/sitemap/notice/722011.html,3287,794531,2026-07-13,text,pdftotext-layout,2021_12_15 ADM -Minutes.pdf
2022-02-09,2022,Planning Commission — 2022_02_09 ADM - Minutes.pdf,administrative-hearing,PlanningCommission,raw/2022-02-09__administrative-hearing__814429.pdf,pmn,https://www.utah.gov/pmn/files/814429.pdf,https://www.utah.gov/pmn/sitemap/notice/732281.html,3287,814429,2026-07-13,text,pdftotext-layout,2022_02_09 ADM - Minutes.pdf
