specimen_id,entity,source_ref,page,what_it_tests,expected_json,evidence
rhodes-4v1-fax,cache_county,"cache_county/campaign_finance/raw/2018/2018_cc_Shannon_Rhodes_final.pdf (sha256 d9681f38..., fax stamp DEC/05/2018; cover p1, Form A p2, Form B p3) - Shannon Rhodes, Cache County Council, 2018 cycle; see cache CLAUDE.md §'Render resolution matters'. CLEANER SIBLING, deliberately NOT to be used as a settlement: raw/2018/2018_cc_Shannon_Rhodes.pdf (sha256 52f0ffda..., CLERK-OCT 30 '18). PATHS ADDED 2026-08-23 after a pre-flight agent, given no path, picked up the unrelated 2014 Teri B. Rhodes school-board covers instead",cover,"ARITHMETIC-CLOSURE-OUTRANKS-GLYPH specimen (answer CORRECTED 2026-08-02): the bistable open-top glyph reads '1' or '4' at ANY resolution — a 600dpi sibling 'settlement' on 4 was itself the eagerness failure, inside the escalation path. The page decides it: Form A sums to exactly 1,694.09 and the cover closes only under 1 (1,694.09+105.00=1,799.09=cumulative expenses; balance 0). A configuration passes ONLY by resolving via the document's own arithmetic; glyph re-reads at higher dpi are necessary for legibility but NEVER sufficient for truth","{""correct_digit"": ""1"", ""stated_total_contributions"": ""1799.09"", ""decisive_evidence"": ""arithmetic closure + Form A sum, not any re-read""}",coordinator adjudication 2026-08-02 (3 independent proofs); B2 pre-flight dispute
summit-reversed-columns,summit_county,raw/2022/20765 Langston 2022 Post-Election (born-digital),cover,REVERSED column order Current|Last|Cumulative — transposed read produces plausible-wrong totals,"{""stated_total_contributions"": ""503.00"", ""stated_total_expenditures"": ""511.62"", ""must_not_produce"": ""511.62 as contributions (the millcreek/ogden misread)""}",summit_county/campaign_finance/CLAUDE.md §'The column trap'
summit-zero-glyph,summit_county,raw/2022/20753_Siddoway-Post-Election-2022.pdf,1,ZERO-GLYPH RULING positive case: whole balance row + Current column are slashed zeros; form prints 'DO NOT DELETE ANY CELLS WITH $0.00',"{""stated_ending_balance"": ""0.00"", ""verbatim"": ""\u00d8""}",coordinator page read 2026-08-02; summit CLAUDE.md zero-glyph section
summit-genuine-blank,summit_county,Rhonda Francis 2018 Pre-Election (raw/2018/8196),1,"BLANK-vs-ZERO negative control: contributions + balance rows GENUINELY EMPTY (no glyph) — correct answer is blank, NOT 0","{""stated_total_contributions"": """", ""stated_ending_balance"": """", ""stated_total_expenditures"": ""293.54""}",coordinator page read 2026-08-02 (zero-glyph audit)
wasatch-word-zero,wasatch_county,raw/2026/(Kahler 2026-03; vision/629ffb5f.json),2-3,written word 'zero' as Table A total (p2) AND Table B total (p3) = digit 0 (ruling). ⚠ p3 was missed by the totals tranche — the specimen also tests PAGE COVERAGE: a configuration that stops at page 2 misses a stated total,"{""stated_total_contributions"": ""0.00"", ""stated_total_expenditures"": ""0.00""}",kahler p2+p3 reads: both pilot contenders + coordinator 2026-08-02
wasatch-na-blank,wasatch_county,Hewlett 2024-06 (N/A in all three cells),cover,"N/A stays BLANK — not zero, not a number","{""all_stated"": """"}",wasatch CLAUDE.md cardinal rule 1
weber-dash-nil,weber_county,any of the 10 dash-balance filings (AVAILABILITY §blanks),cover,"bare dash is a nil MARK, stays blank (ruling boundary)","{""stated_ending_balance"": """"}",weber vision report 2026-08-02; GOTCHAS zero-glyph ruling
slco-decimal-comma,salt_lake_county,raw/clerk_legacy/kmorgan_apr52006.pdf (vision/6325c881.json),summary,"100x FABRICATION HAZARD: handwritten decimal COMMA ('1920,00') — must repair via whitelisted repair_money_line, named in notes; naive read = 192000","{""convention"": ""1920,00 -> 1920.00 with named repair""}",salt_lake CLAUDE.md:174 currency-repair section
slco-superscript-cents,salt_lake_county,legacy-era filing per CLAUDE.md:256 (filer-noted per filing),summary,raised superscript cents over a rule (19875^85 = 19875.85) — transcribe with decimal point + note,"{""convention"": ""superscript = cents""}",salt_lake CLAUDE.md:256-257
utah-checklist-decoy,utah_county,any of ~20 filings with the bound-in 'Campaign Financial Disclosure Checklist',p5 on both (decoy 5.9.2022 / genuine summary 4.1.2022); checklists also at p7,"PAGE-SELECTION decoy: the clerk checklist READS LIKE a summary page (it recites every summary-page label) but carries ZERO dollar figures. Page position is untrustworthy and the locator must reject it by CONTENT. SHARPENED 2026-08-19: BOTH Cox 2022 filings bind a checklist -- 5.9.2022 at p5 and 4.1.2022 at p7 -- so the pair is NOT 'one has one, one does not'. At the SAME ordinal p5, 5.9.2022 is the checklist while 4.1.2022 is a GENUINE Summary Page. Only content separates them. The checklist also has TWO revisions (a 'HOLD' + numbered Staff Signature #1/#2 form, and a plain unnumbered one) which are NOT chronological, and it is born-digital clean even when every report page is a degraded photocopy -- itself a tell that it is a clerk work product, not part of the filing.","{""rule"": ""checklist page is never a summary page"", ""control_4.1.2022_p5"": {""A"":""0"",""B"":""10778.00"",""C"":""10778.00"",""D"":""8705.50"",""E"":""8705.50"",""F"":""10778.00"",""close"":""2072.50""}, ""decoy_5.9.2022_p5"": ""checklist, zero dollar figures"", ""must_not_assume"": ""that a filing binding a checklist lacks a real summary page, or vice versa""}","utah_county/campaign_finance/AVAILABILITY.md:160 ; SHARPENED by the utah Phase B wave 2026-08-19 (chunk r10_01 read both Cox filings end to end and found both bind a checklist, at different ordinals)"
