date,title,body,video_id,video_url,tab,duration_s,minutes_match
,2017 Vineyard Candidate Debate,non_meeting,1dH9X1mGbT8,https://www.youtube.com/watch?v=1dH9X1mGbT8,videos,4033,
,Episode 5 | Vineyard LIVE | Ask us anything!,non_meeting,N-yJyFikI1k,https://www.youtube.com/watch?v=N-yJyFikI1k,videos,3050,
,Meet the Candidates Night 2021,non_meeting,ep4Hv8OjXhE,https://www.youtube.com/watch?v=ep4Hv8OjXhE,videos,4207,
,Planning Commission,planning_commission,Tz53WdnJWnE,https://www.youtube.com/watch?v=Tz53WdnJWnE,streams,5275,
,Swearing In Ceremony 2026,non_meeting,mFSYbcHeF0A,https://www.youtube.com/watch?v=mFSYbcHeF0A,videos,1133,
,Vineyard City Safe Walk Program,non_meeting,yZpWxYOz5vA,https://www.youtube.com/watch?v=yZpWxYOz5vA,videos,93,
,Vineyard Community Garden,non_meeting,f8FnjxWAPuc,https://www.youtube.com/watch?v=f8FnjxWAPuc,videos,193,
,Vineyard Facebook Live | Episode 1 | Economic Development,non_meeting,a-SaOhLJFuo,https://www.youtube.com/watch?v=a-SaOhLJFuo,videos,2319,
,Vineyard LIVE | Episode 4 | Lakeshore Improvements,non_meeting,SNVWquuVGTM,https://www.youtube.com/watch?v=SNVWquuVGTM,videos,1911,
,Vineyard LIVE | Episode 6 | Project Updates,non_meeting,hcF0m1sw4fc,https://www.youtube.com/watch?v=hcF0m1sw4fc,videos,1928,
,Vineyard LIVE | Episode 7 | Home Improvement Projects,non_meeting,fJPOYbOK1kQ,https://www.youtube.com/watch?v=fJPOYbOK1kQ,videos,2074,
,Vineyard Ranked Choice Voting,non_meeting,uF8nbnHZ4KA,https://www.youtube.com/watch?v=uF8nbnHZ4KA,videos,148,
,Vineyard's 2019 Meet the Candidates Night,non_meeting,c-Mg5VUZOko,https://www.youtube.com/watch?v=c-Mg5VUZOko,videos,3555,
2019-09-25,"Vineyard City Council Meeting - September 25, 2019",city_council,vlTL-0UFr78,https://www.youtube.com/watch?v=vlTL-0UFr78,streams,2259,no
2019-10-09,"Vineyard City Council Meeting - October 9, 2019",city_council,aavyeatrFqI,https://www.youtube.com/watch?v=aavyeatrFqI,streams,6143,no
2019-10-15,"Vineyard Ranked Choice Voting Interactive Demonstration - October 15, 2019",non_meeting,_adk37IR82w,https://www.youtube.com/watch?v=_adk37IR82w,streams,3065,no
2019-10-30,"Vineyard City Council Special Session - October 30, 2019",city_council,PffJ9_pgjhw,https://www.youtube.com/watch?v=PffJ9_pgjhw,streams,5384,no
2019-10-30,"Vineyard Joint Work Session of Planning Commission & City Council - October 30, 2019",joint_pc_council,XUPI3B3UmEM,https://www.youtube.com/watch?v=XUPI3B3UmEM,streams,9087,no
2019-10-30,"Vineyard Redevelopment Agency Board Meeting - October 30, 2019",rda,CGU0QtZlz4Q,https://www.youtube.com/watch?v=CGU0QtZlz4Q,streams,137,no
2019-11-06,"Vineyard Planning Commission November 6, 2019",planning_commission,nMSVRvLIAYk,https://www.youtube.com/watch?v=nMSVRvLIAYk,streams,7262,no
2019-11-13,"November 13, 2019 Vineyard City Council Meeting",city_council,9hf8gfSK4TM,https://www.youtube.com/watch?v=9hf8gfSK4TM,streams,4484,no
2019-12-11,"December 11, 2019 City Council Meeting",city_council,tdkZlLYUUJ4,https://www.youtube.com/watch?v=tdkZlLYUUJ4,streams,4299,no
2019-12-18,"Planning Commission December 18, 2019",planning_commission,1hTClNntK84,https://www.youtube.com/watch?v=1hTClNntK84,streams,5967,no
2020-01-06,"Vineyard City Council Swearing-in Ceremony January 6, 2020",city_council,tKBfL9IelVM,https://www.youtube.com/watch?v=tKBfL9IelVM,streams,465,no
2020-01-08,"January 8, 2020 Vineyard City Council Meeting",city_council,uGFfkRqq4es,https://www.youtube.com/watch?v=uGFfkRqq4es,streams,1134,yes
2020-01-08,"January 8, 2020 Vineyard Redevelopment Agency Board Meeting",rda,wCcgRXR-IWs,https://www.youtube.com/watch?v=wCcgRXR-IWs,streams,149,yes
2020-01-15,"Planning Commission January 15, 2020",planning_commission,lQnRTGEzplc,https://www.youtube.com/watch?v=lQnRTGEzplc,streams,5157,no
2020-02-12,"February 12, 2020 City Council Meeting",city_council,zVyeiA2bw_0,https://www.youtube.com/watch?v=zVyeiA2bw_0,streams,1719,yes
2020-02-24,"February 24, 2020 Vineyard Planning Commission",planning_commission,k5ILbMsCjFQ,https://www.youtube.com/watch?v=k5ILbMsCjFQ,streams,5516,yes
2020-03-04,"March 4, 2020 Vineyard Planning Commission",planning_commission,jTx0NiBGM6w,https://www.youtube.com/watch?v=jTx0NiBGM6w,streams,8884,no
2020-03-11,"March 11, 2020 Vineyard City Council",city_council,5Zsn7plHBPM,https://www.youtube.com/watch?v=5Zsn7plHBPM,streams,6378,yes
2020-04-01,"April 1, 2020 Joint City Council and Planning Commission Meeting",joint_pc_council,SobmGviO-Bo,https://www.youtube.com/watch?v=SobmGviO-Bo,videos,12814,yes
2020-04-08,"April 8, 2020 Vineyard City Council Meeting via Zoom",city_council,9gV1Dm7XuuE,https://www.youtube.com/watch?v=9gV1Dm7XuuE,videos,7371,yes
2020-08-26,"Vineyard City Council August 26, 2020",city_council,A0vuuhMx8GE,https://www.youtube.com/watch?v=A0vuuhMx8GE,streams,3848,yes
2020-09-09,"Vineyard City Council September 9, 2020",city_council,U_XLg8oHRj8,https://www.youtube.com/watch?v=U_XLg8oHRj8,streams,4044,yes
2020-09-16,"Vineyard Planning Commission Meeting September 16, 2020",planning_commission,nZAV8xqdHgg,https://www.youtube.com/watch?v=nZAV8xqdHgg,streams,3328,no
2020-09-23,"Vineyard City Council Meeting September 23, 2020",city_council,g1HO_0BPXsA,https://www.youtube.com/watch?v=g1HO_0BPXsA,streams,7703,yes
2020-10-14,"Vineyard City Council Meeting October 14, 2020",city_council,PbyhvOrAhjE,https://www.youtube.com/watch?v=PbyhvOrAhjE,streams,5042,yes
2020-10-21,"Vineyard City Planning Commission Meeting October 21, 2020",planning_commission,bV6lmuEM5es,https://www.youtube.com/watch?v=bV6lmuEM5es,streams,6044,no
