date,title,body,video_url,video_id,caption_type,source_url,retrieved_date,format,extraction_method,path,minutes_match,text_path
2019-09-25,"Vineyard City Council Meeting - September 25, 2019",city_council,https://www.youtube.com/watch?v=vlTL-0UFr78,vlTL-0UFr78,asr,https://www.youtube.com/watch?v=vlTL-0UFr78,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,no,
2019-10-09,"Vineyard City Council Meeting - October 9, 2019",city_council,https://www.youtube.com/watch?v=aavyeatrFqI,aavyeatrFqI,asr,https://www.youtube.com/watch?v=aavyeatrFqI,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,no,
2019-10-15,"Vineyard Ranked Choice Voting Interactive Demonstration - October 15, 2019",non_meeting,https://www.youtube.com/watch?v=_adk37IR82w,_adk37IR82w,asr,https://www.youtube.com/watch?v=_adk37IR82w,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,no,
2019-10-30,"Vineyard City Council Special Session - October 30, 2019",city_council,https://www.youtube.com/watch?v=PffJ9_pgjhw,PffJ9_pgjhw,asr,https://www.youtube.com/watch?v=PffJ9_pgjhw,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,no,
2019-10-30,"Vineyard Joint Work Session of Planning Commission & City Council - October 30, 2019",joint_pc_council,https://www.youtube.com/watch?v=XUPI3B3UmEM,XUPI3B3UmEM,asr,https://www.youtube.com/watch?v=XUPI3B3UmEM,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,no,
2019-10-30,"Vineyard Redevelopment Agency Board Meeting - October 30, 2019",rda,https://www.youtube.com/watch?v=CGU0QtZlz4Q,CGU0QtZlz4Q,asr,https://www.youtube.com/watch?v=CGU0QtZlz4Q,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,no,
2019-11-06,"Vineyard Planning Commission November 6, 2019",planning_commission,https://www.youtube.com/watch?v=nMSVRvLIAYk,nMSVRvLIAYk,asr,https://www.youtube.com/watch?v=nMSVRvLIAYk,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,no,
2019-11-13,"November 13, 2019 Vineyard City Council Meeting",city_council,https://www.youtube.com/watch?v=9hf8gfSK4TM,9hf8gfSK4TM,asr,https://www.youtube.com/watch?v=9hf8gfSK4TM,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,no,
2019-12-11,"December 11, 2019 City Council Meeting",city_council,https://www.youtube.com/watch?v=tdkZlLYUUJ4,tdkZlLYUUJ4,asr,https://www.youtube.com/watch?v=tdkZlLYUUJ4,2026-07-05,caption,yt-dlp --write-auto-sub --sub-langs en (YouTube ASR),raw/2019-12-11.vtt,no,text/2019-12-11.md
2019-12-18,"Planning Commission December 18, 2019",planning_commission,https://www.youtube.com/watch?v=1hTClNntK84,1hTClNntK84,asr,https://www.youtube.com/watch?v=1hTClNntK84,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,no,
