title,chapter,chapter_title,section,heading,path,source_url,chapter_xml_url,retrieved_date,doc_class
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-101,Purposes -- General land use authority.,text/10-20/10-20-101.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S101.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-102,Definitions.,text/10-20/10-20-102.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S102.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-103,Municipal standards.,text/10-20/10-20-103.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S103.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-201,Required notice.,text/10-20/10-20-201.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S201.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-202,Applicant notice -- Waiver of requirements.,text/10-20/10-20-202.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S202.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-203,Notice of intent to prepare a general plan or comprehensive general plan amendments in certain municipalities.,text/10-20/10-20-203.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S203.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-204,Notice of public hearings and public meetings to consider general plan or modifications.,text/10-20/10-20-204.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S204.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-205,Notice of public hearings and public meetings on adoption or modification of land use regulation.,text/10-20/10-20-205.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S205.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-206,Third party notice -- High priority transportation corridor notice.,text/10-20/10-20-206.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S206.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-207,Notice for an amendment to a subdivision -- Notice for vacation of or change to street.,text/10-20/10-20-207.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S207.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
