city,body,seat_id,district,person_name,person_key,start_date,end_date,start_event,end_event,election_year,first_vote,last_vote,sources,confidence,note
bluffdale,Mayor,MAYOR,At-Large,Derk Timothy,derk_timothy,2018-01-01,2022-01-04,reelected,unknown,2017,,,"election:2017 (Mayor winner, unopposed 1,238; also won 2009 and 2013 — mayor since Jan 2010); minutes:2022-01-04 (Mayor Hall's tribute — '12 years of dedicated service'); minutes:2022-01-04 (replaced at oath)",medium,"PRE-FLOOR term start (Jan-2018 oath predates the 2020 minutes floor; medium). His earlier terms (2010-2013, 2014-2017) are wholly pre-floor -> not rostered. NOT a candidate in 2021 (Hall v. Roberts) -> did not seek re-election; mechanism unrecorded -> end_event=unknown. Mayor does NOT vote in Council except tie-breaks, but VOTES as RDA/LBA Chair (his role rows are RDA-only, 2020-06-10..2021-12-08)."
bluffdale,Mayor,MAYOR,At-Large,Natalie Hall,natalie_hall,2022-01-04,2026-01-05,elected,reelected,2021,,,"election:2021 (Mayor winner — RCV pilot, 2,497 v. John Roberts 806, first round decisive); minutes:2022-01-04 (oath — 'Mayor Elect, Natalie Hall')",high,"Her cities.db body='Council' role rows (2022-11-09..2025-05-14) are mayoral votes cast from the chair, not council membership (the Nephi-Nielson pattern): 2022-11-09 was a tie-break; 2025-05-14 was a recorded 'Mayor Hall-Yes' on a motion already passing 3-2 (AUDIT.md F2). She also votes as RDA/LBA Chair."
bluffdale,Mayor,MAYOR,At-Large,Natalie Hall,natalie_hall,2026-01-05,,reelected,serving,2025,,,"election:2025 (Mayor winner, 1,993 v. Connie Pavlakis 1,927); minutes:2026-01-05 (oath — 'Natalie Caudell Hall')",high,"Re-elected 2025 (50.84%, a 66-vote margin)."
bluffdale,Council,AL-A1,At-Large,Dave Kallas,dave_kallas,2020-01-06,2024-01-10,elected,unknown,2019,2020-02-12,2023-12-14,"election:2019 (Council winner, 1,120 rank1 of the vote-for-3); minutes:2020-01-06 (oath — 'Council Members Elect; Traci Crockett, Jeff Gaston, Mark Hales, and Dave Kallas'); minutes:2024-01-10 (replaced at oath)",high,"Also won an unexpired cohort-A seat in 2017 (uncontested) — that 2018-2019 term is wholly pre-floor and not rostered. NOT a candidate in 2023 -> did not seek re-election; term expired 2024-01-10; mechanism unrecorded -> end_event=unknown. Within-cohort seat numbers (A1/A2/A3) are a labelling of person-chains, not source-attested."
bluffdale,Council,AL-A1,At-Large,Steve Austin,steve_austin,2024-01-10,,elected,serving,2023,2024-01-10,2026-06-24,"election:2023 (Council winner, 1,460 rank1); minutes:2024-01-10 (oath — 'Council Members Elect Steve Austin, Gregory Wilding and Alan Lord')",high,Cohort A. Seat pairing with the 2019 trio is a labelling choice (see AL-A1 Kallas note).
bluffdale,Council,AL-A2,At-Large,Jeff Gaston,jeff_gaston,2020-01-06,2024-01-10,elected,unknown,2019,2020-02-12,2023-12-13,"election:2019 (Council winner, 1,054 rank2 of the vote-for-3); minutes:2020-01-06 (oath); minutes:2024-01-10 (replaced at oath)",high,NOT a candidate in 2023 -> did not seek re-election; term expired 2024-01-10; mechanism unrecorded -> end_event=unknown.
bluffdale,Council,AL-A2,At-Large,Greg Wilding,greg_wilding,2024-01-10,,elected,serving,2023,2024-01-10,2026-06-24,"election:2023 (Council winner, 1,429 rank2); minutes:2024-01-10 (oath)",high,Cohort A.
bluffdale,Council,AL-A3,At-Large,Mark Hales,mark_hales,2020-01-06,2024-01-10,elected,lost,2019,2020-02-12,2023-12-14,"election:2019 (Council winner, 1,044 rank3 of the vote-for-3); minutes:2020-01-06 (oath — named a Council Member-Elect); election:2023 (ran, 1,387 rank4 — lost); minutes:2024-01-10 (replaced at oath)",high,"The election dataset originally mis-flagged him is_winner=False (N_SEATS=2 for the 2019 vote-for-3 contest) — FIXED 2026-07-12 after the roster audit PROVED vote-for-3 from the raw SOVC (4,977 candidate votes vs 2,154 ballots cast; see AUDIT.md F1 + election_results/CLAUDE.md). Ran 2023 and lost (4th of 6)."
bluffdale,Council,AL-A3,At-Large,Alan Lord,alan_lord,2024-01-10,,elected,serving,2023,2024-01-10,2026-06-10,"election:2023 (Council winner, 1,397 rank3); minutes:2024-01-10 (oath)",high,Cohort A.
bluffdale,Council,AL-B1,At-Large,Wendy Aston,wendy_aston,2018-01-01,2022-01-04,elected,reelected,2017,2020-04-08,2021-12-08,"election:2017 (Council winner, 708 — 2-seat race with Alan Jackson); votes:2020-04-08.. (observed serving at the data floor); minutes:2026-01-05 (her remarks — 'this is her third swearing in', i.e. 2018/2022/2026)",medium,"PRE-FLOOR term start: the Jan-2018 oath predates the 2020 minutes floor; start 2018-01 inferred from the cohort-B cycle (confidence medium). Her own 2026 'third swearing in' remark corroborates seatings in 2018, 2022 and 2026."
