commissioner,first_seen,last_seen,n_votes
Cameron Duncan,2020-01-16,2026-06-18,537
Craig Kitterman,2024-03-07,2026-06-18,162
Daniel Schoenfeld,2020-02-06,2026-06-18,502
Dave Bromley,2020-01-16,2026-06-18,536
David Hart,2023-03-16,2026-06-18,276
Jamie Tsandes,2020-01-16,2024-05-16,381
Jeff Lovell,2020-01-16,2022-03-17,204
Jennifer George,2024-03-07,2026-06-18,173
LaNiece Davenport,2024-11-21,2026-06-18,152
Michael Christopherson,2020-01-16,2023-03-30,275
Monica Collard,2020-01-16,2024-02-15,355
NH Rather,2020-01-16,2020-12-03,60
Ron Mortimer,2020-01-16,2026-06-18,556
Steven Wrigley,2023-03-16,2026-06-18,262
