clip_id,date,body,meeting_type,source_file,minutes_status
100001,2015-01-08,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-01-08_eastern_summit_pc.md,final
100003,2015-01-15,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-01-15_eastern_summit_pc.md,final
100005,2015-01-29,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-01-29_eastern_summit_pc.md,final
100006,2015-02-05,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-02-05_eastern_summit_pc.md,final
100008,2015-02-19,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-02-19_eastern_summit_pc.md,final
100010,2015-03-05,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-03-05_eastern_summit_pc.md,final
100012,2015-03-19,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-03-19_eastern_summit_pc.md,final
100014,2015-04-02,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md,final
100016,2015-05-07,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md,final
100018,2015-05-21,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-05-21_eastern_summit_pc.md,final
100020,2015-06-04,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-06-04_eastern_summit_pc.md,final
100022,2015-06-18,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md,final
100024,2015-07-09,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-07-09_eastern_summit_pc.md,final
100026,2015-07-16,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-07-16_eastern_summit_pc.md,final
100028,2015-08-06,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-08-06_eastern_summit_pc.md,final
100030,2015-08-20,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-08-20_eastern_summit_pc.md,final
100032,2015-09-03,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-09-03_eastern_summit_pc.md,final
100034,2015-09-17,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-09-17_eastern_summit_pc.md,final
100037,2015-10-22,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-10-22_eastern_summit_pc.md,final
100038,2015-11-05,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-11-05_eastern_summit_pc.md,final
100040,2015-11-19,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-11-19_eastern_summit_pc.md,final
100041,2015-12-03,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-12-03_eastern_summit_pc.md,final
100043,2015-12-17,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2015/2015-12-17_eastern_summit_pc.md,final
100044,2016-01-07,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2016/2016-01-07_eastern_summit_pc.md,final
100046,2016-02-04,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2016/2016-02-04_eastern_summit_pc.md,final
100048,2016-02-18,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2016/2016-02-18_eastern_summit_pc.md,final
100050,2016-03-03,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2016/2016-03-03_eastern_summit_pc.md,final
100052,2016-03-17,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2016/2016-03-17_eastern_summit_pc.md,final
100054,2016-04-07,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2016/2016-04-07_eastern_summit_pc.md,final
100056,2016-04-21,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2016/2016-04-21_eastern_summit_pc.md,final
100058,2016-05-05,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2016/2016-05-05_eastern_summit_pc.md,final
100060,2016-05-19,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2016/2016-05-19_eastern_summit_pc.md,final
100061,2016-06-02,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2016/2016-06-02_eastern_summit_pc.md,final
100063,2016-06-16,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2016/2016-06-16_eastern_summit_pc.md,final
100066,2016-07-21,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2016/2016-07-21_eastern_summit_pc.md,final
100068,2016-08-04,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2016/2016-08-04_eastern_summit_pc.md,final
100070,2016-08-18,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2016/2016-08-18_eastern_summit_pc.md,final
100073,2016-09-15,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2016/2016-09-15_eastern_summit_pc.md,final
100075,2016-10-20,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2016/2016-10-20_eastern_summit_pc.md,final
100077,2016-11-03,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2016/2016-11-03_eastern_summit_pc.md,final
100078,2017-01-05,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2017/2017-01-05_eastern_summit_pc.md,final
100080,2017-01-19,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2017/2017-01-19_eastern_summit_pc.md,final
100082,2017-02-02,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2017/2017-02-02_eastern_summit_pc.md,final
100085,2017-03-02,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2017/2017-03-02_eastern_summit_pc.md,final
100087,2017-03-16,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2017/2017-03-16_eastern_summit_pc.md,final
100091,2017-04-20,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2017/2017-04-20_eastern_summit_pc.md,final
100093,2017-05-04,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2017/2017-05-04_eastern_summit_pc.md,final
100096,2017-05-18,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2017/2017-05-18_eastern_summit_pc.md,final
100098,2017-06-01,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2017/2017-06-01_eastern_summit_pc.md,final
100100,2017-06-15,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2017/2017-06-15_eastern_summit_pc.md,final
100102,2017-07-06,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2017/2017-07-06_eastern_summit_pc.md,final
100104,2017-07-20,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2017/2017-07-20_eastern_summit_pc.md,final
100107,2017-08-17,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2017/2017-08-17_eastern_summit_pc.md,final
100109,2017-09-07,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2017/2017-09-07_eastern_summit_pc.md,final
100111,2017-09-21,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2017/2017-09-21_eastern_summit_pc.md,final
100114,2017-10-05,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2017/2017-10-05_eastern_summit_pc.md,final
100116,2017-11-02,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2017/2017-11-02_eastern_summit_pc.md,final
100119,2017-12-07,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2017/2017-12-07_eastern_summit_pc.md,final
100121,2018-01-04,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2018/2018-01-04_eastern_summit_pc.md,final
100123,2018-01-18,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2018/2018-01-18_eastern_summit_pc.md,final
100124,2018-02-01,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2018/2018-02-01_eastern_summit_pc.md,final
100126,2018-03-01,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2018/2018-03-01_eastern_summit_pc.md,final
100129,2018-03-29,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2018/2018-03-29_eastern_summit_pc.md,final
100130,2018-04-05,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2018/2018-04-05_eastern_summit_pc.md,final
100132,2018-05-03,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2018/2018-05-03_eastern_summit_pc.md,final
100134,2018-05-17,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2018/2018-05-17_eastern_summit_pc.md,final
100136,2018-06-07,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2018/2018-06-07_eastern_summit_pc.md,final
100139,2018-06-28,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2018/2018-06-28_eastern_summit_pc.md,final
100141,2018-07-19,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2018/2018-07-19_eastern_summit_pc.md,final
100143,2018-08-16,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2018/2018-08-16_eastern_summit_pc.md,final
100145,2018-09-06,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2018/2018-09-06_eastern_summit_pc.md,final
100147,2018-09-20,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2018/2018-09-20_eastern_summit_pc.md,final
100149,2018-10-04,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2018/2018-10-04_eastern_summit_pc.md,final
100151,2018-11-01,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2018/2018-11-01_eastern_summit_pc.md,final
100153,2018-11-15,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2018/2018-11-15_eastern_summit_pc.md,final
100154,2018-12-06,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2018/2018-12-06_eastern_summit_pc.md,final
100156,2019-01-03,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2019/2019-01-03_eastern_summit_pc.md,final
100158,2019-01-17,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2019/2019-01-17_eastern_summit_pc.md,final
100160,2019-02-07,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2019/2019-02-07_eastern_summit_pc.md,final
100164,2019-03-21,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2019/2019-03-21_eastern_summit_pc.md,final
100167,2019-04-18,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2019/2019-04-18_eastern_summit_pc.md,final
100169,2019-05-02,Eastern Summit County Planning Commission,Planning Commission,land_use/minutes/2019/2019-05-02_eastern_summit_pc.md,final
