clip_id,date,body,motion_no,motion_text,motion_type,result_raw,outcome,mover,seconder,aye,nay,names_recorded,source_file
100001,2015-01-08,Eastern Summit County Planning Commission,1,they will continue the public hearing until Feb 5 th,,(5 - 1),Pass,Clyde,Wharton,5,1,1,land_use/minutes/2015/2015-01-08_eastern_summit_pc.md
100001,2015-01-08,Eastern Summit County Planning Commission,2,approve the minutes as written,,(4 - 0),Pass,Vernon,Clyde,4,0,0,land_use/minutes/2015/2015-01-08_eastern_summit_pc.md
100001,2015-01-08,Eastern Summit County Planning Commission,3,approve the minutes as corrected,,(6 - 0),Pass,Henrie,Wharton,6,0,0,land_use/minutes/2015/2015-01-08_eastern_summit_pc.md
100001,2015-01-08,Eastern Summit County Planning Commission,4,adjourn,,(5 - 0),Pass,Hanson,,5,0,0,land_use/minutes/2015/2015-01-08_eastern_summit_pc.md
100002,2015-01-13,Snyderville Basin Planning Commission,1,"approve the minutes of the November 18, 2014, Snyderville Basin Planning Commission meeting as written",,,,Franklin,Peck,,,1,land_use/minutes/2015/2015-01-13_snyderville_basin_pc.md
100003,2015-01-15,Eastern Summit County Planning Commission,1,look at both ends of the County separately,,(6 – 0),Pass,Hanson,Ure,6,0,0,land_use/minutes/2015/2015-01-15_eastern_summit_pc.md
100003,2015-01-15,Eastern Summit County Planning Commission,2,"map the AG-1 zone of one-unit per acre, with a minimum lot size of ¾-acre, going back 500 feet on all paved Class D County maintained roads in North Summit Area",,(6 – 0),Pass,Vernon,Wharton,6,0,0,land_use/minutes/2015/2015-01-15_eastern_summit_pc.md
100003,2015-01-15,Eastern Summit County Planning Commission,3,leave it up to Staff’s discretion as to where to map the AG-6 zone,,(6 – 0),Pass,Vernon,Ure,6,0,0,land_use/minutes/2015/2015-01-15_eastern_summit_pc.md
100003,2015-01-15,Eastern Summit County Planning Commission,4,"have Staff map the Kamas Valley prior to 2004 HC zone standards, and that this be titled the AG-1 zone",,(4 – 2),Pass,Vernon,Wharton,4,2,1,land_use/minutes/2015/2015-01-15_eastern_summit_pc.md
100003,2015-01-15,Eastern Summit County Planning Commission,5,let Administrator Barnes use his discretion on mapping the AG-6 on the south side,,(6 – 0),Pass,Wharton,Ure,6,0,0,land_use/minutes/2015/2015-01-15_eastern_summit_pc.md
100003,2015-01-15,Eastern Summit County Planning Commission,6,adjourn,,(6 – 0),Pass,Vernon,,6,0,0,land_use/minutes/2015/2015-01-15_eastern_summit_pc.md
100004,2015-01-27,Snyderville Basin Planning Commission,1,"approve the minutes of the November 4, 2014, Snyderville Basin Planning Commission meeting as written",,,,Lawson,Franklin,,,0,land_use/minutes/2015/2015-01-27_snyderville_basin_pc.md
100004,2015-01-27,Snyderville Basin Planning Commission,2,"approve the minutes of the December 9, 2014, Snyderville Basin Planning Commission meeting as written",,,,Barnes,Franklin,,,0,land_use/minutes/2015/2015-01-27_snyderville_basin_pc.md
100005,2015-01-29,Eastern Summit County Planning Commission,1,map the HC zone back to the 500-foot boundary line,,(6 – 0),Pass,Wharton,Hanson,6,0,0,land_use/minutes/2015/2015-01-29_eastern_summit_pc.md
100005,2015-01-29,Eastern Summit County Planning Commission,2,adjourn,,(6 – 0),Pass,Wharton,,6,0,0,land_use/minutes/2015/2015-01-29_eastern_summit_pc.md
100006,2015-02-05,Eastern Summit County Planning Commission,1,approve the Plat Amendment according to the Findings of Fact and Conclusions of Law as outlined in the Staff Report,,(7 – 0),Pass,Wharton,Ure,7,0,0,land_use/minutes/2015/2015-02-05_eastern_summit_pc.md
100006,2015-02-05,Eastern Summit County Planning Commission,2,send a positive recommendation to the County Council to approve the amendment to the Development Agreement for the Promontory Development with the Findings of Facts and Conclusions of Law as stated in the Staff Report,,(7 – 0),Pass,Clyde,Hanson,7,0,0,land_use/minutes/2015/2015-02-05_eastern_summit_pc.md
100006,2015-02-05,Eastern Summit County Planning Commission,3,"based on Section 11-4-12 b.1 and b.6 of the Development Code, that RMP study and bring to the Commission a cost estimate in realigning the transmission line",,(7 – 0),Pass,Hanson,Wharton,7,0,0,land_use/minutes/2015/2015-02-05_eastern_summit_pc.md
100006,2015-02-05,Eastern Summit County Planning Commission,4,continue the public hearing to February 19 th with a possible action being taken,,(7 – 0),Pass,Henrie,Hanson,7,0,0,land_use/minutes/2015/2015-02-05_eastern_summit_pc.md
100006,2015-02-05,Eastern Summit County Planning Commission,5,approve the minutes as written,,(7 - 0),Pass,Ure,Hanson,7,0,0,land_use/minutes/2015/2015-02-05_eastern_summit_pc.md
100006,2015-02-05,Eastern Summit County Planning Commission,6,approve the minutes as corrected,,(6 - 0),Pass,Hanson,Ure,6,0,1,land_use/minutes/2015/2015-02-05_eastern_summit_pc.md
