candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
JP Baxter,"Metro Township Council (founding, at-large)",2016,2016-11-01,Interim (November),interim,0.00,50.00,-50.00,,0.00,,True,,0.00,,0.00,0,0,raw/2016_jp-baxter_copperton.pdf,ba0212f7,low,vision-transcribed(read-tool); totals-only(no itemization),
Kathleen Bailey,"Metro Township Council (founding, at-large)",2016,2016-11-01,Interim (November),interim,100.00,50.00,0.00,50.00,100.00,50.00,True,True,0.00,0.00,0.00,1,1,raw/2016_kathleen-bailey_copperton.pdf,70e16c96,medium,vision-transcribed(read-tool),
Ron Patrick,"Metro Township Council (founding, at-large)",2016,2016-11-01,Interim (November),interim,381.97,381.97,0.00,0.00,381.97,381.97,True,True,0.00,0.00,81.97,4,2,raw/2016_ron-patrick_copperton.pdf,e7cf415f,medium,vision-transcribed(read-tool),
Sean Clayton,"Metro Township Council (founding, at-large)",2016,2016-11-01,Interim (November),interim,50.00,50.00,0.00,0.00,50.00,50.00,True,True,0.00,0.00,50.00,1,1,raw/2016_sean-clayton_copperton.pdf,eb99024a,medium,vision-transcribed(read-tool),
Tessa Stitzer,"Metro Township Council (founding, at-large)",2016,2016-11-01,Interim (November),interim,250.00,201.30,0.00,48.70,,,,,,,0.00,0,0,raw/2016_tessa-stitzer_copperton.pdf,7a7b712e,low,vision-transcribed(read-tool); totals-only(no itemization); totals-only(no itemization),
Apollo Pazell,Metro Township Council At-Large (2017 @LRG / D-E cycle),2017,2017-11-01,Interim (November),interim,0.00,80.00,0.00,0.00,0.00,,True,,0.00,,0.00,0,0,raw/apollo-pazell-copperton_nov.pdf,6e3b6f06,low,vision-transcribed(read-tool); totals-only(no itemization),
JP Baxter,Metro Township Council At-Large (2017 @LRG / D-E cycle),2017,2017-11-01,Interim (November),interim,0.00,50.00,,,0.00,50.00,True,True,0.00,0.00,0.00,0,1,raw/jp-baxter-copperton_nov.pdf,67f8e18c,medium,vision-transcribed(read-tool),
Kevin Severson,Metro Township Council At-Large (2017 @LRG / D-E cycle),2017,2017-11-01,Interim (November),interim,50.00,50.00,0.00,0.00,,,,,,,0.00,0,0,raw/kevin-severson-copperton_nov-a.pdf,483e114f,low,vision-transcribed(read-tool); totals-only(no itemization); totals-only(no itemization),
Kathleen Bailey,Metro Township Council At-Large (2019 A/B/C cycle),2019,2019-10-01,Interim (October),interim,450.00,428.40,50.00,71.60,450.00,428.40,True,True,0.00,0.00,450.00,1,7,raw/kathleen-bailey-copperton_oct.pdf,430acaf3,medium,vision-transcribed(read-tool),
Tessa Stitzer,Metro Township Council At-Large (2019 A/B/C cycle),2019,2019-10-01,Interim (October),interim,50.00,50.00,0.00,0.00,50.00,,True,,0.00,,50.00,1,0,raw/tessa-stitzer-copperton_oct.pdf,3f3082c5,low,vision-transcribed(read-tool); totals-only(no itemization),
Kathleen Bailey,Metro Township Council At-Large (2019 A/B/C cycle),2019,2019-12-01,Year-end summary (December),summary,0.00,71.60,71.60,0.00,0.00,71.60,True,True,0.00,0.00,0.00,0,1,raw/kathleen-bailey-copperton_dec.pdf,84726dfc,medium,vision-transcribed(read-tool),
Sean Clayton,Metro Township Council At-Large (2019 A/B/C cycle),2019,2019-12-01,Year-end summary (December),summary,50.00,50.00,0.00,0.00,50.00,50.00,True,True,0.00,0.00,50.00,1,1,raw/sean-clayton-copperton_dec.pdf,7af27818,medium,vision-transcribed(read-tool),
Tessa Stitzer,Metro Township Council At-Large (2019 A/B/C cycle),2019,2019-12-01,Year-end summary (December),summary,0.00,0.00,0.00,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/tessa-stitzer-copperton_dec.pdf,04297e1a,medium,vision-transcribed(read-tool),
Dave Olsen,Metro Township Council At-Large Seat D,2021,2021-11-01,Interim (November),interim,50.00,50.00,0.00,0.00,50.00,50.00,True,True,0.00,0.00,50.00,1,1,raw/dave-olsen-copperton-d_nov.pdf,82e6bdbf,medium,vision-transcribed(read-tool),
Kevin Severson,Metro Township Council At-Large Seat E,2021,2021-11-01,Interim (November),interim,50.00,50.00,0.00,0.00,,,,,,,0.00,0,0,raw/kevin-severson-copperton_nov-b.pdf,5e1b2bf5,low,vision-transcribed(read-tool); totals-only(no itemization); totals-only(no itemization),
Ronald Patrick,Metro Township Council At-Large Seat E,2021,2021-11-01,Interim (November),interim,50.00,50.00,0.00,0.00,,,,,,,0.00,0,0,raw/ronald-patrick-copperton-e_nov.pdf,63f1c048,low,vision-transcribed(read-tool); totals-only(no itemization); totals-only(no itemization),
Dave Olsen,Metro Township Council At-Large Seat D,2021,2021-12-01,Year-end summary (December),summary,0.00,0.00,0.00,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/dave-olsen-copperton_dec.pdf,8b6e5911,medium,vision-transcribed(read-tool),
Kevin Severson,Metro Township Council At-Large Seat E,2021,2021-12-01,Year-end summary (December),summary,,,0.00,0.00,,,,,,,0.00,0,0,raw/kevin-severson-copperton_dec.pdf,b0453273,low,vision-transcribed(read-tool),
Ronald Patrick,Metro Township Council At-Large Seat E,2021,2021-12-01,Year-end summary (December),summary,0.00,0.00,0.00,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/ron-patrick-copperton_dec.pdf,9da3abc5,medium,vision-transcribed(read-tool),
