date,candidate,office,council_seat,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,text_path,channel,wayback_url,listing_page,listing_posted_date,form_family,office_stated,candidate_stated,office_basis,office_evidence,vision_key,cycle_parity,date_precision,date_source,bytes,sha256,text_chars,fetched_utc,scope_status,needs_review,notes
2008-04-23,Vonda Collins,County Council,,2008,c_and_e_report,,Vonda Collins — Cache County candidate financial campaign report (2008),http://www.cachecounty.org/docs/elections/disclosures/vcollins.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2008/2008_wb_vcollins.pdf,text/2008_wb_vcollins.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/vcollins.pdf,http://web.archive.org/web/20081207055606/http://www.cachecounty.org/elections/disclosures.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),"page 1 'Name of Office' line reads, in the filer's hand, 'Cache County Council'; 'Political Party' reads 'Republican'; the printed frame cites Utah Code 17-16-6.5 and the footer is '5-5-PG Carr Printing Company'",e9cf3947,even,exact,archived_listing_row,143398,f337deedc36708a8ff1e1f00e26ec9722d76809177a269aaacb30ebabf30f2f4,1880,2026-08-01T00:00:00Z,county_confirmed,0,
2008-07-17,Leslie P. Larson,County Council,South,2008,c_and_e_report,Pre-Primary,Leslie P. Larson — Cache County candidate financial campaign report (2008),http://www.cachecounty.org/docs/elections/disclosures/llarson.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2008/2008_wb_llarson.pdf,text/2008_wb_llarson.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/llarson.pdf,http://web.archive.org/web/20081207055606/http://www.cachecounty.org/elections/disclosures.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'County Council'; 'Office District' reads 'South'; 'Political Party' reads 'Republican',dbac7c8b,even,exact,archived_listing_row,109161,6d7bfcc89bd5a7fedacf128a1810894e73eb2abdb3944c234c7222b5be1f354a,1866,2026-08-01T00:00:00Z,county_confirmed,0,
2008-10-21,Cory Yeates,County Council,Seat # 1,2008,c_and_e_report,Pre-General,Cory Yeates — Cache County candidate financial campaign report (2008),http://www.cachecounty.org/docs/elections/disclosures/cyeates.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2008/2008_wb_cyeates.pdf,text/2008_wb_cyeates.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/cyeates.pdf,http://web.archive.org/web/20081207055606/http://www.cachecounty.org/elections/disclosures.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'Cache County Council Seat #1'; 'Office District' reads 'Seat # 1',8ba49d9f,even,exact,archived_listing_row,171807,918dedd2d895fc2562c0165939eff2527ac8a9d076426b137c50517af82beaf5,5537,2026-08-01T00:00:00Z,county_confirmed,0,
2008-10-22,Barnard Jon White,County Council,South,2008,c_and_e_report,Pre-General,Barnard Jon White — Cache County candidate financial campaign report (2008),http://www.cachecounty.org/docs/elections/disclosures/bjwhite.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2008/2008_wb_bjwhite.pdf,text/2008_wb_bjwhite.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/bjwhite.pdf,http://web.archive.org/web/20081207055606/http://www.cachecounty.org/elections/disclosures.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'Cache County Council'; 'Office District' reads 'South'; 'Political Party' reads 'Republican',56e2d1a7,even,exact,archived_listing_row,176495,37f2239268f3e5700adc311e45085d03458e19643415a1430f321883e008bff6,5670,2026-08-01T00:00:00Z,county_confirmed,0,
2008-10-27,Kathy Robison,County Council,Logan Seat #2,2008,c_and_e_report,Pre-General,Kathy Robison — Cache County candidate financial campaign report (2008),http://www.cachecounty.org/docs/elections/disclosures/krobison.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2008/2008_wb_krobison.pdf,text/2008_wb_krobison.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/krobison.pdf,http://web.archive.org/web/20081207055606/http://www.cachecounty.org/elections/disclosures.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'Cache County Council'; 'Office District' reads 'Logan Seat #2',f0a8d5d0,even,exact,archived_listing_row,179919,b663df200fefd84ce1ae74893da58e85aeccce7696b5d516139762901266f21f,5899,2026-08-01T00:00:00Z,county_confirmed,0,
2008-10-28,David Bigelow,County Council,COUNTY COUNCIL SOUTH,2008,c_and_e_report,Pre-General,David Bigelow — Cache County candidate financial campaign report (2008),http://www.cachecounty.org/docs/elections/disclosures/dbigelow.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2008/2008_wb_dbigelow.pdf,text/2008_wb_dbigelow.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/dbigelow.pdf,http://web.archive.org/web/20081207055606/http://www.cachecounty.org/elections/disclosures.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'COUNTY COUNCIL'; 'Office District' reads 'COUNTY COUNCIL SOUTH'; 'Political Party' reads 'DEMOCRATIC',db4ac641,even,exact,archived_listing_row,182319,9c63044f60548c0124746f88c101db733ad5e1b103d3132b9b2408ad168589f1,6022,2026-08-01T00:00:00Z,county_confirmed,0,
2008-10-28,Linda Worlton,County Council,Logan 2,2008,c_and_e_report,Pre-General,Linda Worlton — Cache County candidate financial campaign report (2008),http://www.cachecounty.org/docs/elections/disclosures/lworlton.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2008/2008_wb_lworlton.pdf,text/2008_wb_lworlton.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/lworlton.pdf,http://web.archive.org/web/20081207055606/http://www.cachecounty.org/elections/disclosures.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'Cache County Council'; 'Office District' reads 'Logan 2'; 'Political Party' reads 'Democrat',7ef284e5,even,exact,archived_listing_row,187519,71426023e050d8c46c71f4f35131805274f01cd98e695e718df1c8e62ae2ef6d,5979,2026-08-01T00:00:00Z,county_confirmed,0,
2008-11-24,Barnard Jon White,County Council,South,2008,c_and_e_report,Post-General,Barnard Jon White — Cache County candidate financial campaign report (2008),http://www.cachecounty.org/docs/elections/disclosures/jwhite.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2008/2008_wb_jwhite.pdf,text/2008_wb_jwhite.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/jwhite.pdf,http://web.archive.org/web/20081207055606/http://www.cachecounty.org/elections/disclosures.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'Cache County Council'; 'Office District' reads 'South',cc4cc120,even,exact,archived_listing_row,34094,b7393fb537302e81c62f38e2f82bf01c92d6bc15b3d6c602470cc11cb7730ace,1102,2026-08-01T00:00:00Z,county_confirmed,0,
2008-11-24,Kathy Robison,County Council,Logan Seat #2,2008,c_and_e_report,Post-General,Kathy Robison — Cache County candidate financial campaign report (2008),http://www.cachecounty.org/docs/elections/disclosures/krobison1124.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2008/2008_wb_krobison1124.pdf,text/2008_wb_krobison1124.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/krobison1124.pdf,http://web.archive.org/web/20081207055606/http://www.cachecounty.org/elections/disclosures.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'Cache County Council'; 'Office District' reads 'Logan Seat #2',feff6708,even,exact,archived_listing_row,40222,20baf2bca0490e4844784d2eaf4d30263cbc6e749efffe104c7997389b21578a,1153,2026-08-01T00:00:00Z,county_confirmed,0,
2008-12-03,David Bigelow,County Council,COUNTY COUNCIL SOUTH,2008,c_and_e_report,Final / Year-End Summary,David Bigelow — Cache County candidate financial campaign report (2008),http://www.cachecounty.org/docs/elections/disclosures/dbigelow1203.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2008/2008_wb_dbigelow1203.pdf,text/2008_wb_dbigelow1203.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/dbigelow1203.pdf,http://web.archive.org/web/20081207055606/http://www.cachecounty.org/elections/disclosures.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'COUNTY COUNCIL SOUTH'; 'Political Party' reads 'DEMOCRATIC',96d0add2,even,exact,archived_listing_row,122633,e1804a147d168348c971db8137c492f5e523df708caf6ba03af02003bb537714,2580,2026-08-01T00:00:00Z,county_confirmed,0,
