candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes
Barnard Jon White,County Council,2008,2008-10-22,Pre-General,c_and_e_report,922,922,,0,,,,,,,,0,0,raw/2008/2008_wb_bjwhite.pdf,cache_county|37f2239268f3|raw/2008/2008_wb_bjwhite.pdf,high,'TOTALS FROM LAST REPORT' column left entirely blank.
Barnard Jon White,County Council,2008,2008-11-24,Post-General,c_and_e_report,922,922,,0,,,,,,,,0,0,raw/2008/2008_wb_jwhite.pdf,cache_county|b7393fb53730|raw/2008/2008_wb_jwhite.pdf,high,"'TO ___ County Clerk' left blank. Lines 1 and 3 of the THIS-REPORT column carry a dash, recorded as blank."
Cory Yeates,County Council,2008,2008-10-21,Pre-General,c_and_e_report,40,40,,,,,,,,,,0,0,raw/2008/2008_wb_cyeates.pdf,cache_county|918dedd2d895|raw/2008/2008_wb_cyeates.pdf,medium,"The filer entered every figure in the 'TOTALS FROM LAST REPORT' column and left 'TOTALS FOR THIS REPORT' blank; the CUMULATIVE column carries only lines 2 and 3. Zeros on lines 1 and 4 are hand-drawn slashed-O glyphs. Retained as filed, never re-columned."
Cory Yeates,County Council,2008,2008-12-04,Final / Year-End Summary,c_and_e_report,40,40,,0,,,,,,,,0,0,raw/2008/2008_wb_cyeates1204.pdf,cache_county|306ddb0fdacd|raw/2008/2008_wb_cyeates1204.pdf,medium,Figures entered in the LAST-REPORT and CUMULATIVE columns; 'TOTALS FOR THIS REPORT' left blank throughout. Zeros are hand-drawn slashed-O glyphs.
David Bigelow,County Council,2008,2008-10-28,Pre-General,c_and_e_report,1360.37,950.62,,409.75,,,,,,,,0,0,raw/2008/2008_wb_dbigelow.pdf,cache_county|9c63044f6054|raw/2008/2008_wb_dbigelow.pdf,high,The LAST-REPORT column is written 'N/A' on every line.
David Bigelow,County Council,2008,2008-12-03,Final / Year-End Summary,c_and_e_report,1360.37,1564.32,,0,,,,,,,,0,0,raw/2008/2008_wb_dbigelow1203.pdf,cache_county|e1804a147d16|raw/2008/2008_wb_dbigelow1203.pdf,medium,"Line 4 CUMULATIVE box holds a hand-drawn slashed-O, with '(264.32)' written on the line BELOW the box. Both marks are recorded here (the box as '0', the annotation in this note); neither is arbitrated and no balance was recomputed."
Kathy Robison,County Council,2008,2008-10-27,Pre-General,c_and_e_report,90.00,1328.62,,1238.62,,,,,,,,0,0,raw/2008/2008_wb_krobison.pdf,cache_county|b663df200fef|raw/2008/2008_wb_krobison.pdf,high,Only the CUMULATIVE column is filled in; LAST-REPORT and THIS-REPORT columns are blank on every line.
Kathy Robison,County Council,2008,2008-11-24,Post-General,c_and_e_report,90.00,1328.62,,123862,,,,,,,,0,0,raw/2008/2008_wb_krobison1124.pdf,cache_county|20baf2bca049|raw/2008/2008_wb_krobison1124.pdf,high,"Line 4 CUMULATIVE is written '123862' with no decimal point (the LAST-REPORT box on the same line reads '1238.62'); transcribed exactly as written, not corrected."
Leslie P. Larson,County Council,2008,2008-07-17,Pre-Primary,c_and_e_report,0,360,,360,,,,,,,,0,0,raw/2008/2008_wb_llarson.pdf,cache_county|6d7bfcc89bd5|raw/2008/2008_wb_llarson.pdf,medium,Zeros are hand-drawn open-O glyphs. The 360 figures carry a trailing dash for the cents position.
Linda Worlton,County Council,2008,2008-10-28,Pre-General,c_and_e_report,885.00,655.42,,229.58,,,,,,,,0,0,raw/2008/2008_wb_lworlton.pdf,cache_county|71426023e050|raw/2008/2008_wb_lworlton.pdf,high,'TO ___ County Clerk' left blank; LAST-REPORT column blank on every line.
Vonda Collins,County Council,2008,2008-04-23,,c_and_e_report,100.00,193.62,,-93.62,,,,,,,,0,0,raw/2008/2008_wb_vcollins.pdf,cache_county|f337deedc367|raw/2008/2008_wb_vcollins.pdf,high,"contributions <=$50 cumulative printed as 'NA' (not a number) — stated total omits it; 'TOTALS FROM LAST REPORT' column carries a dash on lines 1-2 (nothing previously reported) and is blank on lines 3-4; recorded as blank, not zero. Lines 1/2 use 'NA' verbatim for the under-$50 aggregate."
Kathleen Howell,Assessor,2010,2010-10-13,Pre-General,c_and_e_report,0,326.15,,-326.15,,,,,,,,0,0,raw/2010/2010_wb_khowell.pdf,cache_county|a0b4a2a45618|raw/2010/2010_wb_khowell.pdf,medium,Zeros on lines 1-2 are hand-drawn open-O glyphs.
Jill N. Zollinger,Clerk/Auditor,2010,2010-10-13,Pre-General,c_and_e_report,0,326.15,,-326.15,,,,,,,,0,0,raw/2010/2010_wb_jzollinger.pdf,cache_county|e5f921e323ef|raw/2010/2010_wb_jzollinger.pdf,high,"This filing is TYPEWRITTEN, not handwritten — the sitting County Clerk filing for her own office. Zeros are written '-0-'."
Tamra Stones,Clerk/Auditor,2010,2010-10-25,Pre-General,c_and_e_report,0,326.15,,326.15,,,,,,,,0,0,raw/2010/2010_wb_tstones.pdf,cache_county|e4bbe3fdefde|raw/2010/2010_wb_tstones.pdf,medium,'Cache County Auditor' is the pre-consolidation title of the office this repo standardizes as Clerk/Auditor; the verbatim line is retained.
James Swink,County Attorney,2010,2010-10-25,Pre-General,c_and_e_report,0,499.14,,0,,,,,,,,0,0,raw/2010/2010_wb_jswink.pdf,cache_county|873124d9bb13|raw/2010/2010_wb_jswink.pdf,medium,"LAST-REPORT column is written 'NONE'/'None' in words. Line 3 CUMULATIVE is written '499 14/100' (cheque-style cents notation, as the superscript-cents forms elsewhere on these pages) — transcribed 499.14. Zeros in the CUMULATIVE column are hand-drawn open-O glyphs with a trailing dash."
Gordon Zilles,County Council,2010,2010-10-13,Pre-General,c_and_e_report,,,,,,,,,,,,0,0,raw/2010/2010_wb_gzilles.pdf,cache_county|5df57b728d71|raw/2010/2010_wb_gzilles.pdf,medium,All four zeros are hand-drawn open-O glyphs and sit ONLY in the 'TOTALS FROM LAST REPORT' column; the THIS-REPORT and CUMULATIVE columns are blank. Recorded as filed; nothing carried across columns.
H. Craig Petersen,County Council,2010,2010-10-13,Pre-General,c_and_e_report,0,0,,0,,,,,,,,0,0,raw/2010/2010_wb_hcpetersen.pdf,cache_county|93c340da9eda|raw/2010/2010_wb_hcpetersen.pdf,medium,Every one of the twelve boxes carries a hand-drawn zero glyph (an open O with a tail) — a zero-activity report.
Mark Daines,County Council,2010,2010-10-26,Pre-General,c_and_e_report,0,2943.41,,0,,,,,,,,0,0,raw/2010/2010_wb_mdaines.pdf,cache_county|ba3996102ebe|raw/2010/2010_wb_mdaines.pdf,medium,"The filer repeated 2943.41 across all three columns of lines 3-4 (the CUMULATIVE box of line 4 instead carries a slashed zero) — internally inconsistent as filed, retained verbatim and not arbitrated. Cents are written as superscript '41'."
Val Potter,County Council,2010,2010-10-21,Pre-General,c_and_e_report,0,3699.01,,3500.99,,,,,,,,0,0,raw/2010/2010_wb_vpotter.pdf,cache_county|189b697286d4|raw/2010/2010_wb_vpotter.pdf,medium,"contributions >$50 cumulative printed as '7,200.' (not a number) — stated total omits it; Line 1 is written '7,200.' with no cents digits. Zeros are hand-drawn open-O glyphs."
M. Lynn Lemon,County Executive,2010,2010-10-13,Pre-General,c_and_e_report,,,,,,,,,,,,0,0,raw/2010/2010_wb_mllemon.pdf,cache_county|53a9f9cba530|raw/2010/2010_wb_mllemon.pdf,high,"contributions >$50 cumulative printed as '.00' (not a number) — stated total omits it; contributions <=$50 cumulative printed as '.00' (not a number) — stated total omits it; ⚠ The office line names TWO offices ('CACHE COUNTY EXECUTIVE/SURVEYOR'); office_std is set to County Executive (the first-named) and the verbatim string is retained — Surveyor is a Cache County elective office too, so this row should not be read as a clean single-office attribution. Every one of the twelve boxes is written '.00' (a cents mark with no dollars), transcribed verbatim."
Michael Gleed,Recorder,2010,2010-10-19,Pre-General,c_and_e_report,5158.40,5158.40,,0,,,,,,,,0,0,raw/2010/2010_wb_mgleed.pdf,cache_county|280bf335c594|raw/2010/2010_wb_mgleed.pdf,medium,"Zeros are hand-drawn slashed-O glyphs. Line 1 THIS/CUM are written '5138,40' / '5138.40'."
G. Lynn Nelson,Sheriff,2010,2010-10-13,Pre-General,c_and_e_report,784.00,388.06,,395.94,,,,,,,,0,0,raw/2010/2010_wb_lnelson.pdf,cache_county|83972c46db4a|raw/2010/2010_wb_lnelson.pdf,high,"Line 1 is written with a stray comma ('7,84.00' / '784,00'); read as 784.00 on both boxes. Line 2 THIS-REPORT carries a dash, recorded blank."
Karen Jeppesen,Treasurer,2010,2010-10-25,Pre-General,c_and_e_report,0,326.15,,326.15,,,,,,,,0,0,raw/2010/2010_wb_kjeppesen.pdf,cache_county|f13785b91dfc|raw/2010/2010_wb_kjeppesen.pdf,high,Zeros written '-0-'. THIS-REPORT column blank on lines 3-4.
B Franklin,County Council,2012,2012-10,Pre-General,c_and_e_report,0,0,,0,,,,,,,,0,0,raw/2012/2012_cc_B_Franklin_campaign_finance.pdf,cache_county|2a94d7b6998d|raw/2012/2012_cc_B_Franklin_campaign_finance.pdf,medium,All twelve boxes carry a hand-drawn slashed-O zero glyph — a zero-activity report.
Barnard Jon White,County Council,2012,2012-10-16,Pre-General,c_and_e_report,,,,,,,,,,,,0,0,raw/2012/2012_st_Barnard_Jon_White_10_16_12_general.pdf,cache_county|8b3d3cb7f4bc|raw/2012/2012_st_Barnard_Jon_White_10_16_12_general.pdf,high,"All twelve boxes carry a horizontal DASH, not a digit — recorded blank, never read as zero. Signature date reads only 'Oct 16' (no year)."
Barnard Jon White,County Council,2012,2012-12-11,Pre-General,c_and_e_report,,,,,,,,,,,,0,0,raw/2012/2012_st_Barnard_Jon_White_12_11_12_General.pdf,cache_county|5398dd079ffe|raw/2012/2012_st_Barnard_Jon_White_12_11_12_General.pdf,high,"All twelve boxes carry a horizontal DASH, not a digit — recorded blank throughout, never read as zero.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
Barry Martin Franklin,County Council,2012,2012-10-26,Pre-General,c_and_e_report,0,0,,0,,,,,,,,0,0,raw/2012/2012_st_Barry_Martin_Franklin_10_26_12_general.pdf,cache_county|19f44309bc99|raw/2012/2012_st_Barry_Martin_Franklin_10_26_12_general.pdf,medium,State-disclosures copy of the same filing as the county-site 2012_cc_B_Franklin_campaign_finance.pdf. All twelve boxes carry a slashed-O zero.
C Buttars,County Council,2012,2012-10,Pre-General,c_and_e_report,,,,,,,,,,,,0,0,raw/2012/2012_cc_C_Buttars_finance_campaign.pdf,cache_county|19a2961eb217|raw/2012/2012_cc_C_Buttars_finance_campaign.pdf,high,contributions >$50 cumulative printed as '1521.' (not a number) — stated total omits it; Figures are written with a trailing period and no cents. Line 2 carries dashes in all three columns (recorded blank); lines 3-4 are filled only in the CUMULATIVE column.
C Buttars,County Council,2012,2012-12-06,Final / Year-End Summary,c_and_e_report,,,,,,,,,,,,0,0,raw/2012/2012_cc_C_Buttars_finance_campaign_12_6_12.pdf,cache_county|83be948a9aa3|raw/2012/2012_cc_C_Buttars_finance_campaign_12_6_12.pdf,high,contributions >$50 cumulative printed as '1521.' (not a number) — stated total omits it; December re-filing of the same figures as the October report. Line 2 carries dashes (recorded blank).; one transcription applied to 2 index rows (identical bytes)
C Yeates,County Council,2012,2012-10,Pre-General,c_and_e_report,825.00,1239.00,,-414,,,,,,,,0,0,raw/2012/2012_cc_C_Yeates_finance_campaign.pdf,cache_county|efe473afb744|raw/2012/2012_cc_C_Yeates_finance_campaign.pdf,medium,"Line 1 LAST-REPORT box contains a struck-through '700.00' (crossed out by the filer) — recorded blank, the strike-through is not transcribed as a value. Cents are written as superscript '00'."
