candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review,geometry
Craig Anhder,County Executive,,2026,2025-09-09,,,Website,Website,,186.18,False,False,raw/2025/2025_cc_2025_Craig_Anhder_Financial_Docusign.pdf,cache_county|1f8c9e192640|raw/2025/2025_cc_2025_Craig_Anhder_Financial_Docusign.pdf,93,high,cache_cfd/text/dash,1,p3:l93:c24-30
Craig Anhder,County Executive,,2026,2025-09-09,,,Email,Email,,112.12,False,False,raw/2025/2025_cc_2025_Craig_Anhder_Financial_Docusign.pdf,cache_county|1f8c9e192640|raw/2025/2025_cc_2025_Craig_Anhder_Financial_Docusign.pdf,94,high,cache_cfd/text/dash,1,p3:l94:c34-40
Craig Anhder,County Executive,,2026,2025-09-09,,,Texting,Texting,,142.71,False,False,raw/2025/2025_cc_2025_Craig_Anhder_Financial_Docusign.pdf,cache_county|1f8c9e192640|raw/2025/2025_cc_2025_Craig_Anhder_Financial_Docusign.pdf,95,high,cache_cfd/text/dash,1,p3:l95:c28-34
Craig Anhder,County Executive,,2026,2025-09-09,,,Park,Park,,25.00,False,False,raw/2025/2025_cc_2025_Craig_Anhder_Financial_Docusign.pdf,cache_county|1f8c9e192640|raw/2025/2025_cc_2025_Craig_Anhder_Financial_Docusign.pdf,96,high,cache_cfd/text/dash,1,p3:l96:c32-37
Craig Anhder,County Executive,,2026,2025-09-09,,,Dry Ice,Dry Ice,,43.00,False,False,raw/2025/2025_cc_2025_Craig_Anhder_Financial_Docusign.pdf,cache_county|1f8c9e192640|raw/2025/2025_cc_2025_Craig_Anhder_Financial_Docusign.pdf,97,high,cache_cfd/text/dash,1,p3:l97:c23-26
Craig Anhder,County Executive,,2026,2025-09-09,,,Print Material,Print Material,,1018.47,False,False,raw/2025/2025_cc_2025_Craig_Anhder_Financial_Docusign.pdf,cache_county|1f8c9e192640|raw/2025/2025_cc_2025_Craig_Anhder_Financial_Docusign.pdf,98,high,cache_cfd/text/dash,1,p3:l98:c41-49
Craig Anhder,County Executive,,2026,2025-09-09,,,Badger - Stickers,Badger - Stickers,,70.14,False,False,raw/2025/2025_cc_2025_Craig_Anhder_Financial_Docusign.pdf,cache_county|1f8c9e192640|raw/2025/2025_cc_2025_Craig_Anhder_Financial_Docusign.pdf,99,high,cache_cfd/text/whitespace,1,p3:l99:c25-30
Dirk Lewis Anderson,County Executive,,2026,2025-09-09,,2025-09-02,- Amazon.com -,- Amazon.com -,,106.45,False,False,raw/2025/2025_cc_2025_Dirk_Anderson_Financial_Docusign.pdf,cache_county|2d128dbccfd5|raw/2025/2025_cc_2025_Dirk_Anderson_Financial_Docusign.pdf,94,high,cache_cfd/text/whitespace,1,p3:l94:c24-31
Dirk Lewis Anderson,County Executive,,2026,2025-09-09,,2025-08-23,- Big Deal Outlet -,- Big Deal Outlet -,,8.23,False,False,raw/2025/2025_cc_2025_Dirk_Anderson_Financial_Docusign.pdf,cache_county|2d128dbccfd5|raw/2025/2025_cc_2025_Dirk_Anderson_Financial_Docusign.pdf,95,high,cache_cfd/text/whitespace,1,p3:l95:c30-35
Dirk Lewis Anderson,County Executive,,2026,2025-09-09,,,home visits 8/30/2025 - Square One Printing -,home visits 8/30/2025 - Square One Printing -,,433.35,False,False,raw/2025/2025_cc_2025_Dirk_Anderson_Financial_Docusign.pdf,cache_county|2d128dbccfd5|raw/2025/2025_cc_2025_Dirk_Anderson_Financial_Docusign.pdf,96,high,cache_cfd/text/whitespace,1,p3:l96:c46-53
Dirk Lewis Anderson,County Executive,,2026,2025-09-09,,2025-08-18,- Himalayan Flavor -,- Himalayan Flavor -,,43.58,False,False,raw/2025/2025_cc_2025_Dirk_Anderson_Financial_Docusign.pdf,cache_county|2d128dbccfd5|raw/2025/2025_cc_2025_Dirk_Anderson_Financial_Docusign.pdf,98,high,cache_cfd/text/whitespace,1,p3:l98:c31-37
Mark Hurd,County Executive,,2026,2025-09-09,,,Flyer,Flyer,,256.80,False,False,raw/2025/2025_cc_2025_Mark_Hurd_Financial_Docusign.pdf,cache_county|62f9937b176d|raw/2025/2025_cc_2025_Mark_Hurd_Financial_Docusign.pdf,96,high,cache_cfd/text/dash,1,p3:l96:c30-37
Mark Hurd,County Executive,,2026,2025-09-09,,,Stickers,Stickers,,74.90,False,False,raw/2025/2025_cc_2025_Mark_Hurd_Financial_Docusign.pdf,cache_county|62f9937b176d|raw/2025/2025_cc_2025_Mark_Hurd_Financial_Docusign.pdf,99,high,cache_cfd/text/dash,1,p3:l99:c33-39
Mark Hurd,County Executive,,2026,2025-09-09,,,Website,Website,,34.25,False,False,raw/2025/2025_cc_2025_Mark_Hurd_Financial_Docusign.pdf,cache_county|62f9937b176d|raw/2025/2025_cc_2025_Mark_Hurd_Financial_Docusign.pdf,100,high,cache_cfd/text/dash,1,p3:l100:c16-22
Micah Safsten,County Executive,,2026,2025-09-09,,2025-08-20,Squarespace,Squarespace,"Website, Domain Name",15.02,False,False,raw/2025/2025_cc_2025_Micah_Safsten_Financial_Docusign.pdf,cache_county|9b04eac77463|raw/2025/2025_cc_2025_Micah_Safsten_Financial_Docusign.pdf,97,high,cache_cfd/text/dash,0,p3:l97:c49-55
Micah Safsten,County Executive,,2026,2025-09-09,,2025-08-21,Squarespace,Squarespace,"Website, User Subscription",26.83,False,False,raw/2025/2025_cc_2025_Micah_Safsten_Financial_Docusign.pdf,cache_county|9b04eac77463|raw/2025/2025_cc_2025_Micah_Safsten_Financial_Docusign.pdf,98,high,cache_cfd/text/dash,0,p3:l98:c55-61
