week_ending,period_start,n_comments,n_meetings,n_motions,n_contested,meeting_types
2016-12-05,2016-11-29,0,1,0,0,city council meeting 118
2016-12-12,2016-12-06,0,1,0,0,city council meeting 119
2016-12-19,2016-12-13,0,1,0,0,city council meeting 120
2016-12-26,2016-12-20,0,1,0,0,city council meeting 121
2017-01-02,2016-12-27,0,1,0,0,city council elect agenda 100
2017-01-09,2017-01-03,0,2,11,0,city council meeting 122; city council special meeting agenda 99
2017-01-23,2017-01-17,0,2,9,0,city council agenda 97; city council agenda 98
2017-01-30,2017-01-24,0,1,7,0,city council agenda 96
2017-02-06,2017-01-31,0,1,4,0,city council agenda 95
2017-02-13,2017-02-07,0,1,1,0,city council agenda 94
2017-02-27,2017-02-21,0,2,8,0,city council agenda 93; city council agenda amended 92
2017-03-06,2017-02-28,0,1,1,0,city council agenda 91
2017-03-13,2017-03-07,0,1,0,0,city council agenda 90
2017-03-20,2017-03-14,0,1,0,0,city council agenda 88
2017-03-27,2017-03-21,0,2,2,0,city council agenda amended 87; city council special meeting agenda 89
2017-04-03,2017-03-28,0,1,1,0,city council agenda 86
2017-04-10,2017-04-04,0,1,2,0,city council agenda 85
2017-04-17,2017-04-11,0,1,6,0,city council agenda 84
2017-04-24,2017-04-18,0,1,5,0,city council agenda 83
2017-05-01,2017-04-25,0,1,4,0,city council agenda 82
2017-05-08,2017-05-02,0,1,6,0,city council agenda 81
2017-05-15,2017-05-09,0,1,3,0,city council regular meeting agenda 80
2017-05-22,2017-05-16,0,1,4,0,city council regular meeting agenda 79
2017-05-29,2017-05-23,0,1,0,0,city council special meeting 109
2017-06-05,2017-05-30,0,2,9,0,city council agenda 77; city council agenda 78
2017-06-12,2017-06-06,0,2,8,0,city council agenda 75; city council agenda 76
2017-06-19,2017-06-13,0,2,5,0,city council agenda 73; city council agenda 74
2017-06-26,2017-06-20,0,1,5,0,city council agenda 72
2017-07-10,2017-07-04,0,1,9,0,city council agenda 71
2017-07-17,2017-07-11,0,1,5,0,city council agenda 70
2017-07-31,2017-07-25,0,1,3,0,city council agenda 69
2017-08-07,2017-08-01,0,1,8,0,city council agenda 68
2017-08-14,2017-08-08,0,1,5,0,city council agenda 67
2017-08-28,2017-08-22,0,1,2,0,city council agenda 66
2017-09-11,2017-09-05,0,1,0,0,city council agenda 117
2017-09-18,2017-09-12,0,2,2,0,city council agenda 64; city council work session meeting 123
2017-09-25,2017-09-19,0,2,5,0,city council agenda 63; city council work session meeting 124
2017-10-02,2017-09-26,0,1,2,0,city council agenda 62
2017-10-16,2017-10-10,0,1,7,0,city council agenda 61
2017-10-23,2017-10-17,0,1,5,0,city council agenda 60
2017-10-30,2017-10-24,0,1,3,0,city council agenda 59
2017-11-06,2017-10-31,0,1,1,0,city council agenda 58
2017-11-13,2017-11-07,0,1,2,0,city council agenda 57
2017-11-27,2017-11-21,0,2,7,0,board of canvassers general election returns; city council agenda 56
2017-12-11,2017-12-05,0,1,9,0,city council agenda 55
2018-01-08,2018-01-02,0,1,16,0,city council agenda 54
2018-01-22,2018-01-16,0,1,10,0,city council agenda 53
2018-02-12,2018-02-06,0,1,16,0,city council agenda 52
2018-02-19,2018-02-13,0,1,0,0,city council and planning commission agenda 51
2018-02-26,2018-02-20,0,1,5,0,city council agenda 49
2018-03-05,2018-02-27,0,1,0,0,city council agenda 115
2018-03-12,2018-03-06,0,1,8,0,city council agenda 48
2018-03-26,2018-03-20,0,1,10,0,city council agenda 47
2018-04-09,2018-04-03,0,1,8,0,city council agenda 46
2018-04-23,2018-04-17,0,1,9,0,city council agenda 45
2018-04-30,2018-04-24,0,1,0,0,city center meeting agenda 113
2018-05-14,2018-05-08,0,2,14,0,city council agenda 44; community reinvestment agency regular meeting agenda 157
2018-06-04,2018-05-29,0,1,9,0,city council agenda 43
2018-06-11,2018-06-05,0,1,11,0,city council agenda 42
2018-06-25,2018-06-19,0,1,12,0,city council agenda 116
2018-07-09,2018-07-03,0,2,11,0,city council agenda 40; community reinvestment agency regular meeting agenda 153
2018-07-16,2018-07-10,0,1,1,0,city council agenda 39
2018-07-30,2018-07-24,0,2,9,0,community reinvestment agency regular meeting agenda 151; town hall agenda 114
2018-08-06,2018-07-31,0,1,0,0,district meeting agenda 102
2018-08-13,2018-08-07,0,3,18,0,city council agenda 37; community reinvestment agency regular meeting agenda 149; district meeting agenda 103
2018-08-27,2018-08-21,0,1,13,0,city council agenda 36
2018-09-10,2018-09-04,0,1,9,0,city council agenda 101
2018-09-24,2018-09-18,0,1,8,0,city council agenda 160
2018-10-08,2018-10-02,0,1,13,0,city council agenda 161
2018-10-22,2018-10-16,0,1,12,0,city council meeting agenda and packet 169
2018-11-19,2018-11-13,0,2,5,0,city council meeting agenda and packet 183; cra meeting agenda and packet 184
2018-11-26,2018-11-20,0,2,19,0,city council meeting agenda and packet 185; cra meeting agenda and packet 187
2018-12-10,2018-12-04,0,2,12,0,city council meeting agenda and packet 192; cra meeting agenda and packet 191
2018-12-17,2018-12-11,0,1,1,0,city council special work meeting agenda 190
2019-01-14,2019-01-08,0,2,10,0,city council meeting agenda and packet 196; cra meeting agenda and packet 199
2019-01-28,2019-01-22,0,2,1,0,city council and planning commission joint special work meet 197; city council meeting agenda and packet 203
2019-02-11,2019-02-05,0,2,21,0,city council meeting agenda and packet 206; cra meeting agenda and packet 207
2019-02-25,2019-02-19,0,2,8,0,city council and planning commission special meeting agenda 209; city council meeting agenda and packet 211
2019-03-11,2019-03-05,0,1,8,0,city council meeting agenda and packet 213
2019-03-18,2019-03-12,0,1,1,0,city council work meeting agenda 215
2019-03-25,2019-03-19,0,1,4,0,city council meeting agenda and packet 221
2019-04-08,2019-04-02,0,2,20,0,city council community reinvestment agency meeting agenda pa 224; community reinvestment agency meeting agenda packet 225
2019-04-15,2019-04-09,0,1,1,0,city council work meeting agenda packet 226
2019-04-22,2019-04-16,0,2,9,0,city council meeting agenda and packet 230; community reinvestment agency meeting agenda and packet 231
2019-05-13,2019-05-07,0,2,19,0,city council meeting agenda and packet 237; community reinvestment agency meeting agenda and packet 238
2019-05-20,2019-05-14,0,1,1,0,city council work meeting agenda 240
2019-06-03,2019-05-28,0,1,5,0,city council meeting agenda and packet 241
2019-06-10,2019-06-04,0,2,20,0,city council meeting agenda and packet 245; community reinvestment agency meeting agenda and packet 246
2019-06-24,2019-06-18,0,1,14,0,city council meeting agenda and packet 251
2019-07-08,2019-07-02,0,1,8,0,city council meeting agenda and packet 258
2019-07-22,2019-07-16,0,1,8,0,city council meeting agenda and packet 260
2019-08-12,2019-08-06,0,1,7,0,city council meeting agenda and packet 265
2019-08-19,2019-08-13,0,1,1,0,city council work meeting agenda 268
2019-08-26,2019-08-20,0,1,5,0,city council meeting agenda and packet 270
2019-09-09,2019-09-03,0,1,4,0,city council meeting agenda and packet 274
2019-09-16,2019-09-10,0,1,1,0,city council work meeting agenda 278
2019-09-23,2019-09-17,0,1,11,0,city council meeting agenda and packet 283
2019-10-14,2019-10-08,0,3,10,0,city council meeting agenda and packet 287; city council special meeting agenda 284; community reinvestment agency agenda and packet 288
2019-10-21,2019-10-15,0,1,3,0,city council work meeting agenda and packet 290
2019-10-28,2019-10-22,0,1,7,0,city council meeting agenda and packet 291
2019-11-18,2019-11-12,0,2,8,0,city council meeting agenda and packet 296; city council work meeting agenda and packet 302
2019-11-25,2019-11-19,0,3,10,0,board of canvassers meeting notice 299; city council and planning commission special meeting 300; city council meeting agenda and packet 304
2019-12-09,2019-12-03,0,1,7,0,city council meeting agenda and packet 312
2019-12-16,2019-12-10,0,2,7,0,city council special meeting agenda 307; city council special meeting agenda and packet 313
2020-01-13,2020-01-07,0,2,11,0,city council meeting agenda and packet 320; community reinvestment agency meeting agenda and packet 321
2020-01-27,2020-01-21,0,4,12,0,city council meeting agenda and packet 333; city council special meeting agenda 327; city council special meeting agenda 328; city council work meeting agenda and packet 330
2020-02-10,2020-02-04,0,1,9,0,city council meeting agenda and packet 338
2020-02-24,2020-02-18,0,2,9,1,city council meeting agenda and packet 342; city council work meeting agenda 339
2020-03-09,2020-03-03,0,1,8,0,city council meeting agenda and packet 345
2020-03-16,2020-03-10,0,2,3,0,city council emergency meeting agenda and packet 350; city council special meeting agenda 348
2020-03-23,2020-03-17,0,1,6,0,city council meeting agenda and packet 352
2020-03-30,2020-03-24,0,1,1,0,city council special meeting agenda 353
2020-04-13,2020-04-07,0,2,16,0,city council meeting agenda and packet 355; community reinvestment agency meeting agenda and packet 356
2020-04-20,2020-04-14,6,0,0,0,
2020-04-27,2020-04-21,0,2,15,0,city council meeting agenda and packet 358; community reinvestment agency meeting agenda and packet 359
2020-05-11,2020-05-05,0,3,17,0,city council meeting agenda and packet 364; city council special meeting agenda and packet 366; community reinvestment agency meeting agenda and packet 365
2020-06-01,2020-05-26,0,1,9,0,city council meeting agenda and packet 369
2020-06-08,2020-06-02,0,1,7,0,city council meeting agenda and packet 373
2020-06-22,2020-06-16,0,2,22,0,city council meeting agenda and packet 379; community reinvestment agency meeting agenda and packet 380
2020-07-06,2020-06-30,1,0,0,0,
2020-07-13,2020-07-07,1,1,13,0,city council meeting agenda and packet 385
2020-07-20,2020-07-14,4,0,0,0,
2020-07-27,2020-07-21,0,2,18,0,city council meeting agenda and packet 388; community reinvestment agency meeting agenda and packet 389
2020-08-10,2020-08-04,0,1,13,0,city council meeting agenda and packet 391
2020-08-17,2020-08-11,0,1,2,0,city council meeting agenda and packet 394
