project,spans_both_bodies,date,body,stage,result,dissenters,motion,source
Alice Claim,yes,2020-01-22,PlanningCommission,PC continued,Continued unanimous,,"CONTINUE the proposed Conditional Use Permit for a retaining wall greater than six feet in height associated with the Alice Claim Subdivision to February 12, 20",
Alice Claim,yes,2020-01-30,Council,Council vote,5-0 Pass,,"Council Member Joyce moved to approve Ordinance 2020-10, an ordinance approving a one year extension of the March 8, 2018 approval of the Alice Claim Subdivisio",
Argent Empire Pass,yes,2021-02-10,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a POSITIVE recommendation to the City Council concerning 7677 Village Way Argent at Empire Pass Condominiums plat amendment, in accordance with the Find",
Argent Empire Pass,yes,2021-02-25,Council,Council vote,4-0 Pass,,"Council Member Henney moved to approve Ordinance 2021-08, the amended ordinance approving the Argent at Empire Pass Condominiums, First Amended, located at 7677",
Argent Empire Pass,yes,2022-10-06,HA,HA vote,5-0 Continued,,Board Member Gerber moved to continue the modifications to the Restrictive Covenant Protecting the Affordability and Sustainability of Units EMP-A and EMP-B at ,
Argent Empire Pass,yes,2022-10-27,HA,HA vote,5-0 Pass,,Board Member Doilney moved to approve modifications to the restrictive covenant protecting the affordability and sustainability of Units EMP-A and EMP-B at Arge,
Aspen Springs Ranch,yes,2020-09-17,Council,Council vote,5-0 Pass,,"Council Member Gerber moved to approve Ordinance 2020-41, an ordinance approving the Aspen Springs Ranch Phase I Lot 18 Amended Plat Amendment, located at 2524 ",
Aspen Springs Ranch,yes,2022-04-13,PlanningCommission,PC final action,Approved unanimous,,"approve a Conditional Use Permit for 2656 Aspen Springs Drive, based on the Findings of Fact, Conclusions of Law, and Conditions of Approval as follows: Finding",
Aspen Springs Ranch,yes,2023-06-28,PlanningCommission,PC final action,Approved unanimous,,"APPROVE 2644 Aspen Springs Drive - Conditional Use Permit – based on the Findings of Fact, Conclusions of Law and Conditions of Approval in the Draft Final Acti",
Aspen Springs Ranch,yes,2023-08-23,PlanningCommission,PC final action,Approved unanimous,,"APPROVE Parcel ASR-1 – Meadows Drive Trailhead & Parking Area Conditional Use Permit – based on the Findings of Fact, Conclusions of Law, and Conditions of Appr",
Aspen Springs Ranch,yes,2024-06-26,PlanningCommission,PC final action,Approved unanimous,,"APPROVE the Modification to a Conditional Use Permit for 2656 Aspen Springs Drive, based on the Findings of Fact, Conclusions of Law, and Conditions of Approval",
Bardsley,yes,2022-07-27,PlanningCommission,PC recommendation,Positive recommendation 5-1,Suesser,"forward a positive recommendation for the Bardsley Plat Amendment to the City Council for consideration on September 15, 2022, based on the following Findings o",
Bardsley,yes,2022-09-15,Council,Council vote,5-0 Pass,,"Council Member Gerber moved to approve Ordinance No. 2022-37, an ordinance approving the Bardsley Plat Amendment, located at 517 Park Avenue, Park City, Utah",
Daly Avenue,yes,2020-01-22,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a POSITIVE recommendation to the City Council for 182 and 184 Daly Avenue Plat Amendment based on the Findings of Fact, Conclusions of Law, and Conditio",
Daly Avenue,yes,2020-02-27,Council,Council vote,5-0 Pass,,"Council Member Joyce moved to approve Ordinance No. 2020-13, an ordinance approving the 182 & 184 Daly Avenue Plat Amendment, located at 182 and 184 Daly Avenue",
Daly Avenue,yes,2020-05-13,PlanningCommission,PC continued,Continued unanimous,,"CONTINUE 84 Daly Avenue Steep Slope Conditional Use Permit to May 27, 2020",
Daly Avenue,yes,2022-05-12,Council,Council vote,5-0 Pass,,"Council Member Doilney moved to approve Ordinance 2022-13, an ordinance approving the 45 Daly Avenue Subdivision, located at 45 Daly Avenue, Summit County, Park",
Daly Avenue,yes,2022-09-15,Council,Council vote,5-0 Pass,,"Council Member Rubell moved to approve Ordinance 2022-38, an ordinance approving the 51 Daly Avenue Subdivision, located at 51 Daly Avenue, Summit County, Park ",
Deer Valley Drive,yes,2020-04-22,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a POSITIVE recommendation to the City Council for 2290 Deer Valley Drive East Condominium Plat, based on the Findings of Fact, Conclusions of Law, and C",
Deer Valley Drive,yes,2023-08-22,Council,Council vote,5-0 Pass,,"Council Member Doilney moved to approve Ordinance No. 2023-38, an ordinance 5 approving the 395 Deer Valley Drive Plat Amendment, located at 395 Deer Valley Dri",
Dwellings Lilac Hills,no,2023-07-12,PlanningCommission,PC final action,Approved unanimous,,"APPROVE 729 Rossie Hill – Conditional Use Permit - based on the Findings of Fact, Conclusions of Law, and Conditions of Approval in the Draft Final Action Lette",
Dwellings Lilac Hills,no,2023-07-12,PlanningCommission,PC final action,Approved unanimous,,"APPROVE 755 Rossie Hill – Conditional Use Permit - based on the Findings of Fact, Conclusions of Law, and Conditions of Approval in the Draft Final Action Lette",
Dwellings Lilac Hills,no,2024-08-14,PlanningCommission,PC final action,Approved unanimous,,"APPROVE the Nightly Rental Conditional Use Permit for 741 Rossie Hill Drive based on the Findings of Fact, Conclusions of Law, and Conditions of Approval, as ou",
