year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2007,municipal general,Council,2,Salt Lake City Council District 2,VAN BLAIR TURNER,1269,52.85,1,True
2007,municipal general,Council,2,Salt Lake City Council District 2,J. MICHAEL CLARA,1122,46.73,2,False
2007,municipal general,Council,2,Salt Lake City Council District 2,WRITE-IN,10,0.42,3,False
2007,municipal general,Council,4,Salt Lake City Council District 4,LUKE GARROTT,2844,57.19,1,True
2007,municipal general,Council,4,Salt Lake City Council District 4,NANCY SAXTON,2110,42.43,2,False
2007,municipal general,Council,4,Salt Lake City Council District 4,WRITE-IN,19,0.38,3,False
2007,municipal general,Council,6,Salt Lake City Council District 6,J T MARTIN,4921,53.26,1,True
2007,municipal general,Council,6,Salt Lake City Council District 6,ROGER J. MCCONKIE,4282,46.35,2,False
2007,municipal general,Council,6,Salt Lake City Council District 6,WRITE-IN,36,0.39,3,False
2007,municipal general,Mayor,,Salt Lake City Mayor,RALPH BECKER,27556,63.77,1,True
2007,municipal general,Mayor,,Salt Lake City Mayor,DAVE BUHLER,15524,35.93,2,False
2007,municipal general,Mayor,,Salt Lake City Mayor,WRITE-IN,129,0.3,3,False
2007,municipal primary,Council,4,Salt Lake City Council District 4,NANCY SAXTON,1086,39.11,1,True
2007,municipal primary,Council,4,Salt Lake City Council District 4,LUKE GARROTT,963,34.68,2,False
2007,municipal primary,Council,4,Salt Lake City Council District 4,BRIAN DOUGHTY,414,14.91,3,False
2007,municipal primary,Council,4,Salt Lake City Council District 4,CAROL GOODE,236,8.5,4,False
2007,municipal primary,Council,4,Salt Lake City Council District 4,JACK LAWRENCE GRAY,78,2.81,5,False
2007,municipal primary,Council,6,Salt Lake City Council District 6,ROGER J. MCCONKIE,2551,39.88,1,True
2007,municipal primary,Council,6,Salt Lake City Council District 6,J T MARTIN,1995,31.19,2,False
2007,municipal primary,Council,6,Salt Lake City Council District 6,ELLEN REDDICK,1767,27.62,3,False
2007,municipal primary,Council,6,Salt Lake City Council District 6,WILLIAM HUCKINS,84,1.31,4,False
2007,municipal primary,Mayor,,Salt Lake City Mayor,RALPH BECKER,10900,38.48,1,True
2007,municipal primary,Mayor,,Salt Lake City Mayor,DAVE BUHLER,7831,27.65,2,False
2007,municipal primary,Mayor,,Salt Lake City Mayor,JENNY WILSON,6644,23.46,3,False
2007,municipal primary,Mayor,,Salt Lake City Mayor,KEITH S CHRISTENSEN,2407,8.5,4,False
2007,municipal primary,Mayor,,Salt Lake City Mayor,J.P. HUGHES,394,1.39,5,False
2007,municipal primary,Mayor,,Salt Lake City Mayor,JOHN M. RENTERIA,53,0.19,6,False
