year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2007,municipal general,Council,2,Salt Lake City Council District 2,,,3,,2401,,VAN BLAIR TURNER,1269,52.85,J. MICHAEL CLARA,1122,147,6.12,,,,,,,
2007,municipal general,Council,4,Salt Lake City Council District 4,,,3,,4973,,LUKE GARROTT,2844,57.19,NANCY SAXTON,2110,734,14.76,,,,,,,
2007,municipal general,Council,6,Salt Lake City Council District 6,,,3,,9239,,J T MARTIN,4921,53.26,ROGER J. MCCONKIE,4282,639,6.92,,,,,,,
2007,municipal general,Mayor,,Salt Lake City Mayor,,,3,,43209,,RALPH BECKER,27556,63.77,DAVE BUHLER,15524,12032,27.85,,,,,,,
2007,municipal primary,Council,4,Salt Lake City Council District 4,,,5,,2777,,NANCY SAXTON,1086,39.11,LUKE GARROTT,963,123,4.43,,,,,,,
2007,municipal primary,Council,6,Salt Lake City Council District 6,,,4,,6397,,ROGER J. MCCONKIE,2551,39.88,J T MARTIN,1995,556,8.69,,,,,,,
2007,municipal primary,Mayor,,Salt Lake City Mayor,,,9,,28325,,RALPH BECKER,10900,38.48,DAVE BUHLER,7831,3069,10.83,,,,,,,
2009,municipal general,Council,1,Salt Lake City Council District 1,,,3,,2203,,CARLTON CHRISTENSEN,1459,66.23,LESLIE REYNOLDS-BENNS,731,728,33.05,,,,,,,
2009,municipal general,Council,3,Salt Lake City Council District 3,,,3,,4890,,STAN PENFOLD,2564,52.43,PHIL CARROLL,2310,254,5.19,,,,,,,
2009,municipal general,Council,5,Salt Lake City Council District 5,,,2,,2383,,JILL REMINGTON LOVE,2259,94.8,Write-In,124,2135,89.59,,,,,,,
2009,municipal general,Council,7,Salt Lake City Council District 7,,,3,,3894,,SOREN DAHL SIMONSEN,1948,50.03,LISA RAMSEY ADAMS,1935,13,0.33,,,,,,,
2009,municipal primary,Council,1,Salt Lake City Council District 1,,,3,,1284,,CARLTON CHRISTENSEN (NP),885,68.93,LESLIE REYNOLDS-BENNS (NP),336,549,42.76,,,,,,,
2009,municipal primary,Council,3,Salt Lake City Council District 3,,,6,,3152,,PHIL CARROLL (NP),1197,37.98,STAN PENFOLD (NP),1010,187,5.93,,,,,,,
