year,election_type,office,district,contest,precinct,candidate,votes
2007,municipal general,Mayor,,Salt Lake City Mayor,2001,RALPH BECKER,13
2007,municipal general,Mayor,,Salt Lake City Mayor,2001,DAVE BUHLER,6
2007,municipal general,Mayor,,Salt Lake City Mayor,2001,WRITE-IN,0
2007,municipal general,Mayor,,Salt Lake City Mayor,2001,RALPH BECKER,9
2007,municipal general,Mayor,,Salt Lake City Mayor,2001,DAVE BUHLER,7
2007,municipal general,Mayor,,Salt Lake City Mayor,2001,WRITE-IN,0
2007,municipal general,Mayor,,Salt Lake City Mayor,2001,RALPH BECKER,0
2007,municipal general,Mayor,,Salt Lake City Mayor,2001,DAVE BUHLER,0
2007,municipal general,Mayor,,Salt Lake City Mayor,2001,WRITE-IN,0
2007,municipal general,Mayor,,Salt Lake City Mayor,2001,RALPH BECKER,0
2007,municipal general,Mayor,,Salt Lake City Mayor,2001,DAVE BUHLER,0
2007,municipal general,Mayor,,Salt Lake City Mayor,2001,WRITE-IN,0
2007,municipal general,Mayor,,Salt Lake City Mayor,2002,RALPH BECKER,61
2007,municipal general,Mayor,,Salt Lake City Mayor,2002,DAVE BUHLER,65
2007,municipal general,Mayor,,Salt Lake City Mayor,2002,WRITE-IN,0
2007,municipal general,Mayor,,Salt Lake City Mayor,2002,RALPH BECKER,3
2007,municipal general,Mayor,,Salt Lake City Mayor,2002,DAVE BUHLER,4
2007,municipal general,Mayor,,Salt Lake City Mayor,2002,WRITE-IN,0
2007,municipal general,Mayor,,Salt Lake City Mayor,2002,RALPH BECKER,2
2007,municipal general,Mayor,,Salt Lake City Mayor,2002,DAVE BUHLER,3
2007,municipal general,Mayor,,Salt Lake City Mayor,2002,WRITE-IN,0
2007,municipal general,Mayor,,Salt Lake City Mayor,2002,RALPH BECKER,1
2007,municipal general,Mayor,,Salt Lake City Mayor,2002,DAVE BUHLER,3
2007,municipal general,Mayor,,Salt Lake City Mayor,2002,WRITE-IN,0
2007,municipal general,Mayor,,Salt Lake City Mayor,2003,RALPH BECKER,100
2007,municipal general,Mayor,,Salt Lake City Mayor,2003,DAVE BUHLER,86
2007,municipal general,Mayor,,Salt Lake City Mayor,2003,WRITE-IN,0
2007,municipal general,Mayor,,Salt Lake City Mayor,2003,RALPH BECKER,7
2007,municipal general,Mayor,,Salt Lake City Mayor,2003,DAVE BUHLER,3
2007,municipal general,Mayor,,Salt Lake City Mayor,2003,WRITE-IN,0
2007,municipal general,Mayor,,Salt Lake City Mayor,2003,RALPH BECKER,5
2007,municipal general,Mayor,,Salt Lake City Mayor,2003,DAVE BUHLER,1
2007,municipal general,Mayor,,Salt Lake City Mayor,2003,WRITE-IN,0
2007,municipal general,Mayor,,Salt Lake City Mayor,2003,RALPH BECKER,1
2007,municipal general,Mayor,,Salt Lake City Mayor,2003,DAVE BUHLER,1
2007,municipal general,Mayor,,Salt Lake City Mayor,2003,WRITE-IN,0
2007,municipal general,Mayor,,Salt Lake City Mayor,2004,RALPH BECKER,160
2007,municipal general,Mayor,,Salt Lake City Mayor,2004,DAVE BUHLER,199
2007,municipal general,Mayor,,Salt Lake City Mayor,2004,WRITE-IN,1
2007,municipal general,Mayor,,Salt Lake City Mayor,2004,RALPH BECKER,32
2007,municipal general,Mayor,,Salt Lake City Mayor,2004,DAVE BUHLER,20
2007,municipal general,Mayor,,Salt Lake City Mayor,2004,WRITE-IN,1
2007,municipal general,Mayor,,Salt Lake City Mayor,2004,RALPH BECKER,19
2007,municipal general,Mayor,,Salt Lake City Mayor,2004,DAVE BUHLER,5
2007,municipal general,Mayor,,Salt Lake City Mayor,2004,WRITE-IN,0
2007,municipal general,Mayor,,Salt Lake City Mayor,2004,RALPH BECKER,3
2007,municipal general,Mayor,,Salt Lake City Mayor,2004,DAVE BUHLER,2
