date,title,body,video_url,video_id,caption_type,source_url,retrieved_date,format,extraction_method,path,date_source
2020-04-08,Midvale City Planning Commission Meeting  04-08-2020,PlanningCommission,https://www.youtube.com/watch?v=KlhmgJzIFKw,KlhmgJzIFKw,asr,https://www.youtube.com/watch?v=KlhmgJzIFKw,2026-07-13,na,enumerated,,title
2020-04-14,Budget Retreat 04-14-2020,Council,https://www.youtube.com/watch?v=ZhtjQBLa-5w,ZhtjQBLa-5w,asr,https://www.youtube.com/watch?v=ZhtjQBLa-5w,2026-07-13,na,enumerated,,title
2020-04-21,Midvale City Council Meeting  04-21-2020,Council,https://www.youtube.com/watch?v=fZba2r3vEXc,fZba2r3vEXc,asr,https://www.youtube.com/watch?v=fZba2r3vEXc,2026-07-13,na,enumerated,,title
2020-04-22,Midvale City Planning Commission  04-22-2020,PlanningCommission,https://www.youtube.com/watch?v=hfU3AtoL7s4,hfU3AtoL7s4,asr,https://www.youtube.com/watch?v=hfU3AtoL7s4,2026-07-13,caption,yt-dlp --write-auto-sub (en ASR),raw/2020-04-22.en.vtt,title
2020-04-28,Midvale City Council Meeting 04-28-2020,Council,https://www.youtube.com/watch?v=9CY6Iser668,9CY6Iser668,asr,https://www.youtube.com/watch?v=9CY6Iser668,2026-07-13,na,enumerated,,title
2020-05-05,Midvale City Council Meeting 05-05-2020,Council,https://www.youtube.com/watch?v=CtzCMIfMAG0,CtzCMIfMAG0,asr,https://www.youtube.com/watch?v=CtzCMIfMAG0,2026-07-13,na,enumerated,,title
2020-05-13,Midvale City Planning Commission Meeting 05-13-2020,PlanningCommission,https://www.youtube.com/watch?v=KPf_cPfMegU,KPf_cPfMegU,asr,https://www.youtube.com/watch?v=KPf_cPfMegU,2026-07-13,na,enumerated,,title
2020-05-19,Midvale’s City Council Meeting 05-19-2020,Council,https://www.youtube.com/watch?v=KjxikRlhA5g,KjxikRlhA5g,asr,https://www.youtube.com/watch?v=KjxikRlhA5g,2026-07-13,na,enumerated,,title
2020-06-02,City Council Meeting 06-02-2020,Council,https://www.youtube.com/watch?v=9WgV8est-0k,9WgV8est-0k,asr,https://www.youtube.com/watch?v=9WgV8est-0k,2026-07-13,na,enumerated,,title
2020-06-10,Planning and Zoning Commission Meeting,PlanningCommission,https://www.youtube.com/watch?v=KrE9VhWCOF4,KrE9VhWCOF4,asr,https://www.youtube.com/watch?v=KrE9VhWCOF4,2026-07-13,na,enumerated,,release_timestamp
2020-06-16,"City Council Meeting June 16, 2020",Council,https://www.youtube.com/watch?v=n-3g9SM747c,n-3g9SM747c,asr,https://www.youtube.com/watch?v=n-3g9SM747c,2026-07-13,na,enumerated,,title
2020-06-30,"City Council Meeting June 30, 2020",Council,https://www.youtube.com/watch?v=KDm_C0CCFEQ,KDm_C0CCFEQ,asr,https://www.youtube.com/watch?v=KDm_C0CCFEQ,2026-07-13,na,enumerated,,title
2020-07-07,"City Council - July 7th, 2020",Council,https://www.youtube.com/watch?v=2MhkbZSagxE,2MhkbZSagxE,asr,https://www.youtube.com/watch?v=2MhkbZSagxE,2026-07-13,caption,yt-dlp --write-auto-sub (en ASR),raw/2020-07-07.en.vtt,title
2020-07-08,"Planning Commission - July 8th, 2020",PlanningCommission,https://www.youtube.com/watch?v=j-nTTcPDSLA,j-nTTcPDSLA,asr,https://www.youtube.com/watch?v=j-nTTcPDSLA,2026-07-13,na,enumerated,,title
2020-07-21,"City Council - July 21st, 2020",Council,https://www.youtube.com/watch?v=I9akoRThGcc,I9akoRThGcc,asr,https://www.youtube.com/watch?v=I9akoRThGcc,2026-07-13,na,enumerated,,title
2020-07-22,"Planning Commission - July 22, 2020",PlanningCommission,https://www.youtube.com/watch?v=NfQtDTbKiXM,NfQtDTbKiXM,asr,https://www.youtube.com/watch?v=NfQtDTbKiXM,2026-07-13,na,enumerated,,title
2020-08-04,"City Council  Meeting August 4, 2020",Council,https://www.youtube.com/watch?v=p-AFmsAdKyk,p-AFmsAdKyk,asr,https://www.youtube.com/watch?v=p-AFmsAdKyk,2026-07-13,na,enumerated,,title
2020-08-11,"City Council Meeting August, 11, 2020",Council,https://www.youtube.com/watch?v=9zs2F2x9sOU,9zs2F2x9sOU,asr,https://www.youtube.com/watch?v=9zs2F2x9sOU,2026-07-13,na,enumerated,,title
2020-08-12,"Planning Commission August 12, 2020",PlanningCommission,https://www.youtube.com/watch?v=4VdZdT4Z4O0,4VdZdT4Z4O0,asr,https://www.youtube.com/watch?v=4VdZdT4Z4O0,2026-07-13,na,enumerated,,title
2020-08-18,"City Council Meeting August 18, 2020",Council,https://www.youtube.com/watch?v=-o3NIC05gBs,-o3NIC05gBs,asr,https://www.youtube.com/watch?v=-o3NIC05gBs,2026-07-13,na,enumerated,,title
2020-08-26,"Planning Commission Meeting August 26, 2020",PlanningCommission,https://www.youtube.com/watch?v=vDX90reSpkA,vDX90reSpkA,asr,https://www.youtube.com/watch?v=vDX90reSpkA,2026-07-13,na,enumerated,,title
2020-09-01,"Midvale City Council - September 1, 2020",Council,https://www.youtube.com/watch?v=5rQ7nQa9IjA,5rQ7nQa9IjA,asr,https://www.youtube.com/watch?v=5rQ7nQa9IjA,2026-07-13,na,enumerated,,title
2020-09-09,"Planning Commission - Sept 9th, 2020",PlanningCommission,https://www.youtube.com/watch?v=HScGRV3WvmA,HScGRV3WvmA,asr,https://www.youtube.com/watch?v=HScGRV3WvmA,2026-07-13,na,enumerated,,title
2020-09-15,"City Council - September 15, 2020",Council,https://www.youtube.com/watch?v=UR4FvJUIQJ8,UR4FvJUIQJ8,asr,https://www.youtube.com/watch?v=UR4FvJUIQJ8,2026-07-13,na,enumerated,,title
